#wvl [um]      Flux [erg/s/cm]
5.5            69159.4175        
5.496976663    69201.9111        
5.493956648    69243.8937        
5.490939949    69286.2818        
5.487926562    69327.8635        
5.48491648     69370.5534        
5.481909698    69412.5833        
5.478906211    69453.8406        
5.475906014    69496.1586        
5.4729091      69537.8534        
5.469915465    69580.6052        
5.466925103    69622.6065        
5.463938009    69664.5728        
5.460954178    69705.6699        
5.457973603    69748.1903        
5.454996281    69790.2869        
5.452022205    69831.5924        
5.44905137     69873.7979        
5.446083771    69915.9785        
5.443119402    69957.5304        
5.440158259    69999.6363        
5.437200336    70041.2338        
5.434245628    70078.8087        
5.431294129    70124.9365        
5.428345835    70160.4272        
5.42540074     70208.2439        
5.422458839    70240.4223        
5.419520126    70291.6557        
5.416584597    70333.3747        
5.413652247    70374.971         
5.410723069    70416.5755        
5.40779706     70458.1992        
5.404874214    70499.175         
5.401954525    70541.2861        
5.39903799     70580.9938        
5.396124601    70624.2979        
5.393214356    70664.1748        
5.390307248    70707.0202        
5.387403272    70748.7675        
5.384502423    70789.7142        
5.381604697    70831.5227        
5.378710088    70872.9917        
5.375818591    70914.3985        
5.372930201    70955.7379        
5.370044913    70996.8631        
5.367162723    71036.1057        
5.364283624    71076.4018        
5.361407613    71118.9783        
5.358534684    71161.8468        
5.355664833    71203.0701        
5.352798054    71242.9652        
5.349934342    71285.4815        
5.347073692    71326.7203        
5.344216101    71367.2479        
5.341361562    71407.9567        
5.33851007     71450.4057        
5.335661622    71491.5558        
5.332816212    71532.5059        
5.329973835    71573.5001        
5.327134486    71614.7147        
5.324298161    71651.4052        
5.321464854    71696.7318        
5.318634561    71737.6727        
5.315807278    71778.5314        
5.312982998    71819.3172        
5.310161719    71860.4464        
5.307343433    71900.555         
5.304528138    71942.207         
5.301715828    71979.2139        
5.298906498    72023.7309        
5.296100144    72063.8946        
5.293296761    72082.7891        
5.290496345    72134.486         
5.28769889     72185.6625        
5.284904391    72226.9613        
5.282112845    72268.4015        
5.279324246    72292.0337        
5.276538591    72349.6554        
5.273755873    72390.4087        
5.270976089    72430.9284        
5.268199234    72451.3258        
5.265425303    72512.0572        
5.262654291    72552.7536        
5.259886195    72592.3106        
5.257121009    72632.8359        
5.254358729    72666.3195        
5.251599351    72713.8366        
5.248842869    72755.2409        
