#wvl [um]      Flux [erg/s/cm]
5.5            69159.8596        
5.496976663    69202.0347        
5.493956648    69244.1939        
5.490939949    69286.3275        
5.487926562    69328.4524        
5.48491648     69370.5538        
5.481909698    69412.6233        
5.478906211    69454.6843        
5.475906014    69496.7163        
5.4729091      69538.736         
5.469915465    69580.7531        
5.466925103    69622.7259        
5.463938009    69664.6903        
5.460954178    69706.6214        
5.457973603    69748.5482        
5.454996281    69790.4309        
5.452022205    69832.3272        
5.44905137     69874.1964        
5.446083771    69916.032         
5.443119402    69957.8526        
5.440158259    69999.6626        
5.437200336    70041.4408        
5.434245628    70083.209         
5.431294129    70124.9497        
5.428345835    70166.6805        
5.42540074     70208.3812        
5.422458839    70250.0729        
5.419520126    70291.7375        
5.416584597    70333.3773        
5.413652247    70375.0116        
5.410723069    70416.6221        
5.40779706     70458.211         
5.404874214    70499.7789        
5.401954525    70541.3306        
5.39903799     70582.8619        
5.396124601    70624.3714        
5.393214356    70665.8707        
5.390307248    70707.3385        
5.387403272    70748.7895        
5.384502423    70790.2276        
5.381604697    70831.6368        
5.378710088    70873.032         
5.375818591    70914.4073        
5.372930201    70955.7567        
5.370044913    70997.0992        
5.367162723    71038.4156        
5.364283624    71079.703         
5.361407613    71120.986         
5.358534684    71162.2348        
5.355664833    71203.4835        
5.352798054    71244.6971        
5.349934342    71285.8882        
5.347073692    71327.0619        
5.344216101    71368.2235        
5.341361562    71409.3608        
5.33851007     71450.4755        
5.335661622    71491.5693        
5.332816212    71532.645         
5.329973835    71573.6829        
5.327134486    71614.7345        
5.324298161    71655.7302        
5.321464854    71696.7404        
5.318634561    71737.7012        
5.315807278    71778.656         
5.312982998    71819.5881        
5.310161719    71860.4962        
5.307343433    71901.3543        
5.304528138    71942.2535        
5.301715828    71983.0976        
5.298906498    72023.9268        
5.296100144    72064.6904        
5.293296761    72105.5133        
5.290496345    72146.2761        
5.28769889     72187.0216        
5.284904391    72227.746         
5.282112845    72268.4439        
5.279324246    72309.1273        
5.276538591    72349.7784        
5.273755873    72390.4266        
5.270976089    72431.0503        
5.268199234    72471.6292        
5.265425303    72512.2135        
5.262654291    72552.7794        
5.259886195    72593.316         
5.257121009    72633.8346        
5.254358729    72674.3342        
5.251599351    72714.7944        
5.248842869    72755.1872        
5.246089279    72795.6904        
5.243338577    72836.0961        
5.240590758    72876.4944        
5.237845817    72916.8705        
5.23510375     72957.2206        
5.232364553    72997.5406        
5.229628221    73037.8495        
5.226894749    73078.1466        
5.224164134    73118.4158        
5.22143637     73158.6533        
5.218711453    73198.8795        
5.215989378    73239.0822        
5.213270142    73279.2668        
5.21055374     73319.418         
5.207840167    73359.5533        
5.205129418    73399.6797        
5.202421491    73439.7743        
5.199716379    73479.8486        
5.197014079    73519.9027        
5.194314587    73559.9332        
5.191617897    73599.9417        
5.188924006    73639.9318        
5.186232909    73679.8834        
5.183544602    73719.8468        
5.180859081    73759.7701        
5.17817634     73799.6372        
5.175496377    73839.5564        
5.172819186    73879.4168        
5.170144764    73919.2479        
5.167473106    73959.0649        
5.164804207    73998.8676        
5.162138064    74038.6466        
5.159474672    74078.4028        
5.156814027    74118.1331        
5.154156124    74157.848         
5.15150096     74197.5313        
5.14884853     74237.2102        
5.14619883     74276.8512        
5.143551856    74316.4717        
5.140907604    74356.0843        
5.138266069    74395.6687        
5.135627247    74435.1648        
5.132991134    74474.7787        
5.130357726    74514.2956        
5.127727018    74553.7919        
5.125099008    74593.2729        
5.122473689    74632.7255        
5.119851059    74672.1577        
5.117231113    74711.5633        
5.114613847    74750.9581        
5.111999256    74790.3267        
5.109387338    74829.6671        
5.106778087    74868.9925        
5.1041715      74908.2814        
5.101567573    74947.5719        
5.0989663      74986.818         
5.09636768     75026.0491        
5.093771706    75065.2713        
5.091178376    75104.4632        
5.088587686    75143.6232        
5.08599963     75182.7713        
5.083414206    75221.894         
5.080831409    75260.9932        
5.078251235    75300.0734        
5.07567368     75339.1298        
5.073098741    75378.1661        
5.070526413    75417.1667        
5.067956692    75456.1728        
5.065389575    75495.1437        
5.062825056    75534.0782        
5.060263134    75573.0142        
5.057703802    75611.9117        
5.055147059    75650.7461        
5.052592899    75689.6518        
5.050041319    75728.4843        
5.047492314    75767.3154        
5.044945881    75806.1009        
5.042402017    75844.8832        
5.039860717    75883.6336        
5.037321976    75922.3597        
5.034785793    75961.0526        
5.032252162    75999.7544        
5.029721079    76038.4147        
5.027192541    76077.0493        
5.024666545    76115.6742        
5.022143085    76154.2639        
5.019622159    76192.8354        
5.017103763    76231.3898        
5.014587892    76269.9197        
5.012074543    76308.4275        
5.009563713    76346.9044        
5.007055396    76385.3597        
5.004549591    76423.7969        
5.002046292    76462.2166        
4.999545496    76500.61          
4.997047199    76538.9845        
4.994551398    76577.329         
4.992058089    76615.6517        
4.989567268    76653.9526        
4.987078932    76692.2277        
4.984593076    76730.4877        
4.982109697    76768.7073        
4.979628791    76806.9073        
4.977150355    76845.108         
4.974674385    76883.268         
4.972200877    76921.4157        
4.969729827    76959.5281        
4.967261233    76997.6066        
4.964795089    77035.6949        
4.962331394    77073.7493        
4.959870142    77111.7874        
4.95741133     77149.7898        
4.954954955    77187.7356        
4.952501013    77225.7343        
4.9500495      77263.6727        
4.947600414    77301.5799        
4.945153749    77339.4817        
4.942709503    77377.3339        
4.940267673    77415.1975        
4.937828253    77453.0285        
4.935391242    77490.8316        
4.932956635    77528.6028        
4.930524429    77566.365         
4.928094619    77604.1003        
4.925667204    77641.8144        
4.923242179    77679.493         
4.92081954     77717.1651        
4.918399285    77754.8159        
4.915981409    77792.4354        
4.913565909    77830.0319        
4.911152781    77867.5714        
4.908742023    77905.1586        
4.906333631    77942.6737        
4.9039276      77980.1916        
4.901523928    78017.6639        
4.899122612    78055.1283        
4.896723647    78092.5687        
4.89432703     78129.9763        
4.891932758    78167.3619        
4.889540828    78204.7293        
4.887151235    78242.0625        
4.884763977    78279.389         
4.88237905     78316.6635        
4.879996451    78353.9202        
4.877616176    78391.205         
4.875238222    78428.4246        
4.872862585    78465.6231        
4.870489263    78502.807         
4.868118251    78539.96          
4.865749547    78577.0749        
4.863383146    78614.2097        
4.861019046    78651.297         
4.858657244    78688.3574        
4.856297735    78725.4022        
4.853940517    78762.4219        
4.851585586    78799.4181        
4.84923294     78836.3886        
4.846882573    78873.3381        
4.844534484    78910.2612        
4.842188669    78947.1683        
4.839845125    78984.0484        
4.837503848    79020.9045        
4.835164835    79057.7354        
4.832828083    79094.5458        
4.830493589    79131.3303        
4.828161348    79168.0958        
4.825831359    79204.8335        
4.823503618    79241.5545        
4.821178121    79278.2457        
4.818854865    79314.909         
4.816533847    79351.555         
4.814215064    79388.1792        
4.811898513    79424.7692        
4.80958419     79461.3512        
4.807272092    79497.8943        
4.804962216    79534.423         
4.802654558    79570.9297        
4.800349116    79607.4063        
4.798045887    79643.8545        
4.795744866    79680.2829        
4.793446052    79716.6909        
4.79114944     79753.0776        
4.788855028    79789.4304        
4.786562813    79825.7671        
4.784272791    79862.077         
4.781984958    79898.3676        
4.779699313    79934.6322        
4.777415852    79970.8703        
4.775134572    80007.0842        
4.772855469    80043.28          
4.770578541    80079.4473        
4.768303784    80115.5801        
4.766031196    80151.7078        
4.763760773    80187.8086        
4.761492511    80223.8821        
4.759226409    80259.9385        
4.756962463    80295.9651        
4.75470067     80331.9639        
4.752441027    80367.9457        
4.75018353     80403.905         
4.747928177    80439.8414        
4.745674964    80475.7513        
4.74342389     80511.6368        
4.741174949    80547.5002        
4.738928141    80583.3389        
4.73668346     80619.1531        
4.734440906    80654.9382        
4.732200473    80690.7121        
4.72996216     80726.4558        
4.727725964    80762.1732        
4.725491881    80797.8662        
4.723259908    80833.5417        
4.721030043    80869.1875        
4.718802282    80904.8154        
4.716576623    80940.4135        
4.714353062    80975.9909        
4.712131597    81011.5411        
4.709912224    81047.0694        
4.707694941    81082.5736        
4.705479745    81118.0508        
4.703266632    81153.508         
4.701055601    81188.9397        
4.698846647    81224.3434        
4.696639768    81259.7309        
4.694434961    81295.0885        
4.692232223    81330.4239        
4.690031551    81365.7289        
4.687832943    81401.0204        
4.685636395    81436.2825        
4.683441904    81471.5203        
4.681249468    81506.7323        
4.679059084    81541.9201        
4.676870748    81577.0851        
4.674684459    81612.2257        
4.672500212    81647.3408        
4.670318006    81682.4289        
4.668137837    81717.4909        
4.665959703    81752.5391        
4.6637836      81787.5584        
4.661609527    81822.5471        
4.659437479    81857.5187        
4.657267454    81892.4628        
4.65509945     81927.3841        
4.652933463    81962.2783        
4.650769491    81997.1498        
4.648607531    82031.9964        
4.64644758     82066.8185        
4.644289635    82101.6129        
4.642133693    82136.394         
4.639979753    82171.1428        
4.63782781     82205.8667        
4.635677863    82240.5671        
4.633529907    82275.2435        
4.631383942    82309.8976        
4.629239963    82344.5218        
4.627097968    82379.1278        
4.624957955    82413.7067        
4.62281992     82448.2615        
4.620683861    82482.7942        
4.618549775    82517.292         
4.61641766     82551.7704        
4.614287512    82586.2354        
4.612159329    82620.6715        
4.610033108    82655.0768        
4.607908847    82689.4617        
4.605786543    82723.8248        
4.603666192    82758.1576        
4.601547793    82792.4671        
4.599431343    82826.7498        
4.597316839    82861.015         
4.595204278    82895.2517        
4.593093657    82929.463         
4.590984975    82963.6497        
4.588878228    82997.8104        
4.586773413    83031.9506        
4.584670529    83066.0693        
4.582569572    83100.1503        
4.580470539    83134.2183        
4.578373429    83168.2599        
4.576278238    83202.2734        
4.574184963    83236.2642        
4.572093603    83270.228         
4.570004155    83304.1665        
4.567916615    83338.0834        
4.565830981    83371.9768        
4.563747251    83405.8392        
4.561665423    83439.6781        
4.559585492    83473.5013        
4.557507458    83507.2929        
4.555431317    83541.0488        
4.553357066    83574.8023        
4.551284704    83608.5146        
4.549214227    83642.2116        
4.547145633    83675.8789        
4.545078919    83709.5223        
4.543014083    83743.1418        
4.540951123    83776.7364        
4.538890035    83810.3037        
4.536830817    83843.8466        
4.534773467    83877.3641        
4.532717983    83910.861         
4.53066436     83944.3289        
4.528612598    83977.7751        
4.526562693    84011.1797        
4.524514643    84044.5843        
4.522468446    84077.9574        
4.520424098    84111.3052        
4.518381598    84144.6123        
4.516340943    84177.9217        
4.51430213     84211.1912        
4.512265157    84244.4226        
4.510230022    84277.6578        
4.508196721    84310.8521        
4.506165253    84344.0202        
4.504135615    84377.1643        
4.502107805    84410.2885        
4.50008182     84443.3843        
4.498057657    84476.4455        
4.496035314    84509.501         
4.494014789    84542.5198        
4.49199608     84575.5169        
4.489979183    84608.4742        
4.487964096    84641.4279        
4.485950818    84674.3504        
4.483939345    84707.2427        
4.481929674    84740.1124        
4.479921805    84772.9536        
4.477915734    84805.7752        
4.475911458    84838.5683        
4.473908976    84871.3408        
4.471908285    84904.0853        
4.469909383    84936.7983        
4.467912266    84969.4965        
4.465916934    85002.1626        
4.463923383    85034.8051        
4.461931611    85067.4164        
4.459941615    85100.005         
4.457953394    85132.5784        
4.455966945    85165.1191        
4.453982265    85197.6361        
4.451999352    85230.1278        
4.450018205    85262.5942        
4.448038819    85295.032         
4.446061194    85327.4467        
4.444085326    85359.8333        
4.442111214    85392.1987        
4.440138855    85424.5332        
4.438168247    85456.8512        
4.436199387    85489.1382        
4.434232273    85521.4009        
4.432266903    85553.6396        
4.430303274    85585.8523        
4.428341385    85618.0345        
4.426381232    85650.1986        
4.424422814    85682.333         
4.422466128    85714.4463        
4.420511172    85746.5338        
4.418557943    85778.5826        
4.41660644     85810.6238        
4.41465666     85842.6365        
4.412708601    85874.6217        
4.41076226     85906.5815        
4.408817635    85938.5171        
4.406874725    85970.4213        
4.404933526    86002.3055        
4.402994036    86034.1619        
4.401056254    86065.9917        
4.399120176    86097.7978        
4.397185801    86129.5775        
4.395253127    86161.3313        
4.39332215     86193.0581        
4.39139287     86224.7662        
4.389465283    86256.4413        
4.387539388    86288.0889        
4.385615182    86319.7157        
4.383692663    86351.3183        
4.381771829    86382.894         
4.379852678    86414.4426        
4.377935207    86445.9673        
4.376019414    86477.4607        
4.374105297    86508.9326        
4.372192853    86540.3778        
4.370282082    86571.8022        
4.36837298     86603.1952        
4.366465545    86634.559         
4.364559775    86665.9096        
4.362655667    86697.2238        
4.360753221    86728.5112        
4.358852433    86759.7818        
4.356953301    86791.0207        
4.355055824    86822.2367        
4.353159998    86853.4287        
4.351265823    86884.5806        
4.349373295    86915.7263        
4.347482412    86946.8437        
4.345593173    86977.9327        
4.343705576    87008.9911        
4.341819617    87040.0284        
4.339935296    87071.0408        
4.338052609    87102.0248        
4.336171555    87132.9864        
4.334292131    87163.9208        
4.332414336    87194.8323        
4.330538168    87225.7166        
4.328663623    87256.565         
4.326790701    87287.3982        
4.324919399    87318.2114        
4.323049715    87348.9937        
4.321181647    87379.7478        
4.319315192    87410.4744        
4.317450349    87441.177         
4.315587116    87471.8507        
4.31372549     87502.5045        
4.31186547     87533.1279        
4.310007053    87563.725         
4.308150237    87594.3005        
4.30629502     87624.8348        
4.304441401    87655.3697        
4.302589377    87685.8629        
4.300738945    87716.3377        
4.298890105    87746.7815        
4.297042853    87777.1966        
4.295197189    87807.5905        
4.293353109    87837.9571        
4.291510612    87868.2997        
4.289669695    87898.6148        
4.287830358    87928.9026        
4.285992597    87959.1613        
4.284156411    87989.4018        
4.282321797    88019.611         
4.280488754    88049.7976        
4.27865728     88079.9582        
4.276827372    88110.0855        
4.274999028    88140.1991        
4.273172248    88170.2781        
4.271347028    88200.3212        
4.269523366    88230.3637        
4.267701261    88260.3678        
4.26588071     88290.3367        
4.264061713    88320.3003        
4.262244265    88350.23          
4.260428367    88380.1209        
4.258614015    88409.9925        
4.256801207    88439.8507        
4.254989943    88469.671         
4.253180219    88499.4721        
4.251372034    88529.2402        
4.249565385    88558.9858        
4.247760272    88588.7048        
4.245956691    88618.3982        
4.244154642    88648.0627        
4.242354121    88677.698         
4.240555127    88707.3166        
4.238757659    88736.9017        
4.236961713    88766.4606        
4.235167289    88796.0039        
4.233374384    88825.5114        
4.231582997    88854.9945        
4.229793125    88884.4503        
4.228004766    88913.856         
4.226217919    88943.2692        
4.224432582    88972.5961        
4.222648752    89002.0127        
4.220866429    89031.3407        
4.219085609    89060.6406        
4.217306291    89089.913         
4.215528474    89119.1598        
4.213752155    89148.3823        
4.211977332    89177.5769        
4.210204004    89206.7462        
4.208432168    89235.8897        
4.206661823    89265.0007        
4.204892966    89294.0938        
4.203125597    89323.1486        
4.201359713    89352.1964        
4.199595312    89381.1985        
4.197832392    89410.179         
4.196070952    89439.1448        
4.194310989    89468.0788        
4.192552502    89496.9842        
4.190795489    89525.8604        
4.189039948    89554.7248        
4.187285877    89583.5529        
4.185533275    89612.352         
4.183782139    89641.125         
4.182032468    89669.8708        
4.180284259    89698.6065        
4.178537512    89727.2985        
4.176792224    89755.9683        
4.175048393    89784.6156        
4.173306017    89813.2086        
4.171565095    89841.8303        
4.169825625    89870.3983        
4.168087606    89898.9295        
4.166351034    89927.4533        
4.164615909    89955.9385        
4.162882228    89984.3988        
4.161149991    90012.8372        
4.159419194    90041.254         
4.157689836    90069.6263        
4.155961916    90097.9958        
4.154235432    90126.3275        
4.152510381    90154.6267        
