#wvl [um]      Flux [erg/s/cm]
5.5            53885.1439        
5.496976663    45380.699         
5.493956648    62432.9586        
5.490939949    59566.4676        
5.487926562    56287.4054        
5.48491648     62928.7111        
5.481909698    60501.017         
5.478906211    58574.0377        
5.475906014    62003.9519        
5.4729091      64178.2416        
5.469915465    58479.7653        
5.466925103    61425.5109        
5.463938009    59924.9423        
5.460954178    51884.6449        
5.457973603    63166.4503        
5.454996281    53280.4839        
5.452022205    64045.7508        
5.44905137     62681.1712        
5.446083771    60862.9023        
5.443119402    59919.7172        
5.440158259    61286.1571        
5.437200336    51188.5998        
5.434245628    63434.3899        
5.431294129    60506.9801        
5.428345835    64698.1673        
5.42540074     53876.5523        
5.422458839    63431.6542        
5.419520126    63009.9282        
5.416584597    64564.5411        
5.413652247    54962.0465        
5.410723069    63211.177         
5.40779706     62267.835         
5.404874214    60047.971         
5.401954525    62892.5623        
5.39903799     62272.0533        
5.396124601    63445.5798        
5.393214356    64710.8143        
5.390307248    58340.3527        
5.387403272    61348.1987        
5.384502423    61110.3276        
5.381604697    55826.0061        
5.378710088    56831.3294        
5.375818591    54311.3033        
5.372930201    59596.1347        
5.370044913    64646.5304        
5.367162723    62325.4822        
5.364283624    66195.2171        
5.361407613    62972.6787        
5.358534684    63994.9377        
5.355664833    62700.7516        
5.352798054    64676.365         
5.349934342    62902.8674        
5.347073692    64463.9851        
5.344216101    53511.4012        
5.341361562    58123.386         
5.33851007     63275.4918        
5.335661622    61180.572         
5.332816212    65763.0217        
5.329973835    60301.2843        
5.327134486    62368.8586        
5.324298161    57742.9381        
5.321464854    64356.0349        
5.318634561    63083.3487        
5.315807278    49462.9325        
5.312982998    58647.7058        
5.310161719    68014.1191        
5.307343433    62650.6395        
5.304528138    63805.5064        
5.301715828    63697.4217        
5.298906498    59361.3837        
5.296100144    65256.6975        
5.293296761    67280.1364        
5.290496345    47899.9347        
5.28769889     65341.2633        
5.284904391    49022.6559        
5.282112845    65579.0808        
5.279324246    66832.2926        
5.276538591    64797.8331        
5.273755873    62621.4999        
5.270976089    64655.9543        
5.268199234    66511.697         
5.265425303    67389.5405        
5.262654291    68081.6479        
5.259886195    66713.2438        
5.257121009    67002.0615        
5.254358729    67467.7025        
5.251599351    58450.6906        
5.248842869    66448.9426        
5.246089279    68227.9366        
5.243338577    66699.2661        
5.240590758    61313.8458        
5.237845817    52129.2323        
5.23510375     63729.5724        
5.232364553    65564.7848        
5.229628221    63651.0585        
5.226894749    67691.1122        
5.224164134    54432.3328        
5.22143637     66582.9356        
5.218711453    68561.8163        
5.215989378    63589.9409        
5.213270142    62727.5012        
5.21055374     65811.2737        
5.207840167    64690.1336        
5.205129418    61480.4117        
5.202421491    65096.5787        
5.199716379    66328.41          
5.197014079    64935.4116        
5.194314587    52979.0945        
5.191617897    67495.1446        
5.188924006    64588.4778        
5.186232909    67921.0577        
5.183544602    67888.1726        
5.180859081    66756.6985        
5.17817634     51412.3518        
5.175496377    66117.211         
5.172819186    67856.8515        
5.170144764    58750.2938        
5.167473106    62954.7796        
5.164804207    49048.6969        
5.162138064    64682.0943        
5.159474672    61130.7074        
5.156814027    61385.0552        
5.154156124    57164.085         
5.15150096     69673.2379        
5.14884853     66091.6633        
5.14619883     63175.5673        
5.143551856    64564.1876        
5.140907604    65784.5973        
5.138266069    68800.5851        
5.135627247    69005.1121        
5.132991134    68896.9116        
5.130357726    69453.4779        
5.127727018    68479.1832        
5.125099008    69262.9201        
5.122473689    64838.0184        
5.119851059    68126.5829        
5.117231113    66568.5846        
5.114613847    68084.7648        
5.111999256    64672.8951        
5.109387338    59024.6608        
5.106778087    65729.664         
5.1041715      69098.9467        
5.101567573    71585.4764        
5.0989663      65195.7057        
5.09636768     66637.6925        
5.093771706    70500.3011        
5.091178376    66694.8294        
5.088587686    68975.9358        
