#wvl [um]      Flux [erg/s/cm]
5.5            66463.2775        
5.496976663    51566.5516        
5.493956648    55002.6742        
5.490939949    45094.2312        
5.487926562    55639.104         
5.48491648     58374.3293        
5.481909698    64568.1927        
5.478906211    50514.8384        
5.475906014    63390.0759        
5.4729091      56751.6911        
5.469915465    59973.4967        
5.466925103    59480.0759        
5.463938009    56006.7179        
5.460954178    64351.8444        
5.457973603    67304.5008        
5.454996281    45541.3232        
5.452022205    60151.0339        
5.44905137     63413.3659        
5.446083771    60915.2398        
5.443119402    43853.4963        
5.440158259    64189.1751        
5.437200336    45748.462         
5.434245628    67866.392         
5.431294129    53396.0644        
5.428345835    48287.5222        
5.42540074     67803.2855        
5.422458839    43949.5207        
5.419520126    52043.6089        
5.416584597    53693.4497        
5.413652247    67082.8408        
5.410723069    54922.7365        
5.40779706     61730.1626        
5.404874214    65765.0872        
5.401954525    65066.5097        
5.39903799     67990.6707        
5.396124601    67782.3987        
5.393214356    45678.6597        
5.390307248    46331.8747        
5.387403272    65227.967         
5.384502423    56884.5379        
5.381604697    68634.5984        
5.378710088    51448.1346        
5.375818591    63258.2097        
5.372930201    67029.8671        
5.370044913    52789.6939        
5.367162723    68299.5484        
5.364283624    44927.3112        
5.361407613    62029.8369        
5.358534684    56115.5942        
5.355664833    70126.231         
5.352798054    68572.6421        
5.349934342    62423.1907        
5.347073692    61082.9645        
5.344216101    64304.0714        
5.341361562    49956.2787        
5.33851007     57112.2149        
5.335661622    67511.0996        
5.332816212    70122.9823        
5.329973835    55246.2135        
5.327134486    59212.4586        
5.324298161    69389.3006        
5.321464854    59809.9945        
5.318634561    65278.5579        
5.315807278    70155.8107        
5.312982998    70805.9994        
5.310161719    63257.0468        
5.307343433    69064.6192        
5.304528138    57446.583         
5.301715828    64306.7272        
5.298906498    68323.3094        
5.296100144    62603.6269        
5.293296761    54181.0894        
5.290496345    63537.8304        
5.28769889     70131.3265        
5.284904391    70708.6363        
5.282112845    61137.7116        
5.279324246    53102.9443        
5.276538591    48454.3874        
5.273755873    69073.5577        
5.270976089    63486.7736        
5.268199234    62736.5745        
5.265425303    69874.8235        
5.262654291    62096.9435        
5.259886195    68574.6002        
5.257121009    69843.6196        
5.254358729    46363.0986        
5.251599351    59723.9631        
5.248842869    68910.3852        
5.246089279    67190.1517        
5.243338577    61442.1293        
5.240590758    50054.9949        
5.237845817    68587.2222        
5.23510375     69445.278         
5.232364553    55767.0596        
5.229628221    53298.5869        
5.226894749    69101.6677        
5.224164134    67627.1319        
5.22143637     46176.2626        
5.218711453    57395.6197        
5.215989378    68806.243         
5.213270142    67439.3811        
5.21055374     45433.3652        
5.207840167    66530.6324        
5.205129418    71462.667         
5.202421491    65379.3791        
5.199716379    55056.7084        
5.197014079    66172.7259        
5.194314587    67555.0435        
5.191617897    68263.3756        
5.188924006    70096.1319        
5.186232909    68708.0461        
5.183544602    70278.4621        
5.180859081    65800.85          
5.17817634     72620.5861        
5.175496377    65872.5233        
5.172819186    53613.9312        
5.170144764    63201.5663        
5.167473106    48394.6538        
5.164804207    59596.208         
5.162138064    66702.6329        
5.159474672    67508.4759        
5.156814027    48039.5499        
5.154156124    72550.6687        
5.15150096     71961.8176        
5.14884853     69101.2761        
5.14619883     61325.7463        
5.143551856    63288.5995        
5.140907604    70616.4963        
5.138266069    71974.7415        
5.135627247    66165.2415        
5.132991134    72345.8627        
5.130357726    63262.3639        
5.127727018    60584.9235        
5.125099008    64106.1403        
5.122473689    53530.5534        
5.119851059    67808.5982        
5.117231113    56728.1219        
5.114613847    49745.3549        
5.111999256    50342.9043        
5.109387338    48224.6859        
5.106778087    70387.0706        
5.1041715      56380.8485        
5.101567573    70597.7491        
5.0989663      46527.434         
5.09636768     50080.0013        
5.093771706    51865.0256        
5.091178376    65741.7533        
5.088587686    73734.0069        
5.08599963     64015.0845        
5.083414206    72000.8105        
5.080831409    47633.2771        
5.078251235    69180.8426        
5.07567368     70346.4156        
5.073098741    73485.6991        
5.070526413    73337.1226        
5.067956692    73242.0267        
5.065389575    70712.7716        
5.062825056    57995.158         
5.060263134    71258.1826        
5.057703802    72039.4793        
5.055147059    66967.8653        
5.052592899    72390.17          
5.050041319    74082.7101        
5.047492314    66728.4184        
5.044945881    49800.1859        
5.042402017    67042.4704        
5.039860717    67905.6572        
5.037321976    67058.2507        
5.034785793    73977.2585        
5.032252162    70578.8294        
5.029721079    54322.4796        
5.027192541    63879.1888        
5.024666545    60744.3611        
5.022143085    52119.6466        
5.019622159    57316.1735        
5.017103763    68941.3819        
5.014587892    74160.0494        
5.012074543    64326.5438        
5.009563713    72350.1081        
5.007055396    66066.7096        
5.004549591    74624.8661        
5.002046292    72917.9278        
4.999545496    49158.733         
4.997047199    68420.7274        
4.994551398    68122.8179        
4.992058089    72938.9511        
4.989567268    50092.4038        
4.987078932    73384.3752        
4.984593076    75580.4742        
4.982109697    69601.9759        
4.979628791    57798.7361        
4.977150355    72379.1457        
4.974674385    72297.9339        
4.972200877    73921.9003        
4.969729827    71688.6349        
4.967261233    59162.6542        
4.964795089    72162.4487        
4.962331394    75494.2465        
4.959870142    74292.6095        
4.95741133     75181.0912        
4.954954955    68731.5009        
4.952501013    74238.4608        
4.9500495      66734.4509        
4.947600414    58625.4896        
4.945153749    75697.7694        
4.942709503    57244.7819        
4.940267673    75691.1012        
4.937828253    76278.5991        
4.935391242    71556.8143        
4.932956635    73950.9304        
4.930524429    75457.0451        
4.928094619    74575.2799        
4.925667204    55636.5356        
