#wvl [um]      Flux [erg/s/cm]
5.5            69153.3731        
5.496976663    69158.8708        
5.493956648    69208.1914        
5.490939949    69278.8508        
5.487926562    69322.0397        
5.48491648     69368.1676        
5.481909698    69411.4739        
5.478906211    69445.0907        
5.475906014    69492.6804        
5.4729091      69534.5284        
5.469915465    69571.9124        
5.466925103    69594.1312        
5.463938009    69661.6491        
5.460954178    69702.6617        
5.457973603    69743.3115        
5.454996281    69720.0012        
5.452022205    68779.7403        
5.44905137     69793.1181        
5.446083771    69890.6451        
5.443119402    69923.3539        
5.440158259    69974.061         
5.437200336    70030.1552        
5.434245628    70080.3342        
5.431294129    70112.2357        
5.428345835    70145.8563        
5.42540074     70167.7823        
5.422458839    70164.2896        
5.419520126    70279.9869        
5.416584597    70329.3581        
5.413652247    70371.8481        
5.410723069    70394.3241        
5.40779706     70456.7965        
5.404874214    70492.6927        
5.401954525    70536.7962        
5.39903799     70570.9883        
5.396124601    70620.6665        
5.393214356    70662.4999        
5.390307248    70458.4243        
5.387403272    70720.8489        
5.384502423    70713.481         
5.381604697    70805.425         
5.378710088    70871.5812        
5.375818591    70912.3556        
5.372930201    70945.2926        
5.370044913    70984.0556        
5.367162723    70559.4642        
5.364283624    71064.1059        
5.361407613    71109.0203        
5.358534684    71158.6428        
5.355664833    71199.6069        
5.352798054    71190.9635        
5.349934342    71279.8869        
5.347073692    71324.4909        
5.344216101    71330.867         
5.341361562    71392.3233        
5.33851007     71424.2297        
5.335661622    71485.8886        
5.332816212    71526.2704        
5.329973835    71243.261         
5.327134486    71612.8303        
5.324298161    71652.2376        
5.321464854    71675.1512        
5.318634561    71715.5958        
5.315807278    71771.3973        
5.312982998    71812.1448        
5.310161719    71796.6206        
5.307343433    71822.0126        
5.304528138    71910.2423        
5.301715828    71964.7864        
5.298906498    72022.8465        
5.296100144    72057.599         
5.293296761    72061.6255        
5.290496345    72141.8189        
5.28769889     72148.4398        
5.284904391    72179.3616        
5.282112845    72248.4862        
5.279324246    72301.0745        
5.276538591    72342.534         
5.273755873    72380.4056        
5.270976089    72370.8267        
5.268199234    72461.1587        
5.265425303    72499.5068        
