#wvl [um]      Flux [erg/s/cm]
5.5            69159.8581        
5.496976663    69202.0256        
5.493956648    69244.1843        
5.490939949    69286.3335        
5.487926562    69328.4448        
5.48491648     69370.5485        
5.481909698    69412.633         
5.478906211    69454.6819        
5.475906014    69496.7129        
5.4729091      69538.7516        
5.469915465    69580.7448        
5.466925103    69622.7122        
5.463938009    69664.6745        
5.460954178    69706.5889        
5.457973603    69748.5431        
5.454996281    69790.4495        
5.452022205    69832.3331        
5.44905137     69874.1889        
5.446083771    69915.9878        
5.443119402    69957.8521        
5.440158259    69999.6608        
5.437200336    70041.4336        
5.434245628    70083.185         
5.431294129    70124.9076        
5.428345835    70166.6726        
5.42540074     70208.3564        
5.422458839    70250.0204        
5.419520126    70291.7282        
5.416584597    70333.3758        
5.413652247    70375.0025        
5.410723069    70416.6201        
5.40779706     70458.2064        
5.404874214    70499.7737        
5.401954525    70541.3169        
5.39903799     70582.8498        
5.396124601    70624.3698        
5.393214356    70665.8646        
5.390307248    70707.334         
5.387403272    70748.7776        
5.384502423    70790.2236        
5.381604697    70831.6242        
5.378710088    70873.0349        
5.375818591    70914.4088        
5.372930201    70955.7554        
5.370044913    70997.0996        
5.367162723    71038.4099        
5.364283624    71079.7115        
5.361407613    71120.9847        
5.358534684    71162.2366        
5.355664833    71203.4804        
5.352798054    71244.6937        
5.349934342    71285.8871        
5.347073692    71327.0658        
5.344216101    71368.2208        
5.341361562    71409.3203        
5.33851007     71450.4704        
5.335661622    71491.5668        
5.332816212    71532.6414        
5.329973835    71573.685         
5.327134486    71614.7256        
5.324298161    71655.7365        
5.321464854    71696.7338        
5.318634561    71737.6993        
5.315807278    71778.6593        
5.312982998    71819.585         
5.310161719    71860.492         
5.307343433    71901.3797        
5.304528138    71942.2509        
5.301715828    71983.0883        
5.298906498    72023.9191        
5.296100144    72064.7218        
5.293296761    72105.4725        
5.290496345    72146.2767        
5.28769889     72187.023         
5.284904391    72227.7427        
5.282112845    72268.4453        
5.279324246    72309.1241        
5.276538591    72349.7834        
5.273755873    72390.4248        
5.270976089    72431.0484        
5.268199234    72471.6413        
5.265425303    72512.2202        
5.262654291    72552.7763        
5.259886195    72593.3131        
5.257121009    72633.8113        
5.254358729    72674.3264        
5.251599351    72714.8036        
5.248842869    72755.2562        
5.246089279    72795.6772        
5.243338577    72836.1052        
5.240590758    72876.4956        
5.237845817    72916.871         
5.23510375     72957.2147        
5.232364553    72997.5308        
5.229628221    73037.8576        
5.226894749    73078.1358        
5.224164134    73118.4122        
5.22143637     73158.6503        
5.218711453    73198.8786        
5.215989378    73239.0819        
5.213270142    73279.2555        
5.21055374     73319.4013        
5.207840167    73359.5463        
5.205129418    73399.6804        
5.202421491    73439.774         
5.199716379    73479.8515        
5.197014079    73519.8981        
5.194314587    73559.9331        
5.191617897    73599.9446        
5.188924006    73639.9298        
5.186232909    73679.8724        
5.183544602    73719.8438        
5.180859081    73759.7653        
5.17817634     73799.6732        
5.175496377    73839.5524        
5.172819186    73879.4144        
5.170144764    73919.2534        
5.167473106    73959.0689        
5.164804207    73998.8659        
5.162138064    74038.646         
5.159474672    74078.3955        
5.156814027    74118.1334        
5.154156124    74157.8403        
5.15150096     74197.54          
5.14884853     74237.2044        
5.14619883     74276.8343        
5.143551856    74316.4791        
5.140907604    74356.0779        
5.138266069    74395.6657        
5.135627247    74435.2231        
5.132991134    74474.7552        
5.130357726    74514.2846        
5.127727018    74553.7873        
5.125099008    74593.2652        
5.122473689    74632.7272        
5.119851059    74672.1515        
5.117231113    74711.5676        
5.114613847    74750.957         
5.111999256    74790.3192        
5.109387338    74829.666         
5.106778087    74868.9826        
5.1041715      74908.2926        
5.101567573    74947.561         
5.0989663      74986.8231        
5.09636768     75026.053         
5.093771706    75065.27          
5.091178376    75104.461         
5.088587686    75143.615         
5.08599963     75182.7619        
5.083414206    75221.8936        
5.080831409    75260.9917        
5.078251235    75300.0751        
5.07567368     75339.1294        
5.073098741    75378.1581        
5.070526413    75417.1815        
5.067956692    75456.1702        
5.065389575    75495.1351        
5.062825056    75534.0891        
5.060263134    75573.0052        
5.057703802    75611.9048        
5.055147059    75650.7972        
5.052592899    75689.6559        
5.050041319    75728.4964        
5.047492314    75767.3141        
5.044945881    75806.1087        
5.042402017    75844.8809        
5.039860717    75883.6118        
5.037321976    75922.364         
5.034785793    75961.0676        
5.032252162    75999.7514        
5.029721079    76038.4142        
5.027192541    76077.0356        
5.024666545    76115.664         
5.022143085    76154.2589        
5.019622159    76192.8396        
5.017103763    76231.3861        
5.014587892    76269.8891        
5.012074543    76308.4053        
5.009563713    76346.8887        
5.007055396    76385.361         
5.004549591    76423.8074        
5.002046292    76462.2194        
4.999545496    76500.6145        
4.997047199    76538.9763        
4.994551398    76577.3292        
4.992058089    76615.6492        
4.989567268    76653.9531        
4.987078932    76692.2297        
4.984593076    76730.4757        
