#wvl [um]      Flux [erg/s/cm]
5.5            69159.8029        
5.496976663    69201.7967        
5.493956648    69244.0519        
5.490939949    69286.1601        
5.487926562    69328.078         
5.48491648     69370.3464        
5.481909698    69412.5488        
5.478906211    69454.6369        
5.475906014    69496.6266        
5.4729091      69537.9426        
5.469915465    69579.9551        
5.466925103    69622.5811        
5.463938009    69664.5769        
5.460954178    69706.3267        
5.457973603    69748.4681        
5.454996281    69790.3674        
5.452022205    69832.2549        
5.44905137     69874.1012        
5.446083771    69915.9913        
5.443119402    69957.7446        
5.440158259    69999.4478        
5.437200336    70041.2957        
5.434245628    70083.1606        
5.431294129    70124.9028        
5.428345835    70166.5252        
5.42540074     70208.2894        
5.422458839    70249.193         
5.419520126    70291.6764        
5.416584597    70333.3241        
5.413652247    70374.8813        
5.410723069    70416.509         
5.40779706     70457.613         
5.404874214    70499.6091        
5.401954525    70540.9082        
5.39903799     70582.7991        
5.396124601    70624.0888        
5.393214356    70665.8181        
5.390307248    70707.264         
5.387403272    70748.1662        
5.384502423    70789.6708        
5.381604697    70831.5465        
5.378710088    70872.9343        
5.375818591    70914.3767        
5.372930201    70955.6949        
5.370044913    70996.2816        
5.367162723    71038.2685        
5.364283624    71079.6576        
5.361407613    71120.8698        
5.358534684    71162.1326        
5.355664833    71203.4106        
5.352798054    71244.5978        
5.349934342    71285.7934        
5.347073692    71326.9334        
5.344216101    71368.1141        
5.341361562    71409.2792        
5.33851007     71450.4322        
5.335661622    71491.4671        
5.332816212    71532.5184        
5.329973835    71573.6166        
5.327134486    71614.6071        
5.324298161    71655.4751        
5.321464854    71696.6155        
5.318634561    71737.5253        
5.315807278    71778.523         
5.312982998    71819.5155        
5.310161719    71860.4011        
5.307343433    71901.2961        
5.304528138    71942.0878        
5.301715828    71983.007         
5.298906498    72023.7522        
5.296100144    72064.535         
5.293296761    72105.3775        
5.290496345    72145.9306        
5.28769889     72186.8427        
5.284904391    72227.6409        
5.282112845    72268.2793        
5.279324246    72309.0514        
5.276538591    72349.6794        
5.273755873    72390.2745        
5.270976089    72430.9319        
5.268199234    72471.5           
5.265425303    72512.0516        
5.262654291    72552.5897        
5.259886195    72593.162         
5.257121009    72633.7901        
5.254358729    72674.2183        
5.251599351    72714.6405        
5.248842869    72755.1858        
5.246089279    72795.408         
5.243338577    72835.8864        
5.240590758    72876.3902        
5.237845817    72916.7391        
5.23510375     72956.9482        
5.232364553    72997.2738        
5.229628221    73037.7139        
5.226894749    73077.8853        
5.224164134    73118.2731        
5.22143637     73158.5434        
5.218711453    73198.7257        
5.215989378    73238.9703        
5.213270142    73279.1553        
5.21055374     73319.2555        
5.207840167    73359.4525        
5.205129418    73399.4741        
5.202421491    73439.6484        
5.199716379    73479.4042        
5.197014079    73519.6361        
5.194314587    73559.7579        
5.191617897    73599.7218        
5.188924006    73639.7732        
5.186232909    73679.7711        
5.183544602    73719.6955        
5.180859081    73759.6806        
5.17817634     73799.4261        
5.175496377    73839.3874        
5.172819186    73879.0096        
5.170144764    73918.9981        
5.167473106    73958.6192        
5.164804207    73998.6179        
5.162138064    74038.284         
5.159474672    74077.9584        
5.156814027    74117.9697        
5.154156124    74157.5711        
5.15150096     74197.2496        
5.14884853     74237.042         
5.14619883     74276.5555        
5.143551856    74316.2581        
5.140907604    74355.8948        
5.138266069    74395.4728        
5.135627247    74434.7267        
5.132991134    74474.6227        
5.130357726    74514.166         
5.127727018    74553.645         
5.125099008    74593.1262        
5.122473689    74632.2033        
5.119851059    74671.7361        
5.117231113    74711.2045        
5.114613847    74750.7023        
5.111999256    74790.1552        
5.109387338    74829.4709        
5.106778087    74868.7481        
