#wvl [um]      Flux [erg/s/cm]
5.5            60583.2603        
5.496976663    41917.9883        
5.493956648    44543.159         
5.490939949    35796.3672        
5.487926562    43719.6464        
5.48491648     48156.5976        
5.481909698    56902.5028        
5.478906211    39504.0861        
5.475906014    54629.9811        
5.4729091      46172.0853        
5.469915465    50038.4722        
5.466925103    49173.2409        
5.463938009    44733.5553        
5.460954178    57041.6203        
5.457973603    61445.2322        
5.454996281    35789.6623        
5.452022205    49146.2801        
5.44905137     54985.3936        
5.446083771    50874.9914        
5.443119402    34796.9329        
5.440158259    55390.1097        
5.437200336    35905.625         
5.434245628    62671.1729        
5.431294129    42521.4427        
5.428345835    37627.1219        
5.42540074     61638.7522        
5.422458839    34866.7973        
5.419520126    40046.6965        
5.416584597    41936.9904        
5.413652247    60946.5275        
5.410723069    43266.7031        
5.40779706     50930.0668        
5.404874214    57737.3942        
5.401954525    56914.6163        
5.39903799     63283.9769        
5.396124601    62592.7973        
5.393214356    35776.639         
5.390307248    36170.7729        
5.387403272    56683.6696        
5.384502423    45995.857         
5.381604697    63595.6996        
5.378710088    40639.2997        
5.375818591    53243.5304        
5.372930201    59094.4576        
5.370044913    42231.3854        
5.367162723    62290.7965        
5.364283624    35380.7457        
5.361407613    52937.5926        
5.358534684    44506.3933        
5.355664833    67241.8207        
5.352798054    62662.035         
5.349934342    52155.3705        
5.347073692    50514.51          
5.344216101    55162.1019        
5.341361562    38888.9995        
5.33851007     45150.1662        
5.335661622    59778.0538        
5.332816212    66783.7874        
5.329973835    43422.3624        
5.327134486    48192.8856        
5.324298161    64339.4402        
5.321464854    48529.6649        
5.318634561    56613.7769        
5.315807278    66288.3363        
5.312982998    68071.0382        
5.310161719    52975.7261        
5.307343433    63144.9434        
5.304528138    45975.6223        
5.301715828    52911.8257        
5.298906498    61868.5418        
5.296100144    51974.9227        
5.293296761    42873.387         
5.290496345    53066.2763        
5.28769889     65018.0184        
5.284904391    66450.7676        
5.282112845    50792.9795        
5.279324246    41570.4111        
5.276538591    37352.5272        
5.273755873    62501.3633        
5.270976089    54208.4833        
5.268199234    52609.2714        
5.265425303    63709.6187        
5.262654291    50647.3718        
5.259886195    61933.7354        
5.257121009    63206.9709        
5.254358729    36399.5876        
5.251599351    48527.4713        
5.248842869    62135.0341        
5.246089279    57880.551         
5.243338577    50159.8543        
5.240590758    38626.794         
5.237845817    61431.1084        
5.23510375     62643.9792        
5.232364553    42757.6307        
5.229628221    41174.2029        
5.226894749    62030.9945        
5.224164134    57963.0864        
5.22143637     36139.6377        
5.218711453    45350.1986        
5.215989378    61182.0014        
5.213270142    57936.5912        
5.21055374     35817.8916        
5.207840167    57928.3836        
5.205129418    66350.2267        
5.202421491    54728.9326        
5.199716379    42957.4087        
5.197014079    56381.121         
5.194314587    59176.5429        
5.191617897    60255.4304        
5.188924006    63933.2073        
5.186232909    60735.3091        
5.183544602    63489.2361        
5.180859081    55804.8699        
5.17817634     69314.4949        
