#wvl [um]      Flux [erg/s/cm]
5.5            61293.1302        
5.496976663    56670.9398        
5.493956648    34636.9616        
5.490939949    44044.4144        
5.487926562    66871.5695        
5.48491648     59667.5212        
5.481909698    64375.7311        
5.478906211    66959.4705        
5.475906014    63622.4586        
5.4729091      45758.9066        
5.469915465    64805.832         
5.466925103    61202.1896        
5.463938009    67355.4805        
5.460954178    63440.0084        
5.457973603    63372.8327        
5.454996281    56598.0554        
5.452022205    65403.279         
5.44905137     65868.9243        
5.446083771    67664.5964        
5.443119402    46850.7755        
5.440158259    61790.4973        
5.437200336    63453.6077        
5.434245628    56464.1758        
5.431294129    66021.3902        
5.428345835    64292.9127        
5.42540074     60664.9692        
5.422458839    60650.6856        
5.419520126    65229.3952        
5.416584597    44437.2314        
5.413652247    67266.3209        
5.410723069    51687.2618        
5.40779706     64747.532         
5.404874214    35277.2484        
5.401954525    54963.5318        
5.39903799     67757.1554        
5.396124601    56525.655         
5.393214356    59469.5544        
5.390307248    65317.7946        
5.387403272    58611.1141        
5.384502423    37827.6003        
5.381604697    52166.8882        
5.378710088    54181.1239        
5.375818591    66496.4771        
5.372930201    45034.1098        
5.370044913    62801.0058        
5.367162723    59036.7277        
5.364283624    64249.0104        
5.361407613    62351.1229        
5.358534684    64859.8773        
5.355664833    41375.2785        
5.352798054    61667.7757        
5.349934342    65192.5529        
5.347073692    48174.191         
5.344216101    65677.4989        
5.341361562    35570.7596        
5.33851007     60034.4022        
5.335661622    66172.0189        
5.332816212    60878.4319        
5.329973835    62922.3458        
5.327134486    62864.0862        
5.324298161    50312.7782        
5.321464854    64355.4707        
5.318634561    59816.2744        
5.315807278    42618.1935        
5.312982998    59033.3616        
5.310161719    58252.8221        
5.307343433    56723.3972        
5.304528138    35397.4564        
5.301715828    57130.2654        
5.298906498    41042.0231        
5.296100144    52517.6483        
5.293296761    52272.9825        
5.290496345    56181.1958        
5.28769889     54343.0383        
5.284904391    52935.685         
5.282112845    47821.2118        
5.279324246    61564.9947        
5.276538591    53969.5341        
5.273755873    52811.4193        
5.270976089    43734.0806        
5.268199234    48533.4871        
5.265425303    63344.3777        
5.262654291    48588.6365        
5.259886195    62003.5677        
5.257121009    53359.21          
5.254358729    58965.8389        
5.251599351    63679.0883        
5.248842869    36001.3157        
5.246089279    55941.7415        
5.243338577    57474.761         
5.240590758    57424.3078        
5.237845817    63223.1274        
5.23510375     52076.4399        
5.232364553    35643.8021        
5.229628221    37537.1768        
5.226894749    52976.1843        
5.224164134    56267.6459        
5.22143637     43272.9868        
5.218711453    46614.3507        
5.215989378    57736.6416        
5.213270142    37842.2417        
5.21055374     61181.1302        
5.207840167    51010.4259        
5.205129418    58133.831         
5.202421491    50381.0838        
5.199716379    46014.0963        
5.197014079    60582.4353        
5.194314587    62732.2279        
5.191617897    59050.8128        
5.188924006    40885.3645        
5.186232909    51528.1157        
5.183544602    57943.4365        
5.180859081    63009.7278        
5.17817634     60076.1007        
5.175496377    51983.4997        
5.172819186    52539.363         
5.170144764    56355.3137        
5.167473106    42648.3104        
5.164804207    60753.2803        
5.162138064    49270.3439        
5.159474672    49840.7638        
5.156814027    53921.6136        
5.154156124    61728.0577        
5.15150096     63218.0613        
5.14884853     56416.4501        
5.14619883     42851.5751        
5.143551856    40934.9598        
5.140907604    59106.1021        
5.138266069    61231.5355        
5.135627247    58327.8629        
5.132991134    37828.0851        
5.130357726    53427.4972        
5.127727018    54348.2799        
5.125099008    49298.9215        
5.122473689    58255.7336        
5.119851059    46030.5692        
5.117231113    52566.0056        
5.114613847    58285.0068        
5.111999256    60882.3798        
5.109387338    44062.9792        
5.106778087    48178.8085        
5.1041715      51077.0139        
5.101567573    57596.791         
5.0989663      52312.8847        
5.09636768     56158.6541        
5.093771706    50019.5864        
5.091178376    48001.8077        
5.088587686    55893.7066        
5.08599963     60469.9581        
5.083414206    46740.9139        
5.080831409    50088.6952        
5.078251235    47704.0214        
5.07567368     44895.7415        
5.073098741    49987.0534        
5.070526413    41089.6125        
5.067956692    47764.0001        
5.065389575    40975.4251        
5.062825056    58427.4786        
5.060263134    57617.4537        
5.057703802    56113.2588        
5.055147059    42712.4103        
5.052592899    36834.2438        
5.050041319    58038.1842        
5.047492314    45021.2158        
5.044945881    54789.2899        
5.042402017    39482.1744        
5.039860717    44376.0517        
5.037321976    54774.9594        
5.034785793    53946.0066        
5.032252162    43178.1294        
5.029721079    38282.3104        
5.027192541    44642.7951        
5.024666545    47387.8964        
5.022143085    45284.3386        
5.019622159    52405.1849        
5.017103763    49653.5169        
5.014587892    45521.3024        
5.012074543    49186.0865        
5.009563713    53443.1209        
5.007055396    46598.8658        
5.004549591    49555.5413        
5.002046292    43629.9929        
4.999545496    49479.8855        
4.997047199    56494.4918        
4.994551398    39936.4326        
4.992058089    43511.05          
4.989567268    42550.6589        
4.987078932    57233.7484        
4.984593076    52742.2268        
4.982109697    48081.4621        
4.979628791    44574.881         
4.977150355    49658.092         
4.974674385    56308.3248        
4.972200877    37841.9737        
4.969729827    41429.2366        
4.967261233    37596.8908        
4.964795089    52231.3593        
4.962331394    41989.4821        
4.959870142    42662.3632        
4.95741133     39958.5595        
4.954954955    37546.5863        
4.952501013    53598.0153        
4.9500495      48153.4767        
4.947600414    49429.2576        
4.945153749    50061.509         
4.942709503    43037.1615        
4.940267673    53792.4569        
4.937828253    38456.1225        
4.935391242    51498.8411        
4.932956635    46177.8002        
4.930524429    46750.3404        
4.928094619    41913.3362        
4.925667204    39176.9188        
4.923242179    53847.7458        
4.92081954     40735.3126        
4.918399285    43217.4004        
4.915981409    38900.3231        
4.913565909    52292.4861        
4.911152781    50825.1808        
4.908742023    40294.0826        
4.906333631    47886.0477        
4.9039276      51555.2318        
4.901523928    55425.4795        
4.899122612    45810.5153        
4.896723647    46129.6242        
4.89432703     43831.7153        
4.891932758    55482.2838        
4.889540828    52093.4065        
4.887151235    38949.4485        
4.884763977    43734.3192        
4.88237905     52688.5774        
4.879996451    55664.3663        
4.877616176    47941.8164        
4.875238222    42468.7172        
4.872862585    38467.9236        
4.870489263    55662.9435        
4.868118251    52245.5108        
4.865749547    39229.205         
4.863383146    41640.6623        
4.861019046    55624.4084        
4.858657244    55076.8377        
4.856297735    37587.1109        
4.853940517    41068.9031        
4.851585586    52391.1357        
4.84923294     54813.7604        
4.846882573    42026.3964        
4.844534484    41130.707         
4.842188669    48234.4246        
4.839845125    52990.123         
4.837503848    40261.3774        
4.835164835    47281.5422        
4.832828083    42835.7751        
4.830493589    53908.4133        
4.828161348    40787.8427        
4.825831359    51112.7284        
4.823503618    38477.9705        
4.821178121    50618.3536        
4.818854865    48584.0427        
4.816533847    43881.7018        
4.814215064    39042.3387        
4.811898513    46200.8953        
4.80958419     52806.2146        
4.807272092    54670.3122        
4.804962216    37799.4326        
4.802654558    40402.6614        
4.800349116    38766.4876        
4.798045887    55443.4193        
4.795744866    43953.0204        
4.793446052    39927.8499        
4.79114944     50435.9988        
4.788855028    51184.776         
4.786562813    44689.7415        
4.784272791    44851.4381        
4.781984958    46577.6258        
4.779699313    37523.4326        
4.777415852    46293.5238        
4.775134572    47759.2527        
4.772855469    43269.2835        
4.770578541    50995.2348        
4.768303784    46776.6108        
4.766031196    50519.3621        
4.763760773    39314.1121        
4.761492511    53275.822         
4.759226409    45574.4935        
4.756962463    51043.5223        
4.75470067     39159.995         
4.752441027    51341.7238        
4.75018353     41748.5016        
4.747928177    46830.5186        
4.745674964    42294.8503        
4.74342389     50253.0016        
4.741174949    40744.4283        
4.738928141    50432.2445        
4.73668346     44765.8891        
4.734440906    46547.841         
4.732200473    48861.2182        
4.72996216     54636.3795        
4.727725964    46328.2423        
4.725491881    43488.0078        
4.723259908    56724.324         
4.721030043    53831.5343        
4.718802282    45928.1807        
4.716576623    47395.7464        
4.714353062    56169.0857        
4.712131597    47305.8008        
4.709912224    48010.0385        
4.707694941    45687.0765        
