#wvl [um]      Flux [erg/s/cm]
5.5            70023.8764        
5.496976663    70059.8356        
5.493956648    70092.8644        
5.490939949    70117.2506        
5.487926562    70178.6227        
5.48491648     70224.4647        
5.481909698    70204.9805        
5.478906211    70279.72          
5.475906014    70285.3708        
5.4729091      70315.9316        
5.469915465    70449.536         
5.466925103    70453.8407        
5.463938009    70515.4963        
5.460954178    70520.3112        
5.457973603    70589.7891        
5.454996281    70520.8308        
5.452022205    70674.1628        
5.44905137     70749.0492        
5.446083771    70754.1286        
5.443119402    70795.6994        
5.440158259    70876.4205        
5.437200336    70891.8325        
5.434245628    70951.7055        
5.431294129    70972.749         
5.428345835    71042.8391        
5.42540074     71082.8658        
5.422458839    71131.1234        
5.419520126    71168.2116        
5.416584597    71158.0645        
5.413652247    71254.3485        
5.410723069    71283.4601        
5.40779706     71325.4975        
5.404874214    71371.8159        
5.401954525    71415.4552        
5.39903799     71457.216         
5.396124601    71483.773         
5.393214356    71566.652         
5.390307248    71594.773         
5.387403272    71616.5216        
5.384502423    71684.8172        
5.381604697    71706.4113        
5.378710088    71765.9594        
5.375818591    71798.4839        
5.372930201    71813.8975        
5.370044913    71886.2536        
5.367162723    71939.1695        
5.364283624    71933.8869        
5.361407613    72006.7827        
5.358534684    72015.5665        
5.355664833    72117.7002        
5.352798054    72152.7977        
5.349934342    72169.7157        
5.347073692    72201.7346        
5.344216101    72267.8644        
5.341361562    72318.1349        
5.33851007     72359.0055        
5.335661622    72403.2606        
5.332816212    72444.291         
5.329973835    72407.9117        
5.327134486    72536.2929        
5.324298161    72490.6506        
5.321464854    72628.4572        
5.318634561    72617.72          
5.315807278    72688.3117        
5.312982998    72732.9868        
5.310161719    72774.0157        
5.307343433    72666.9379        
5.304528138    72865.8361        
5.301715828    72903.1624        
5.298906498    72956.2051        
5.296100144    72735.9423        
5.293296761    73028.1894        
5.290496345    73070.7244        
5.28769889     73110.0996        
5.284904391    73161.8185        
5.282112845    73196.8932        
5.279324246    73245.5279        
5.276538591    73239.4215        
5.273755873    73324.0293        
5.270976089    73373.838         
5.268199234    73344.0854        
5.265425303    73409.3365        
5.262654291    73475.6471        
5.259886195    73516.0406        
5.257121009    73574.0577        
5.254358729    73624.5591        
5.251599351    73589.7713        
5.248842869    73268.9789        
5.246089279    73707.0058        
5.243338577    73681.7354        
5.240590758    73791.0318        
5.237845817    73867.3434        
5.23510375     73896.0205        
5.232364553    73895.7111        
5.229628221    73941.0025        
5.226894749    74028.1784        
5.224164134    74081.7453        
5.22143637     74094.3065        
5.218711453    74135.0303        
5.215989378    74188.6218        
5.213270142    74243.092         
5.21055374     74253.4944        
5.207840167    74277.3657        
5.205129418    74348.5383        
5.202421491    74389.4685        
5.199716379    74428.6159        
5.197014079    74482.0858        
5.194314587    74516.8843        
5.191617897    74543.3183        
5.188924006    74600.7006        
5.186232909    74582.1076        
5.183544602    74684.754         
5.180859081    74725.933         
5.17817634     74543.0754        
5.175496377    74806.5438        
5.172819186    74846.9928        
5.170144764    74851.0345        
5.167473106    74887.203         
5.164804207    74950.7249        
5.162138064    75001.4834        
5.159474672    75052.0537        
5.156814027    75079.2669        
5.154156124    75136.7725        
5.15150096     75130.7922        
5.14884853     75224.2336        
5.14619883     75221.7956        
5.143551856    75219.5971        
5.140907604    75314.4059        
5.138266069    75348.3549        
5.135627247    74936.3025        
5.132991134    75466.3219        
5.130357726    75493.489         
5.127727018    75535.1455        
5.125099008    75588.0175        
5.122473689    75629.1996        
5.119851059    75657.53          
5.117231113    75687.769         
5.114613847    75744.7322        
5.111999256    75790.8058        
5.109387338    75810.1457        
5.106778087    75866.3683        
5.1041715      75823.4531        
5.101567573    75948.5124        
5.0989663      75962.0838        
5.09636768     75997.9208        
5.093771706    76062.1675        
5.091178376    76112.4522        
5.088587686    76123.8275        
5.08599963     76167.4868        
5.083414206    76203.9906        
5.080831409    76243.8788        
5.078251235    76288.643         
5.07567368     76327.781         
5.073098741    76373.8366        
5.070526413    76353.3664        
5.067956692    76462.1217        
5.065389575    76511.3195        
5.062825056    76498.0832        
5.060263134    76585.3882        
5.057703802    76590.8662        
5.055147059    76396.016         
5.052592899    76673.8199        
5.050041319    76683.1021        
5.047492314    76786.139         
5.044945881    76792.5868        
5.042402017    76870.0973        
5.039860717    76904.7728        
5.037321976    76939.5203        
5.034785793    76907.2834        
5.032252162    77027.4902        
5.029721079    77054.8849        
5.027192541    77075.8607        
5.024666545    77139.332         
5.022143085    77158.7286        
5.019622159    77190.338         
5.017103763    77241.1835        
5.014587892    77292.1542        
5.012074543    77341.5054        
5.009563713    77352.0287        
5.007055396    77389.4662        
5.004549591    77406.1433        
5.002046292    77466.5426        
4.999545496    77518.4807        
4.997047199    77580.0097        
4.994551398    77610.149         
4.992058089    77644.1088        
4.989567268    77689.1944        
4.987078932    77728.7131        
4.984593076    77780.5782        
4.982109697    77774.2128        
4.979628791    77740.1133        
4.977150355    77878.1214        
4.974674385    77901.3614        
4.972200877    77953.4788        
4.969729827    77967.9823        
4.967261233    77953.5695        
4.964795089    78033.9176        
4.962331394    78096.8668        
4.959870142    78175.4898        
4.95741133     78193.4736        
4.954954955    78020.2346        
4.952501013    78279.4229        
4.9500495      78320.2387        
4.947600414    78305.9964        
4.945153749    78392.0764        
4.942709503    78397.4926        
4.940267673    78463.2127        
4.937828253    78517.7053        
4.935391242    78553.8272        
4.932956635    78557.039         
4.930524429    78612.1621        
4.928094619    78652.1395        
4.925667204    78695.4364        
4.923242179    78698.6573        
4.92081954     78761.2401        
4.918399285    78822.3644        
4.915981409    78854.2755        
4.913565909    78890.915         
4.911152781    78767.1176        
