# Uniform top-hat spectral response curve for HST grism G141
# Wavelenght range: [1.335, 1.37]

# Wavel    Spectral Response
# microns  electrons / photon
1.325000   0.000000  
1.325118   0.000000  
1.325235   0.000000  
1.325353   0.000000  
1.325471   0.000000  
1.325588   0.000000  
1.325706   0.000000  
1.325824   0.000000  
1.325941   0.000000  
1.326059   0.000000  
1.326176   0.000000  
1.326294   0.000000  
1.326412   0.000000  
1.326529   0.000000  
1.326647   0.000000  
1.326765   0.000000  
1.326882   0.000000  
1.327000   0.000000  
1.327118   0.000000  
1.327235   0.000000  
1.327353   0.000000  
1.327471   0.000000  
1.327588   0.000000  
1.327706   0.000000  
1.327824   0.000000  
1.327941   0.000000  
1.328059   0.000000  
1.328176   0.000000  
1.328294   0.000000  
1.328412   0.000000  
1.328529   0.000000  
1.328647   0.000000  
1.328765   0.000000  
1.328882   0.000000  
1.329000   0.000000  
1.329118   0.000000  
1.329235   0.000000  
1.329353   0.000000  
1.329471   0.000000  
1.329588   0.000000  
1.329706   0.000000  
1.329824   0.000000  
1.329941   0.000000  
1.330059   0.000000  
1.330176   0.000000  
1.330294   0.000000  
1.330412   0.000000  
1.330529   0.000000  
1.330647   0.000000  
1.330765   0.000000  
1.330882   0.000000  
1.331000   0.000000  
1.331118   0.000000  
1.331235   0.000000  
1.331353   0.000000  
1.331471   0.000000  
1.331588   0.000000  
1.331706   0.000000  
1.331824   0.000000  
1.331941   0.000000  
1.332059   0.000000  
1.332176   0.000000  
1.332294   0.000000  
1.332412   0.000000  
1.332529   0.000000  
1.332647   0.000000  
1.332765   0.000000  
1.332882   0.000000  
1.333000   0.000000  
1.333118   0.000000  
1.333235   0.000000  
1.333353   0.000000  
1.333471   0.000000  
1.333588   0.000000  
1.333706   0.000000  
1.333824   0.000000  
1.333941   0.000000  
1.334059   0.000000  
1.334176   0.000000  
1.334294   0.000000  
1.334412   0.000000  
1.334529   0.000000  
1.334647   0.000000  
1.334765   0.000000  
1.334882   0.000000  
1.335000   0.000000  
1.335000   1.000000  
1.335117   1.000000  
1.335234   1.000000  
1.335351   1.000000  
1.335468   1.000000  
1.335585   1.000000  
1.335702   1.000000  
1.335819   1.000000  
1.335936   1.000000  
1.336054   1.000000  
1.336171   1.000000  
1.336288   1.000000  
1.336405   1.000000  
1.336522   1.000000  
1.336639   1.000000  
1.336756   1.000000  
1.336873   1.000000  
1.336990   1.000000  
1.337107   1.000000  
1.337224   1.000000  
1.337341   1.000000  
1.337458   1.000000  
1.337575   1.000000  
1.337692   1.000000  
1.337809   1.000000  
1.337926   1.000000  
1.338043   1.000000  
1.338161   1.000000  
1.338278   1.000000  
1.338395   1.000000  
1.338512   1.000000  
1.338629   1.000000  
1.338746   1.000000  
1.338863   1.000000  
1.338980   1.000000  
1.339097   1.000000  
1.339214   1.000000  
1.339331   1.000000  
1.339448   1.000000  
1.339565   1.000000  
1.339682   1.000000  
1.339799   1.000000  
1.339916   1.000000  
1.340033   1.000000  
1.340151   1.000000  
1.340268   1.000000  
1.340385   1.000000  
1.340502   1.000000  
1.340619   1.000000  
1.340736   1.000000  
1.340853   1.000000  
1.340970   1.000000  
1.341087   1.000000  
1.341204   1.000000  
1.341321   1.000000  
1.341438   1.000000  
1.341555   1.000000  
1.341672   1.000000  
1.341789   1.000000  
1.341906   1.000000  
1.342023   1.000000  
1.342140   1.000000  
1.342258   1.000000  
1.342375   1.000000  
1.342492   1.000000  
1.342609   1.000000  
1.342726   1.000000  
1.342843   1.000000  
1.342960   1.000000  
1.343077   1.000000  
1.343194   1.000000  
1.343311   1.000000  
1.343428   1.000000  
1.343545   1.000000  
1.343662   1.000000  
1.343779   1.000000  
1.343896   1.000000  
1.344013   1.000000  
1.344130   1.000000  
1.344247   1.000000  
1.344365   1.000000  
1.344482   1.000000  
1.344599   1.000000  
1.344716   1.000000  
1.344833   1.000000  
1.344950   1.000000  
1.345067   1.000000  
1.345184   1.000000  
1.345301   1.000000  
1.345418   1.000000  
1.345535   1.000000  
1.345652   1.000000  
1.345769   1.000000  
1.345886   1.000000  
1.346003   1.000000  
1.346120   1.000000  
1.346237   1.000000  
1.346355   1.000000  
1.346472   1.000000  
1.346589   1.000000  
1.346706   1.000000  
1.346823   1.000000  
1.346940   1.000000  
1.347057   1.000000  
1.347174   1.000000  
1.347291   1.000000  
1.347408   1.000000  
1.347525   1.000000  
1.347642   1.000000  
1.347759   1.000000  
1.347876   1.000000  
1.347993   1.000000  
1.348110   1.000000  
1.348227   1.000000  
1.348344   1.000000  
1.348462   1.000000  
1.348579   1.000000  
1.348696   1.000000  
1.348813   1.000000  
1.348930   1.000000  
1.349047   1.000000  
1.349164   1.000000  
1.349281   1.000000  
1.349398   1.000000  
1.349515   1.000000  
1.349632   1.000000  
1.349749   1.000000  
1.349866   1.000000  
1.349983   1.000000  
1.350100   1.000000  
1.350217   1.000000  
1.350334   1.000000  
1.350452   1.000000  
