# Uniform top-hat spectral response curve for HST grism G141
# Wavelenght range: [1.51, 1.545]

# Wavel    Spectral Response
# microns  electrons / photon
1.500000   0.000000  
1.500118   0.000000  
1.500235   0.000000  
1.500353   0.000000  
1.500471   0.000000  
1.500588   0.000000  
1.500706   0.000000  
1.500824   0.000000  
1.500941   0.000000  
1.501059   0.000000  
1.501176   0.000000  
1.501294   0.000000  
1.501412   0.000000  
1.501529   0.000000  
1.501647   0.000000  
1.501765   0.000000  
1.501882   0.000000  
1.502000   0.000000  
1.502118   0.000000  
1.502235   0.000000  
1.502353   0.000000  
1.502471   0.000000  
1.502588   0.000000  
1.502706   0.000000  
1.502824   0.000000  
1.502941   0.000000  
1.503059   0.000000  
1.503176   0.000000  
1.503294   0.000000  
1.503412   0.000000  
1.503529   0.000000  
1.503647   0.000000  
1.503765   0.000000  
1.503882   0.000000  
1.504000   0.000000  
1.504118   0.000000  
1.504235   0.000000  
1.504353   0.000000  
1.504471   0.000000  
1.504588   0.000000  
1.504706   0.000000  
1.504824   0.000000  
1.504941   0.000000  
1.505059   0.000000  
1.505176   0.000000  
1.505294   0.000000  
1.505412   0.000000  
1.505529   0.000000  
1.505647   0.000000  
1.505765   0.000000  
1.505882   0.000000  
1.506000   0.000000  
1.506118   0.000000  
1.506235   0.000000  
1.506353   0.000000  
1.506471   0.000000  
1.506588   0.000000  
1.506706   0.000000  
1.506824   0.000000  
1.506941   0.000000  
1.507059   0.000000  
1.507176   0.000000  
1.507294   0.000000  
1.507412   0.000000  
1.507529   0.000000  
1.507647   0.000000  
1.507765   0.000000  
1.507882   0.000000  
1.508000   0.000000  
1.508118   0.000000  
1.508235   0.000000  
1.508353   0.000000  
1.508471   0.000000  
1.508588   0.000000  
1.508706   0.000000  
1.508824   0.000000  
1.508941   0.000000  
1.509059   0.000000  
1.509176   0.000000  
1.509294   0.000000  
1.509412   0.000000  
1.509529   0.000000  
1.509647   0.000000  
1.509765   0.000000  
1.509882   0.000000  
1.510000   0.000000  
1.510000   1.000000  
1.510117   1.000000  
1.510234   1.000000  
1.510351   1.000000  
1.510468   1.000000  
1.510585   1.000000  
1.510702   1.000000  
1.510819   1.000000  
1.510936   1.000000  
1.511054   1.000000  
1.511171   1.000000  
1.511288   1.000000  
1.511405   1.000000  
1.511522   1.000000  
1.511639   1.000000  
1.511756   1.000000  
1.511873   1.000000  
1.511990   1.000000  
1.512107   1.000000  
1.512224   1.000000  
1.512341   1.000000  
1.512458   1.000000  
1.512575   1.000000  
1.512692   1.000000  
1.512809   1.000000  
1.512926   1.000000  
1.513043   1.000000  
1.513161   1.000000  
1.513278   1.000000  
1.513395   1.000000  
1.513512   1.000000  
1.513629   1.000000  
1.513746   1.000000  
1.513863   1.000000  
1.513980   1.000000  
1.514097   1.000000  
1.514214   1.000000  
1.514331   1.000000  
1.514448   1.000000  
1.514565   1.000000  
1.514682   1.000000  
1.514799   1.000000  
1.514916   1.000000  
1.515033   1.000000  
1.515151   1.000000  
1.515268   1.000000  
1.515385   1.000000  
1.515502   1.000000  
1.515619   1.000000  
1.515736   1.000000  
1.515853   1.000000  
1.515970   1.000000  
1.516087   1.000000  
1.516204   1.000000  
1.516321   1.000000  
1.516438   1.000000  
1.516555   1.000000  
1.516672   1.000000  
1.516789   1.000000  
1.516906   1.000000  
1.517023   1.000000  
1.517140   1.000000  
1.517258   1.000000  
1.517375   1.000000  
1.517492   1.000000  
1.517609   1.000000  
1.517726   1.000000  
1.517843   1.000000  
1.517960   1.000000  
1.518077   1.000000  
1.518194   1.000000  
1.518311   1.000000  
1.518428   1.000000  
1.518545   1.000000  
1.518662   1.000000  
1.518779   1.000000  
1.518896   1.000000  
1.519013   1.000000  
1.519130   1.000000  
1.519247   1.000000  
1.519365   1.000000  
1.519482   1.000000  
1.519599   1.000000  
1.519716   1.000000  
1.519833   1.000000  
1.519950   1.000000  
1.520067   1.000000  
1.520184   1.000000  
1.520301   1.000000  
1.520418   1.000000  
1.520535   1.000000  
1.520652   1.000000  
1.520769   1.000000  
1.520886   1.000000  
1.521003   1.000000  
1.521120   1.000000  
1.521237   1.000000  
1.521355   1.000000  
1.521472   1.000000  
1.521589   1.000000  
1.521706   1.000000  
1.521823   1.000000  
1.521940   1.000000  
1.522057   1.000000  
1.522174   1.000000  
1.522291   1.000000  
1.522408   1.000000  
1.522525   1.000000  
1.522642   1.000000  
1.522759   1.000000  
1.522876   1.000000  
1.522993   1.000000  
1.523110   1.000000  
1.523227   1.000000  
1.523344   1.000000  
1.523462   1.000000  
1.523579   1.000000  
1.523696   1.000000  
1.523813   1.000000  
1.523930   1.000000  
1.524047   1.000000  
1.524164   1.000000  
1.524281   1.000000  
1.524398   1.000000  
1.524515   1.000000  
1.524632   1.000000  
1.524749   1.000000  
1.524866   1.000000  
1.524983   1.000000  
1.525100   1.000000  
1.525217   1.000000  
1.525334   1.000000  
1.525452   1.000000  
1.525569   1.000000  
1.525686   1.000000  
1.525803   1.000000  
1.525920   1.000000  
1.526037   1.000000  
1.526154   1.000000  
1.526271   1.000000  
1.526388   1.000000  
1.526505   1.000000  
1.526622   1.000000  
1.526739   1.000000  
1.526856   1.000000  
1.526973   1.000000  
1.527090   1.000000  
1.527207   1.000000  
1.527324   1.000000  
1.527441   1.000000  
1.527559   1.000000  
1.527676   1.000000  
1.527793   1.000000  
1.527910   1.000000  
1.528027   1.000000  
1.528144   1.000000  
1.528261   1.000000  
1.528378   1.000000  
1.528495   1.000000  
1.528612   1.000000  
1.528729   1.000000  
1.528846   1.000000  
1.528963   1.000000  
1.529080   1.000000  
1.529197   1.000000  
1.529314   1.000000  
1.529431   1.000000  
1.529548   1.000000  
1.529666   1.000000  
1.529783   1.000000  
1.529900   1.000000  
1.530017   1.000000  
1.530134   1.000000  
1.530251   1.000000  
1.530368   1.000000  
1.530485   1.000000  
1.530602   1.000000  
1.530719   1.000000  
1.530836   1.000000  
1.530953   1.000000  
1.531070   1.000000  
1.531187   1.000000  
1.531304   1.000000  
1.531421   1.000000  
1.531538   1.000000  
1.531656   1.000000  
1.531773   1.000000  
1.531890   1.000000  
1.532007   1.000000  
1.532124   1.000000  
1.532241   1.000000  
1.532358   1.000000  
1.532475   1.000000  
1.532592   1.000000  
1.532709   1.000000  
1.532826   1.000000  
1.532943   1.000000  
1.533060   1.000000  
1.533177   1.000000  
1.533294   1.000000  
1.533411   1.000000  
1.533528   1.000000  
1.533645   1.000000  
1.533763   1.000000  
1.533880   1.000000  
1.533997   1.000000  
1.534114   1.000000  
1.534231   1.000000  
1.534348   1.000000  
1.534465   1.000000  
1.534582   1.000000  
1.534699   1.000000  
1.534816   1.000000  
1.534933   1.000000  
1.535050   1.000000  
1.535167   1.000000  
1.535284   1.000000  
1.535401   1.000000  
1.535518   1.000000  
1.535635   1.000000  
1.535753   1.000000  
1.535870   1.000000  
1.535987   1.000000  
1.536104   1.000000  
1.536221   1.000000  
1.536338   1.000000  
1.536455   1.000000  
1.536572   1.000000  
1.536689   1.000000  
1.536806   1.000000  
1.536923   1.000000  
1.537040   1.000000  
1.537157   1.000000  
1.537274   1.000000  
1.537391   1.000000  
1.537508   1.000000  
1.537625   1.000000  
1.537742   1.000000  
1.537860   1.000000  
1.537977   1.000000  
1.538094   1.000000  
1.538211   1.000000  
1.538328   1.000000  
1.538445   1.000000  
1.538562   1.000000  
1.538679   1.000000  
1.538796   1.000000  
1.538913   1.000000  
1.539030   1.000000  
1.539147   1.000000  
1.539264   1.000000  
1.539381   1.000000  
1.539498   1.000000  
1.539615   1.000000  
1.539732   1.000000  
1.539849   1.000000  
1.539967   1.000000  
1.540084   1.000000  
1.540201   1.000000  
1.540318   1.000000  
1.540435   1.000000  
1.540552   1.000000  
1.540669   1.000000  
1.540786   1.000000  
1.540903   1.000000  
1.541020   1.000000  
1.541137   1.000000  
1.541254   1.000000  
1.541371   1.000000  
1.541488   1.000000  
1.541605   1.000000  
1.541722   1.000000  
1.541839   1.000000  
1.541957   1.000000  
1.542074   1.000000  
1.542191   1.000000  
1.542308   1.000000  
1.542425   1.000000  
1.542542   1.000000  
1.542659   1.000000  
1.542776   1.000000  
1.542893   1.000000  
1.543010   1.000000  
1.543127   1.000000  
1.543244   1.000000  
1.543361   1.000000  
1.543478   1.000000  
1.543595   1.000000  
1.543712   1.000000  
1.543829   1.000000  
1.543946   1.000000  
1.544064   1.000000  
1.544181   1.000000  
1.544298   1.000000  
1.544415   1.000000  
1.544532   1.000000  
1.544649   1.000000  
1.544766   1.000000  
1.544883   1.000000  
1.545000   1.000000  
1.545000   0.000000  
1.545118   0.000000  
1.545235   0.000000  
1.545353   0.000000  
1.545471   0.000000  
1.545588   0.000000  
1.545706   0.000000  
1.545824   0.000000  
1.545941   0.000000  
1.546059   0.000000  
1.546176   0.000000  
1.546294   0.000000  
1.546412   0.000000  
