# NB1190 filter curve @ T=90K 
# NB1190
# Wavel [µm]  Transm [%]
1.188810      0.708782806 
1.189010      0.706298447 
1.189210      0.703064651 
1.189409      0.700428390 
1.189609      0.695539703 
1.189809      0.687591248 
1.190009      0.679199371 
1.190209      0.667780991 
1.190408      0.651666565 
1.190608      0.628811073 
1.190808      0.606246719 
1.191008      0.576347237 
1.191208      0.543436775 
1.191407      0.502684288 
1.191607      0.455427284 
1.191807      0.416724548 
1.192007      0.368882828 
1.192207      0.326311035 
1.192406      0.281492805 
1.192606      0.247017555 
1.192806      0.215291824 
1.193006      0.184460812 
1.193206      0.157915268 
1.193405      0.134992781 
1.193605      0.116024837 
1.193805      0.099706869 
1.194005      0.085764723 
1.194205      0.073830776 
1.194404      0.065045528 
1.194604      0.056420507 
1.194804      0.049725270 
1.195004      0.042650490 
1.195204      0.037848763 
1.195403      0.033938479 
1.195603      0.029428101 
1.195803      0.026624973 
1.196003      0.024033790 
1.196203      0.021950946 
1.196402      0.020747120 
1.196602      0.018271912 
1.196802      0.016718928 
1.197002      0.015826337 
1.197202      0.014314828 
1.197401      0.012806557 
1.197601      0.011025283 
1.197801      0.012778561 
1.198001      0.010756308 
1.198201      0.010494024 
1.198400      0.009587625 
1.198600      0.008743485 
1.198800      0.007945781 
1.199000      0.009582229 
1.199200      0.008539885 
1.199399      0.007005371 
1.199599      0.006697730 
1.199799      0.007119669 
1.199999      0.006947600 
1.200199      0.006781530 
1.200398      0.006902589 
1.200598      0.006475266 
1.200798      0.006724948 
1.200998      0.005435947 
1.201198      0.006415919 
1.201397      0.006110721 
1.201597      0.005809830 
1.201797      0.006158868 
1.201997      0.005622933 
1.202197      0.005549903 
1.202396      0.005620244 
1.202596      0.005372386 
1.202796      0.004587946 
1.202996      0.007119901 
1.203196      0.005673556 
1.203395      0.004652942 
1.203595      0.006103114 
1.203795      0.005741586 
1.203995      0.005321094 
1.204195      0.005676581 
1.204394      0.005790063 
1.204594      0.005126073 
1.204794      0.004640759 
1.204994      0.004949428 
1.205194      0.005747000 
1.205393      0.005631812 
1.205593      0.005193961 
1.205793      0.004283181 
1.205993      0.005435961 
1.206193      0.006264136 
1.206392      0.005554094 
1.206592      0.005067656 
1.206792      0.004713660 
1.206992      0.005308923 
1.207192      0.005306247 
1.207391      0.005001644 
1.207591      0.004212089 
1.207791      0.005915713 
1.207991      0.004820100 
1.208191      0.004841885 
1.208390      0.004329593 
1.208590      0.005128993 
1.208790      0.004829030 
1.208990      0.004821712 
1.209190      0.005193907 
1.209389      0.004276561 
1.209589      0.005185481 
1.209789      0.005115806 
1.209989      0.004460764 
1.210189      0.004290999 
1.210388      0.005977191 
1.210588      0.005139048 
1.210788      0.004398400 
1.210988      0.004026819 
1.211188      0.004986708 
1.211387      0.004523696 
1.211587      0.004218097 
1.211787      0.005373656 
1.211987      0.004762938 
1.212187      0.004653025 
1.212386      0.004334902 
1.212586      0.004648247 
1.212786      0.005133603 
1.212986      0.005623809 
1.213186      0.005139221 
1.213385      0.004398550 
1.213585      0.004574656 
1.213785      0.004696801 
