# Uniform top-hat spectral response curve for HST grism G141
# Wavelenght range: [1.265, 1.3]

# Wavel    Spectral Response
# microns  electrons / photon
1.255000   0.000000  
1.255118   0.000000  
1.255235   0.000000  
1.255353   0.000000  
1.255471   0.000000  
1.255588   0.000000  
1.255706   0.000000  
1.255824   0.000000  
1.255941   0.000000  
1.256059   0.000000  
1.256176   0.000000  
1.256294   0.000000  
1.256412   0.000000  
1.256529   0.000000  
1.256647   0.000000  
1.256765   0.000000  
1.256882   0.000000  
1.257000   0.000000  
1.257118   0.000000  
1.257235   0.000000  
1.257353   0.000000  
1.257471   0.000000  
1.257588   0.000000  
1.257706   0.000000  
1.257824   0.000000  
1.257941   0.000000  
1.258059   0.000000  
1.258176   0.000000  
1.258294   0.000000  
1.258412   0.000000  
1.258529   0.000000  
1.258647   0.000000  
1.258765   0.000000  
1.258882   0.000000  
1.259000   0.000000  
1.259118   0.000000  
1.259235   0.000000  
1.259353   0.000000  
1.259471   0.000000  
1.259588   0.000000  
1.259706   0.000000  
1.259824   0.000000  
1.259941   0.000000  
1.260059   0.000000  
1.260176   0.000000  
1.260294   0.000000  
1.260412   0.000000  
1.260529   0.000000  
1.260647   0.000000  
1.260765   0.000000  
1.260882   0.000000  
1.261000   0.000000  
1.261118   0.000000  
1.261235   0.000000  
1.261353   0.000000  
1.261471   0.000000  
1.261588   0.000000  
1.261706   0.000000  
1.261824   0.000000  
1.261941   0.000000  
1.262059   0.000000  
1.262176   0.000000  
1.262294   0.000000  
1.262412   0.000000  
1.262529   0.000000  
1.262647   0.000000  
1.262765   0.000000  
1.262882   0.000000  
1.263000   0.000000  
1.263118   0.000000  
1.263235   0.000000  
1.263353   0.000000  
1.263471   0.000000  
1.263588   0.000000  
1.263706   0.000000  
1.263824   0.000000  
1.263941   0.000000  
1.264059   0.000000  
1.264176   0.000000  
1.264294   0.000000  
1.264412   0.000000  
1.264529   0.000000  
1.264647   0.000000  
1.264765   0.000000  
1.264882   0.000000  
1.265000   0.000000  
1.265000   1.000000  
1.265117   1.000000  
1.265234   1.000000  
1.265351   1.000000  
1.265468   1.000000  
1.265585   1.000000  
1.265702   1.000000  
1.265819   1.000000  
1.265936   1.000000  
1.266054   1.000000  
1.266171   1.000000  
1.266288   1.000000  
1.266405   1.000000  
1.266522   1.000000  
1.266639   1.000000  
1.266756   1.000000  
1.266873   1.000000  
1.266990   1.000000  
1.267107   1.000000  
1.267224   1.000000  
1.267341   1.000000  
1.267458   1.000000  
1.267575   1.000000  
1.267692   1.000000  
1.267809   1.000000  
1.267926   1.000000  
1.268043   1.000000  
1.268161   1.000000  
1.268278   1.000000  
1.268395   1.000000  
1.268512   1.000000  
1.268629   1.000000  
1.268746   1.000000  
1.268863   1.000000  
1.268980   1.000000  
1.269097   1.000000  
1.269214   1.000000  
1.269331   1.000000  
1.269448   1.000000  
1.269565   1.000000  
1.269682   1.000000  
1.269799   1.000000  
1.269916   1.000000  
1.270033   1.000000  
1.270151   1.000000  
1.270268   1.000000  
1.270385   1.000000  
1.270502   1.000000  
1.270619   1.000000  
1.270736   1.000000  
1.270853   1.000000  
1.270970   1.000000  
1.271087   1.000000  
1.271204   1.000000  
1.271321   1.000000  
1.271438   1.000000  
1.271555   1.000000  
1.271672   1.000000  
1.271789   1.000000  
1.271906   1.000000  
1.272023   1.000000  
1.272140   1.000000  
1.272258   1.000000  
1.272375   1.000000  
1.272492   1.000000  
1.272609   1.000000  
1.272726   1.000000  
1.272843   1.000000  
1.272960   1.000000  
1.273077   1.000000  
1.273194   1.000000  
1.273311   1.000000  
1.273428   1.000000  
1.273545   1.000000  
1.273662   1.000000  
1.273779   1.000000  
1.273896   1.000000  
1.274013   1.000000  
1.274130   1.000000  
1.274247   1.000000  
1.274365   1.000000  
1.274482   1.000000  
1.274599   1.000000  
1.274716   1.000000  
1.274833   1.000000  
1.274950   1.000000  
1.275067   1.000000  
1.275184   1.000000  
1.275301   1.000000  
1.275418   1.000000  
1.275535   1.000000  
1.275652   1.000000  
1.275769   1.000000  
1.275886   1.000000  
1.276003   1.000000  
1.276120   1.000000  
1.276237   1.000000  
1.276355   1.000000  
1.276472   1.000000  
1.276589   1.000000  
1.276706   1.000000  
1.276823   1.000000  
1.276940   1.000000  
1.277057   1.000000  
1.277174   1.000000  
1.277291   1.000000  
1.277408   1.000000  
1.277525   1.000000  
1.277642   1.000000  
1.277759   1.000000  
1.277876   1.000000  
1.277993   1.000000  
1.278110   1.000000  
1.278227   1.000000  
1.278344   1.000000  
1.278462   1.000000  
1.278579   1.000000  
1.278696   1.000000  
1.278813   1.000000  
1.278930   1.000000  
1.279047   1.000000  
1.279164   1.000000  
1.279281   1.000000  
1.279398   1.000000  
1.279515   1.000000  
1.279632   1.000000  
1.279749   1.000000  
1.279866   1.000000  
1.279983   1.000000  
1.280100   1.000000  
1.280217   1.000000  
1.280334   1.000000  
1.280452   1.000000  
1.280569   1.000000  
1.280686   1.000000  
1.280803   1.000000  
1.280920   1.000000  
1.281037   1.000000  
1.281154   1.000000  
1.281271   1.000000  
1.281388   1.000000  
1.281505   1.000000  
1.281622   1.000000  
1.281739   1.000000  
1.281856   1.000000  
1.281973   1.000000  
1.282090   1.000000  
1.282207   1.000000  
1.282324   1.000000  
1.282441   1.000000  
1.282559   1.000000  
1.282676   1.000000  
1.282793   1.000000  
1.282910   1.000000  
1.283027   1.000000  
1.283144   1.000000  
1.283261   1.000000  
1.283378   1.000000  
1.283495   1.000000  
1.283612   1.000000  
1.283729   1.000000  
1.283846   1.000000  
1.283963   1.000000  
1.284080   1.000000  
1.284197   1.000000  
1.284314   1.000000  
1.284431   1.000000  
1.284548   1.000000  
1.284666   1.000000  
1.284783   1.000000  
1.284900   1.000000  
1.285017   1.000000  
1.285134   1.000000  
1.285251   1.000000  
1.285368   1.000000  
1.285485   1.000000  
1.285602   1.000000  
1.285719   1.000000  
1.285836   1.000000  
1.285953   1.000000  
1.286070   1.000000  
1.286187   1.000000  
1.286304   1.000000  
1.286421   1.000000  
1.286538   1.000000  
1.286656   1.000000  
1.286773   1.000000  
1.286890   1.000000  
1.287007   1.000000  
1.287124   1.000000  
1.287241   1.000000  
1.287358   1.000000  
1.287475   1.000000  
1.287592   1.000000  
1.287709   1.000000  
1.287826   1.000000  
1.287943   1.000000  
1.288060   1.000000  
1.288177   1.000000  
1.288294   1.000000  
1.288411   1.000000  
1.288528   1.000000  
1.288645   1.000000  
1.288763   1.000000  
1.288880   1.000000  
1.288997   1.000000  
1.289114   1.000000  
1.289231   1.000000  
1.289348   1.000000  
1.289465   1.000000  
1.289582   1.000000  
1.289699   1.000000  
1.289816   1.000000  
1.289933   1.000000  
1.290050   1.000000  
1.290167   1.000000  
1.290284   1.000000  
1.290401   1.000000  
1.290518   1.000000  
1.290635   1.000000  
1.290753   1.000000  
1.290870   1.000000  
1.290987   1.000000  
1.291104   1.000000  
1.291221   1.000000  
1.291338   1.000000  
1.291455   1.000000  
1.291572   1.000000  
1.291689   1.000000  
1.291806   1.000000  
1.291923   1.000000  
1.292040   1.000000  
1.292157   1.000000  
1.292274   1.000000  
1.292391   1.000000  
1.292508   1.000000  
1.292625   1.000000  
1.292742   1.000000  
1.292860   1.000000  
1.292977   1.000000  
1.293094   1.000000  
1.293211   1.000000  
1.293328   1.000000  
1.293445   1.000000  
1.293562   1.000000  
1.293679   1.000000  
1.293796   1.000000  
1.293913   1.000000  
1.294030   1.000000  
1.294147   1.000000  
1.294264   1.000000  
1.294381   1.000000  
1.294498   1.000000  
1.294615   1.000000  
1.294732   1.000000  
1.294849   1.000000  
1.294967   1.000000  
1.295084   1.000000  
1.295201   1.000000  
1.295318   1.000000  
1.295435   1.000000  
1.295552   1.000000  
1.295669   1.000000  
1.295786   1.000000  
1.295903   1.000000  
1.296020   1.000000  
1.296137   1.000000  
1.296254   1.000000  
1.296371   1.000000  
1.296488   1.000000  
1.296605   1.000000  
1.296722   1.000000  
1.296839   1.000000  
1.296957   1.000000  
1.297074   1.000000  
1.297191   1.000000  
1.297308   1.000000  
1.297425   1.000000  
1.297542   1.000000  
1.297659   1.000000  
1.297776   1.000000  
1.297893   1.000000  
1.298010   1.000000  
1.298127   1.000000  
1.298244   1.000000  
1.298361   1.000000  
1.298478   1.000000  
1.298595   1.000000  
1.298712   1.000000  
1.298829   1.000000  
1.298946   1.000000  
1.299064   1.000000  
1.299181   1.000000  
1.299298   1.000000  
1.299415   1.000000  
1.299532   1.000000  
1.299649   1.000000  
1.299766   1.000000  
1.299883   1.000000  
1.300000   1.000000  
1.300000   0.000000  
1.300118   0.000000  
1.300235   0.000000  
1.300353   0.000000  
1.300471   0.000000  
1.300588   0.000000  
1.300706   0.000000  
1.300824   0.000000  
1.300941   0.000000  
1.301059   0.000000  
1.301176   0.000000  
1.301294   0.000000  
1.301412   0.000000  
1.301529   0.000000  
1.301647   0.000000  
1.301765   0.000000  
1.301882   0.000000  
1.302000   0.000000  
1.302118   0.000000  
1.302235   0.000000  
1.302353   0.000000  
1.302471   0.000000  
1.302588   0.000000  
1.302706   0.000000  
1.302824   0.000000  
1.302941   0.000000  
1.303059   0.000000  
1.303176   0.000000  
1.303294   0.000000  
1.303412   0.000000  
1.303529   0.000000  
1.303647   0.000000  
1.303765   0.000000  
1.303882   0.000000  
1.304000   0.000000  
1.304118   0.000000  
1.304235   0.000000  
1.304353   0.000000  
1.304471   0.000000  
1.304588   0.000000  
1.304706   0.000000  
1.304824   0.000000  
1.304941   0.000000  
1.305059   0.000000  
1.305176   0.000000  
1.305294   0.000000  
1.305412   0.000000  
1.305529   0.000000  
1.305647   0.000000  
1.305765   0.000000  
1.305882   0.000000  
1.306000   0.000000  
1.306118   0.000000  
1.306235   0.000000  
1.306353   0.000000  
1.306471   0.000000  
1.306588   0.000000  
1.306706   0.000000  
1.306824   0.000000  
1.306941   0.000000  
1.307059   0.000000  
1.307176   0.000000  
1.307294   0.000000  
1.307412   0.000000  
1.307529   0.000000  
1.307647   0.000000  
1.307765   0.000000  
1.307882   0.000000  
1.308000   0.000000  
1.308118   0.000000  
1.308235   0.000000  
1.308353   0.000000  
1.308471   0.000000  
1.308588   0.000000  
1.308706   0.000000  
1.308824   0.000000  
1.308941   0.000000  
1.309059   0.000000  
1.309176   0.000000  
1.309294   0.000000  
1.309412   0.000000  
1.309529   0.000000  
1.309647   0.000000  
1.309765   0.000000  
1.309882   0.000000  
1.310000   0.000000  
