# Uniform top-hat spectral response curve for HST grism G141
# Wavelenght range: [1.545, 1.58]

# Wavel    Spectral Response
# microns  electrons / photon
1.535000   0.000000  
1.535118   0.000000  
1.535235   0.000000  
1.535353   0.000000  
1.535471   0.000000  
1.535588   0.000000  
1.535706   0.000000  
1.535824   0.000000  
1.535941   0.000000  
1.536059   0.000000  
1.536176   0.000000  
1.536294   0.000000  
1.536412   0.000000  
1.536529   0.000000  
1.536647   0.000000  
1.536765   0.000000  
1.536882   0.000000  
1.537000   0.000000  
1.537118   0.000000  
1.537235   0.000000  
1.537353   0.000000  
1.537471   0.000000  
1.537588   0.000000  
1.537706   0.000000  
1.537824   0.000000  
1.537941   0.000000  
1.538059   0.000000  
1.538176   0.000000  
1.538294   0.000000  
1.538412   0.000000  
1.538529   0.000000  
1.538647   0.000000  
1.538765   0.000000  
1.538882   0.000000  
1.539000   0.000000  
1.539118   0.000000  
1.539235   0.000000  
1.539353   0.000000  
1.539471   0.000000  
1.539588   0.000000  
1.539706   0.000000  
1.539824   0.000000  
1.539941   0.000000  
1.540059   0.000000  
1.540176   0.000000  
1.540294   0.000000  
1.540412   0.000000  
1.540529   0.000000  
1.540647   0.000000  
1.540765   0.000000  
1.540882   0.000000  
1.541000   0.000000  
1.541118   0.000000  
1.541235   0.000000  
1.541353   0.000000  
1.541471   0.000000  
1.541588   0.000000  
1.541706   0.000000  
1.541824   0.000000  
1.541941   0.000000  
1.542059   0.000000  
1.542176   0.000000  
1.542294   0.000000  
1.542412   0.000000  
1.542529   0.000000  
1.542647   0.000000  
1.542765   0.000000  
1.542882   0.000000  
1.543000   0.000000  
1.543118   0.000000  
1.543235   0.000000  
1.543353   0.000000  
1.543471   0.000000  
1.543588   0.000000  
1.543706   0.000000  
1.543824   0.000000  
1.543941   0.000000  
1.544059   0.000000  
1.544176   0.000000  
1.544294   0.000000  
1.544412   0.000000  
1.544529   0.000000  
1.544647   0.000000  
1.544765   0.000000  
1.544882   0.000000  
1.545000   0.000000  
1.545000   1.000000  
1.545117   1.000000  
1.545234   1.000000  
1.545351   1.000000  
1.545468   1.000000  
1.545585   1.000000  
1.545702   1.000000  
1.545819   1.000000  
1.545936   1.000000  
1.546054   1.000000  
1.546171   1.000000  
1.546288   1.000000  
1.546405   1.000000  
1.546522   1.000000  
1.546639   1.000000  
1.546756   1.000000  
1.546873   1.000000  
1.546990   1.000000  
1.547107   1.000000  
1.547224   1.000000  
1.547341   1.000000  
1.547458   1.000000  
1.547575   1.000000  
1.547692   1.000000  
1.547809   1.000000  
1.547926   1.000000  
1.548043   1.000000  
1.548161   1.000000  
1.548278   1.000000  
1.548395   1.000000  
1.548512   1.000000  
1.548629   1.000000  
1.548746   1.000000  
1.548863   1.000000  
1.548980   1.000000  
1.549097   1.000000  
1.549214   1.000000  
1.549331   1.000000  
1.549448   1.000000  
1.549565   1.000000  
1.549682   1.000000  
1.549799   1.000000  
1.549916   1.000000  
1.550033   1.000000  
1.550151   1.000000  
1.550268   1.000000  
1.550385   1.000000  
1.550502   1.000000  
1.550619   1.000000  
1.550736   1.000000  
1.550853   1.000000  
1.550970   1.000000  
1.551087   1.000000  
1.551204   1.000000  
1.551321   1.000000  
1.551438   1.000000  
1.551555   1.000000  
1.551672   1.000000  
1.551789   1.000000  
1.551906   1.000000  
1.552023   1.000000  
1.552140   1.000000  
1.552258   1.000000  
1.552375   1.000000  
1.552492   1.000000  
1.552609   1.000000  
1.552726   1.000000  
1.552843   1.000000  
1.552960   1.000000  
1.553077   1.000000  
1.553194   1.000000  
1.553311   1.000000  
1.553428   1.000000  
1.553545   1.000000  
1.553662   1.000000  
1.553779   1.000000  
1.553896   1.000000  
1.554013   1.000000  
1.554130   1.000000  
1.554247   1.000000  
1.554365   1.000000  
1.554482   1.000000  
1.554599   1.000000  
1.554716   1.000000  
1.554833   1.000000  
1.554950   1.000000  
1.555067   1.000000  
1.555184   1.000000  
1.555301   1.000000  
1.555418   1.000000  
1.555535   1.000000  
1.555652   1.000000  
1.555769   1.000000  
1.555886   1.000000  
1.556003   1.000000  
1.556120   1.000000  
1.556237   1.000000  
1.556355   1.000000  
1.556472   1.000000  
1.556589   1.000000  
1.556706   1.000000  
1.556823   1.000000  
1.556940   1.000000  
1.557057   1.000000  
1.557174   1.000000  
1.557291   1.000000  
1.557408   1.000000  
1.557525   1.000000  
1.557642   1.000000  
1.557759   1.000000  
1.557876   1.000000  
1.557993   1.000000  
1.558110   1.000000  
1.558227   1.000000  
1.558344   1.000000  
1.558462   1.000000  
1.558579   1.000000  
1.558696   1.000000  
1.558813   1.000000  
1.558930   1.000000  
1.559047   1.000000  
1.559164   1.000000  
1.559281   1.000000  
1.559398   1.000000  
1.559515   1.000000  
1.559632   1.000000  
1.559749   1.000000  
1.559866   1.000000  
1.559983   1.000000  
1.560100   1.000000  
1.560217   1.000000  
1.560334   1.000000  
1.560452   1.000000  
1.560569   1.000000  
1.560686   1.000000  
1.560803   1.000000  
1.560920   1.000000  
1.561037   1.000000  
1.561154   1.000000  
1.561271   1.000000  
1.561388   1.000000  
1.561505   1.000000  
1.561622   1.000000  
1.561739   1.000000  
1.561856   1.000000  
1.561973   1.000000  
1.562090   1.000000  
1.562207   1.000000  
1.562324   1.000000  
1.562441   1.000000  
1.562559   1.000000  
1.562676   1.000000  
1.562793   1.000000  
1.562910   1.000000  
1.563027   1.000000  
1.563144   1.000000  
1.563261   1.000000  
1.563378   1.000000  
1.563495   1.000000  
1.563612   1.000000  
1.563729   1.000000  
1.563846   1.000000  
1.563963   1.000000  
1.564080   1.000000  
1.564197   1.000000  
1.564314   1.000000  
1.564431   1.000000  
1.564548   1.000000  
1.564666   1.000000  
1.564783   1.000000  
1.564900   1.000000  
1.565017   1.000000  
1.565134   1.000000  
1.565251   1.000000  
1.565368   1.000000  
1.565485   1.000000  
1.565602   1.000000  
1.565719   1.000000  
1.565836   1.000000  
1.565953   1.000000  
1.566070   1.000000  
1.566187   1.000000  
1.566304   1.000000  
1.566421   1.000000  
1.566538   1.000000  
1.566656   1.000000  
1.566773   1.000000  
1.566890   1.000000  
1.567007   1.000000  
1.567124   1.000000  
1.567241   1.000000  
1.567358   1.000000  
1.567475   1.000000  
1.567592   1.000000  
1.567709   1.000000  
1.567826   1.000000  
1.567943   1.000000  
1.568060   1.000000  
1.568177   1.000000  
1.568294   1.000000  
1.568411   1.000000  
1.568528   1.000000  
1.568645   1.000000  
1.568763   1.000000  
1.568880   1.000000  
1.568997   1.000000  
1.569114   1.000000  
1.569231   1.000000  
1.569348   1.000000  
1.569465   1.000000  
1.569582   1.000000  
1.569699   1.000000  
1.569816   1.000000  
1.569933   1.000000  
1.570050   1.000000  
1.570167   1.000000  
1.570284   1.000000  
1.570401   1.000000  
1.570518   1.000000  
1.570635   1.000000  
1.570753   1.000000  
1.570870   1.000000  
1.570987   1.000000  
1.571104   1.000000  
1.571221   1.000000  
1.571338   1.000000  
1.571455   1.000000  
1.571572   1.000000  
1.571689   1.000000  
1.571806   1.000000  
1.571923   1.000000  
1.572040   1.000000  
1.572157   1.000000  
1.572274   1.000000  
1.572391   1.000000  
1.572508   1.000000  
1.572625   1.000000  
1.572742   1.000000  
1.572860   1.000000  
1.572977   1.000000  
1.573094   1.000000  
1.573211   1.000000  
1.573328   1.000000  
1.573445   1.000000  
1.573562   1.000000  
1.573679   1.000000  
1.573796   1.000000  
1.573913   1.000000  
1.574030   1.000000  
1.574147   1.000000  
1.574264   1.000000  
1.574381   1.000000  
1.574498   1.000000  
1.574615   1.000000  
1.574732   1.000000  
1.574849   1.000000  
1.574967   1.000000  
1.575084   1.000000  
1.575201   1.000000  
1.575318   1.000000  
1.575435   1.000000  
1.575552   1.000000  
1.575669   1.000000  
1.575786   1.000000  
1.575903   1.000000  
1.576020   1.000000  
1.576137   1.000000  
1.576254   1.000000  
1.576371   1.000000  
1.576488   1.000000  
1.576605   1.000000  
1.576722   1.000000  
1.576839   1.000000  
1.576957   1.000000  
1.577074   1.000000  
1.577191   1.000000  
1.577308   1.000000  
1.577425   1.000000  
1.577542   1.000000  
1.577659   1.000000  
1.577776   1.000000  
1.577893   1.000000  
1.578010   1.000000  
1.578127   1.000000  
1.578244   1.000000  
1.578361   1.000000  
1.578478   1.000000  
1.578595   1.000000  
1.578712   1.000000  
1.578829   1.000000  
1.578946   1.000000  
1.579064   1.000000  
1.579181   1.000000  
1.579298   1.000000  
1.579415   1.000000  
1.579532   1.000000  
1.579649   1.000000  
1.579766   1.000000  
1.579883   1.000000  
1.580000   1.000000  
1.580000   0.000000  
1.580118   0.000000  
1.580235   0.000000  
1.580353   0.000000  
1.580471   0.000000  
1.580588   0.000000  
1.580706   0.000000  
1.580824   0.000000  
1.580941   0.000000  
1.581059   0.000000  
1.581176   0.000000  
1.581294   0.000000  
1.581412   0.000000  
1.581529   0.000000  
1.581647   0.000000  
1.581765   0.000000  
1.581882   0.000000  
1.582000   0.000000  
1.582118   0.000000  
1.582235   0.000000  
1.582353   0.000000  
1.582471   0.000000  
1.582588   0.000000  
1.582706   0.000000  
1.582824   0.000000  
1.582941   0.000000  
1.583059   0.000000  
1.583176   0.000000  
1.583294   0.000000  
1.583412   0.000000  
1.583529   0.000000  
1.583647   0.000000  
1.583765   0.000000  
1.583882   0.000000  
1.584000   0.000000  
1.584118   0.000000  
1.584235   0.000000  
1.584353   0.000000  
1.584471   0.000000  
1.584588   0.000000  
1.584706   0.000000  
1.584824   0.000000  
1.584941   0.000000  
1.585059   0.000000  
1.585176   0.000000  
1.585294   0.000000  
1.585412   0.000000  
1.585529   0.000000  
1.585647   0.000000  
1.585765   0.000000  
1.585882   0.000000  
1.586000   0.000000  
1.586118   0.000000  
1.586235   0.000000  
1.586353   0.000000  
1.586471   0.000000  
1.586588   0.000000  
1.586706   0.000000  
1.586824   0.000000  
1.586941   0.000000  
1.587059   0.000000  
1.587176   0.000000  
1.587294   0.000000  
1.587412   0.000000  
1.587529   0.000000  
1.587647   0.000000  
1.587765   0.000000  
1.587882   0.000000  
1.588000   0.000000  
1.588118   0.000000  
1.588235   0.000000  
1.588353   0.000000  
1.588471   0.000000  
1.588588   0.000000  
1.588706   0.000000  
1.588824   0.000000  
1.588941   0.000000  
1.589059   0.000000  
1.589176   0.000000  
1.589294   0.000000  
1.589412   0.000000  
1.589529   0.000000  
1.589647   0.000000  
1.589765   0.000000  
1.589882   0.000000  
1.590000   0.000000  
