# Uniform top-hat spectral response curve for HST grism G141
# Wavelenght range: [1.475, 1.51]

# Wavel    Spectral Response
# microns  electrons / photon
1.465000   0.000000  
1.465118   0.000000  
1.465235   0.000000  
1.465353   0.000000  
1.465471   0.000000  
1.465588   0.000000  
1.465706   0.000000  
1.465824   0.000000  
1.465941   0.000000  
1.466059   0.000000  
1.466176   0.000000  
1.466294   0.000000  
1.466412   0.000000  
1.466529   0.000000  
1.466647   0.000000  
1.466765   0.000000  
1.466882   0.000000  
1.467000   0.000000  
1.467118   0.000000  
1.467235   0.000000  
1.467353   0.000000  
1.467471   0.000000  
1.467588   0.000000  
1.467706   0.000000  
1.467824   0.000000  
1.467941   0.000000  
1.468059   0.000000  
1.468176   0.000000  
1.468294   0.000000  
1.468412   0.000000  
1.468529   0.000000  
1.468647   0.000000  
1.468765   0.000000  
1.468882   0.000000  
1.469000   0.000000  
1.469118   0.000000  
1.469235   0.000000  
1.469353   0.000000  
1.469471   0.000000  
1.469588   0.000000  
1.469706   0.000000  
1.469824   0.000000  
1.469941   0.000000  
1.470059   0.000000  
1.470176   0.000000  
1.470294   0.000000  
1.470412   0.000000  
1.470529   0.000000  
1.470647   0.000000  
1.470765   0.000000  
1.470882   0.000000  
1.471000   0.000000  
1.471118   0.000000  
1.471235   0.000000  
1.471353   0.000000  
1.471471   0.000000  
1.471588   0.000000  
1.471706   0.000000  
1.471824   0.000000  
1.471941   0.000000  
1.472059   0.000000  
1.472176   0.000000  
1.472294   0.000000  
1.472412   0.000000  
1.472529   0.000000  
1.472647   0.000000  
1.472765   0.000000  
1.472882   0.000000  
1.473000   0.000000  
1.473118   0.000000  
1.473235   0.000000  
1.473353   0.000000  
1.473471   0.000000  
1.473588   0.000000  
1.473706   0.000000  
1.473824   0.000000  
1.473941   0.000000  
1.474059   0.000000  
1.474176   0.000000  
1.474294   0.000000  
1.474412   0.000000  
1.474529   0.000000  
1.474647   0.000000  
1.474765   0.000000  
1.474882   0.000000  
1.475000   0.000000  
1.475000   1.000000  
1.475117   1.000000  
1.475234   1.000000  
1.475351   1.000000  
1.475468   1.000000  
1.475585   1.000000  
1.475702   1.000000  
1.475819   1.000000  
1.475936   1.000000  
1.476054   1.000000  
1.476171   1.000000  
1.476288   1.000000  
1.476405   1.000000  
1.476522   1.000000  
1.476639   1.000000  
1.476756   1.000000  
1.476873   1.000000  
1.476990   1.000000  
1.477107   1.000000  
1.477224   1.000000  
1.477341   1.000000  
1.477458   1.000000  
1.477575   1.000000  
1.477692   1.000000  
1.477809   1.000000  
1.477926   1.000000  
1.478043   1.000000  
1.478161   1.000000  
1.478278   1.000000  
1.478395   1.000000  
1.478512   1.000000  
1.478629   1.000000  
1.478746   1.000000  
1.478863   1.000000  
1.478980   1.000000  
1.479097   1.000000  
1.479214   1.000000  
1.479331   1.000000  
1.479448   1.000000  
1.479565   1.000000  
1.479682   1.000000  
1.479799   1.000000  
1.479916   1.000000  
1.480033   1.000000  
1.480151   1.000000  
1.480268   1.000000  
1.480385   1.000000  
1.480502   1.000000  
1.480619   1.000000  
1.480736   1.000000  
1.480853   1.000000  
1.480970   1.000000  
1.481087   1.000000  
1.481204   1.000000  
1.481321   1.000000  
1.481438   1.000000  
1.481555   1.000000  
1.481672   1.000000  
1.481789   1.000000  
1.481906   1.000000  
1.482023   1.000000  
1.482140   1.000000  
1.482258   1.000000  
1.482375   1.000000  
1.482492   1.000000  
1.482609   1.000000  
1.482726   1.000000  
1.482843   1.000000  
1.482960   1.000000  
1.483077   1.000000  
1.483194   1.000000  
1.483311   1.000000  
1.483428   1.000000  
1.483545   1.000000  
1.483662   1.000000  
1.483779   1.000000  
1.483896   1.000000  
1.484013   1.000000  
1.484130   1.000000  
1.484247   1.000000  
1.484365   1.000000  
1.484482   1.000000  
1.484599   1.000000  
1.484716   1.000000  
1.484833   1.000000  
1.484950   1.000000  
1.485067   1.000000  
1.485184   1.000000  
1.485301   1.000000  
1.485418   1.000000  
1.485535   1.000000  
1.485652   1.000000  
1.485769   1.000000  
1.485886   1.000000  
1.486003   1.000000  
1.486120   1.000000  
1.486237   1.000000  
1.486355   1.000000  
1.486472   1.000000  
1.486589   1.000000  
1.486706   1.000000  
1.486823   1.000000  
1.486940   1.000000  
1.487057   1.000000  
1.487174   1.000000  
1.487291   1.000000  
1.487408   1.000000  
1.487525   1.000000  
1.487642   1.000000  
1.487759   1.000000  
1.487876   1.000000  
1.487993   1.000000  
1.488110   1.000000  
1.488227   1.000000  
1.488344   1.000000  
1.488462   1.000000  
1.488579   1.000000  
1.488696   1.000000  
1.488813   1.000000  
1.488930   1.000000  
1.489047   1.000000  
1.489164   1.000000  
1.489281   1.000000  
1.489398   1.000000  
1.489515   1.000000  
1.489632   1.000000  
1.489749   1.000000  
1.489866   1.000000  
1.489983   1.000000  
1.490100   1.000000  
1.490217   1.000000  
1.490334   1.000000  
1.490452   1.000000  
1.490569   1.000000  
1.490686   1.000000  
1.490803   1.000000  
1.490920   1.000000  
1.491037   1.000000  
1.491154   1.000000  
1.491271   1.000000  
1.491388   1.000000  
1.491505   1.000000  
1.491622   1.000000  
1.491739   1.000000  
1.491856   1.000000  
1.491973   1.000000  
1.492090   1.000000  
1.492207   1.000000  
1.492324   1.000000  
1.492441   1.000000  
1.492559   1.000000  
1.492676   1.000000  
1.492793   1.000000  
