# Uniform top-hat spectral response curve for HST grism G141
# Wavelenght range: [1.44, 1.475]

# Wavel    Spectral Response
# microns  electrons / photon
1.442224   1.000000  
1.442341   1.000000  
1.442458   1.000000  
1.442575   1.000000  
1.442692   1.000000  
1.442809   1.000000  
1.442926   1.000000  
1.443043   1.000000  
1.443161   1.000000  
1.443278   1.000000  
1.443395   1.000000  
1.443512   1.000000  
1.443629   1.000000  
1.443746   1.000000  
1.443863   1.000000  
1.443980   1.000000  
1.444097   1.000000  
1.444214   1.000000  
1.444331   1.000000  
1.444448   1.000000  
1.444565   1.000000  
1.444682   1.000000  
1.444799   1.000000  
1.444916   1.000000  
1.445033   1.000000  
1.445151   1.000000  
1.445268   1.000000  
1.445385   1.000000  
1.445502   1.000000  
1.445619   1.000000  
1.445736   1.000000  
1.445853   1.000000  
1.445970   1.000000  
1.446087   1.000000  
1.446204   1.000000  
1.446321   1.000000  
1.446438   1.000000  
1.446555   1.000000  
1.446672   1.000000  
1.446789   1.000000  
1.446906   1.000000  
1.447023   1.000000  
1.447140   1.000000  
1.447258   1.000000  
1.447375   1.000000  
1.447492   1.000000  
1.447609   1.000000  
1.447726   1.000000  
1.447843   1.000000  
1.447960   1.000000  
1.448077   1.000000  
1.448194   1.000000  
1.448311   1.000000  
1.448428   1.000000  
1.448545   1.000000  
1.448662   1.000000  
1.448779   1.000000  
1.448896   1.000000  
1.449013   1.000000  
1.449130   1.000000  
1.449247   1.000000  
1.449365   1.000000  
1.449482   1.000000  
1.449599   1.000000  
1.449716   1.000000  
1.449833   1.000000  
1.449950   1.000000  
1.450067   1.000000  
1.450184   1.000000  
1.450301   1.000000  
1.450418   1.000000  
1.450535   1.000000  
1.450652   1.000000  
1.450769   1.000000  
1.450886   1.000000  
1.451003   1.000000  
1.451120   1.000000  
1.451237   1.000000  
1.451355   1.000000  
1.451472   1.000000  
1.451589   1.000000  
1.451706   1.000000  
1.451823   1.000000  
1.451940   1.000000  
1.452057   1.000000  
1.452174   1.000000  
1.452291   1.000000  
1.452408   1.000000  
1.452525   1.000000  
1.452642   1.000000  
1.452759   1.000000  
1.452876   1.000000  
1.452993   1.000000  
1.453110   1.000000  
1.453227   1.000000  
1.453344   1.000000  
1.453462   1.000000  
1.453579   1.000000  
1.453696   1.000000  
1.453813   1.000000  
1.453930   1.000000  
1.454047   1.000000  
1.454164   1.000000  
1.454281   1.000000  
1.454398   1.000000  
1.454515   1.000000  
1.454632   1.000000  
1.454749   1.000000  
1.454866   1.000000  
1.454983   1.000000  
1.455100   1.000000  
1.455217   1.000000  
1.455334   1.000000  
1.455452   1.000000  
1.455569   1.000000  
1.455686   1.000000  
1.455803   1.000000  
1.455920   1.000000  
1.456037   1.000000  
1.456154   1.000000  
1.456271   1.000000  
1.456388   1.000000  
1.456505   1.000000  
1.456622   1.000000  
1.456739   1.000000  
1.456856   1.000000  
1.456973   1.000000  
1.457090   1.000000  
1.457207   1.000000  
1.457324   1.000000  
1.457441   1.000000  
1.457559   1.000000  
1.457676   1.000000  
1.457793   1.000000  
1.457910   1.000000  
1.458027   1.000000  
1.458144   1.000000  
1.458261   1.000000  
1.458378   1.000000  
1.458495   1.000000  
1.458612   1.000000  
1.458729   1.000000  
1.458846   1.000000  
1.458963   1.000000  
1.459080   1.000000  
1.459197   1.000000  
1.459314   1.000000  
1.459431   1.000000  
1.459548   1.000000  
1.459666   1.000000  
1.459783   1.000000  
1.459900   1.000000  
1.460017   1.000000  
1.460134   1.000000  
1.460251   1.000000  
1.460368   1.000000  
1.460485   1.000000  
1.460602   1.000000  
1.460719   1.000000  
1.460836   1.000000  
1.460953   1.000000  
1.461070   1.000000  
1.461187   1.000000  
1.461304   1.000000  
1.461421   1.000000  
