# Uniform top-hat spectral response curve for HST grism G141
# Wavelenght range: [1.3, 1.335]

# Wavel    Spectral Response
# microns  electrons / photon
1.290000   0.000000  
1.290118   0.000000  
1.290235   0.000000  
1.290353   0.000000  
1.290471   0.000000  
1.290588   0.000000  
1.290706   0.000000  
1.290824   0.000000  
1.290941   0.000000  
1.291059   0.000000  
1.291176   0.000000  
1.291294   0.000000  
1.291412   0.000000  
1.291529   0.000000  
1.291647   0.000000  
1.291765   0.000000  
1.291882   0.000000  
1.292000   0.000000  
1.292118   0.000000  
1.292235   0.000000  
1.292353   0.000000  
1.292471   0.000000  
1.292588   0.000000  
1.292706   0.000000  
1.292824   0.000000  
1.292941   0.000000  
1.293059   0.000000  
1.293176   0.000000  
1.293294   0.000000  
1.293412   0.000000  
1.293529   0.000000  
1.293647   0.000000  
1.293765   0.000000  
1.293882   0.000000  
1.294000   0.000000  
1.294118   0.000000  
1.294235   0.000000  
1.294353   0.000000  
1.294471   0.000000  
1.294588   0.000000  
1.294706   0.000000  
1.294824   0.000000  
1.294941   0.000000  
1.295059   0.000000  
1.295176   0.000000  
1.295294   0.000000  
1.295412   0.000000  
1.295529   0.000000  
1.295647   0.000000  
1.295765   0.000000  
1.295882   0.000000  
1.296000   0.000000  
1.296118   0.000000  
1.296235   0.000000  
1.296353   0.000000  
1.296471   0.000000  
1.296588   0.000000  
1.296706   0.000000  
1.296824   0.000000  
1.296941   0.000000  
1.297059   0.000000  
1.297176   0.000000  
1.297294   0.000000  
1.297412   0.000000  
1.297529   0.000000  
1.297647   0.000000  
1.297765   0.000000  
1.297882   0.000000  
1.298000   0.000000  
1.298118   0.000000  
1.298235   0.000000  
1.298353   0.000000  
1.298471   0.000000  
1.298588   0.000000  
1.298706   0.000000  
1.298824   0.000000  
1.298941   0.000000  
1.299059   0.000000  
1.299176   0.000000  
1.299294   0.000000  
1.299412   0.000000  
1.299529   0.000000  
1.299647   0.000000  
1.299765   0.000000  
1.299882   0.000000  
1.300000   0.000000  
1.300000   1.000000  
1.300117   1.000000  
1.300234   1.000000  
1.300351   1.000000  
1.300468   1.000000  
1.300585   1.000000  
1.300702   1.000000  
1.300819   1.000000  
1.300936   1.000000  
1.301054   1.000000  
1.301171   1.000000  
1.301288   1.000000  
1.301405   1.000000  
1.301522   1.000000  
1.301639   1.000000  
1.301756   1.000000  
1.301873   1.000000  
1.301990   1.000000  
1.302107   1.000000  
1.302224   1.000000  
1.302341   1.000000  
1.302458   1.000000  
1.302575   1.000000  
1.302692   1.000000  
1.302809   1.000000  
1.302926   1.000000  
1.303043   1.000000  
1.303161   1.000000  
1.303278   1.000000  
1.303395   1.000000  
1.303512   1.000000  
1.303629   1.000000  
1.303746   1.000000  
1.303863   1.000000  
1.303980   1.000000  
1.304097   1.000000  
1.304214   1.000000  
1.304331   1.000000  
1.304448   1.000000  
1.304565   1.000000  
1.304682   1.000000  
1.304799   1.000000  
1.304916   1.000000  
1.305033   1.000000  
1.305151   1.000000  
1.305268   1.000000  
1.305385   1.000000  
1.305502   1.000000  
1.305619   1.000000  
1.305736   1.000000  
1.305853   1.000000  
1.305970   1.000000  
1.306087   1.000000  
1.306204   1.000000  
1.306321   1.000000  
1.306438   1.000000  
1.306555   1.000000  
1.306672   1.000000  
1.306789   1.000000  
1.306906   1.000000  
1.307023   1.000000  
1.307140   1.000000  
1.307258   1.000000  
1.307375   1.000000  
1.307492   1.000000  
1.307609   1.000000  
1.307726   1.000000  
1.307843   1.000000  
1.307960   1.000000  
1.308077   1.000000  
1.308194   1.000000  
1.308311   1.000000  
1.308428   1.000000  
1.308545   1.000000  
1.308662   1.000000  
1.308779   1.000000  
1.308896   1.000000  
1.309013   1.000000  
1.309130   1.000000  
1.309247   1.000000  
1.309365   1.000000  
1.309482   1.000000  
1.309599   1.000000  
1.309716   1.000000  
1.309833   1.000000  
1.309950   1.000000  
1.310067   1.000000  
1.310184   1.000000  
1.310301   1.000000  
1.310418   1.000000  
1.310535   1.000000  
1.310652   1.000000  
1.310769   1.000000  
1.310886   1.000000  
1.311003   1.000000  
1.311120   1.000000  
1.311237   1.000000  
1.311355   1.000000  
1.311472   1.000000  
1.311589   1.000000  
1.311706   1.000000  
1.311823   1.000000  
1.311940   1.000000  
1.312057   1.000000  
1.312174   1.000000  
1.312291   1.000000  
1.312408   1.000000  
1.312525   1.000000  
1.312642   1.000000  
1.312759   1.000000  
1.312876   1.000000  
1.312993   1.000000  
1.313110   1.000000  
1.313227   1.000000  
1.313344   1.000000  
1.313462   1.000000  
1.313579   1.000000  
1.313696   1.000000  
1.313813   1.000000  
1.313930   1.000000  
1.314047   1.000000  
1.314164   1.000000  
1.314281   1.000000  
1.314398   1.000000  
1.314515   1.000000  
1.314632   1.000000  
1.314749   1.000000  
1.314866   1.000000  
1.314983   1.000000  
1.315100   1.000000  
1.315217   1.000000  
1.315334   1.000000  
1.315452   1.000000  
1.315569   1.000000  
1.315686   1.000000  
1.315803   1.000000  
1.315920   1.000000  
1.316037   1.000000  
1.316154   1.000000  
1.316271   1.000000  
1.316388   1.000000  
1.316505   1.000000  
1.316622   1.000000  
1.316739   1.000000  
1.316856   1.000000  
1.316973   1.000000  
1.317090   1.000000  
1.317207   1.000000  
1.317324   1.000000  
1.317441   1.000000  
1.317559   1.000000  
1.317676   1.000000  
1.317793   1.000000  
1.317910   1.000000  
1.318027   1.000000  
1.318144   1.000000  
1.318261   1.000000  
1.318378   1.000000  
1.318495   1.000000  
1.318612   1.000000  
1.318729   1.000000  
1.318846   1.000000  
1.318963   1.000000  
1.319080   1.000000  
1.319197   1.000000  
1.319314   1.000000  
1.319431   1.000000  
1.319548   1.000000  
1.319666   1.000000  
1.319783   1.000000  
1.319900   1.000000  
1.320017   1.000000  
1.320134   1.000000  
1.320251   1.000000  
1.320368   1.000000  
1.320485   1.000000  
1.320602   1.000000  
1.320719   1.000000  
1.320836   1.000000  
1.320953   1.000000  
1.321070   1.000000  
1.321187   1.000000  
1.321304   1.000000  
1.321421   1.000000  
1.321538   1.000000  
1.321656   1.000000  
1.321773   1.000000  
1.321890   1.000000  
1.322007   1.000000  
1.322124   1.000000  
1.322241   1.000000  
1.322358   1.000000  
1.322475   1.000000  
1.322592   1.000000  
1.322709   1.000000  
1.322826   1.000000  
1.322943   1.000000  
1.323060   1.000000  
1.323177   1.000000  
1.323294   1.000000  
1.323411   1.000000  
1.323528   1.000000  
1.323645   1.000000  
1.323763   1.000000  
1.323880   1.000000  
1.323997   1.000000  
1.324114   1.000000  
1.324231   1.000000  
1.324348   1.000000  
1.324465   1.000000  
1.324582   1.000000  
1.324699   1.000000  
1.324816   1.000000  
1.324933   1.000000  
1.325050   1.000000  
1.325167   1.000000  
1.325284   1.000000  
1.325401   1.000000  
1.325518   1.000000  
1.325635   1.000000  
1.325753   1.000000  
1.325870   1.000000  
1.325987   1.000000  
1.326104   1.000000  
1.326221   1.000000  
1.326338   1.000000  
1.326455   1.000000  
1.326572   1.000000  
1.326689   1.000000  
1.326806   1.000000  
1.326923   1.000000  
1.327040   1.000000  
1.327157   1.000000  
1.327274   1.000000  
1.327391   1.000000  
1.327508   1.000000  
1.327625   1.000000  
1.327742   1.000000  
1.327860   1.000000  
1.327977   1.000000  
1.328094   1.000000  
1.328211   1.000000  
1.328328   1.000000  
1.328445   1.000000  
1.328562   1.000000  
1.328679   1.000000  
1.328796   1.000000  
1.328913   1.000000  
1.329030   1.000000  
1.329147   1.000000  
1.329264   1.000000  
1.329381   1.000000  
1.329498   1.000000  
1.329615   1.000000  
1.329732   1.000000  
1.329849   1.000000  
1.329967   1.000000  
1.330084   1.000000  
1.330201   1.000000  
1.330318   1.000000  
1.330435   1.000000  
1.330552   1.000000  
1.330669   1.000000  
1.330786   1.000000  
1.330903   1.000000  
1.331020   1.000000  
1.331137   1.000000  
1.331254   1.000000  
1.331371   1.000000  
1.331488   1.000000  
1.331605   1.000000  
1.331722   1.000000  
1.331839   1.000000  
1.331957   1.000000  
1.332074   1.000000  
1.332191   1.000000  
1.332308   1.000000  
1.332425   1.000000  
1.332542   1.000000  
1.332659   1.000000  
1.332776   1.000000  
1.332893   1.000000  
1.333010   1.000000  
1.333127   1.000000  
1.333244   1.000000  
1.333361   1.000000  
1.333478   1.000000  
1.333595   1.000000  
1.333712   1.000000  
1.333829   1.000000  
1.333946   1.000000  
1.334064   1.000000  
1.334181   1.000000  
1.334298   1.000000  
1.334415   1.000000  
1.334532   1.000000  
1.334649   1.000000  
1.334766   1.000000  
1.334883   1.000000  
1.335000   1.000000  
1.335000   0.000000  
1.335118   0.000000  
1.335235   0.000000  
1.335353   0.000000  
1.335471   0.000000  
1.335588   0.000000  
1.335706   0.000000  
1.335824   0.000000  
1.335941   0.000000  
1.336059   0.000000  
1.336176   0.000000  
1.336294   0.000000  
1.336412   0.000000  
1.336529   0.000000  
1.336647   0.000000  
1.336765   0.000000  
1.336882   0.000000  
1.337000   0.000000  
1.337118   0.000000  
1.337235   0.000000  
1.337353   0.000000  
1.337471   0.000000  
1.337588   0.000000  
1.337706   0.000000  
1.337824   0.000000  
1.337941   0.000000  
1.338059   0.000000  
1.338176   0.000000  
1.338294   0.000000  
1.338412   0.000000  
1.338529   0.000000  
1.338647   0.000000  
1.338765   0.000000  
1.338882   0.000000  
1.339000   0.000000  
1.339118   0.000000  
1.339235   0.000000  
1.339353   0.000000  
1.339471   0.000000  
1.339588   0.000000  
1.339706   0.000000  
1.339824   0.000000  
1.339941   0.000000  
1.340059   0.000000  
1.340176   0.000000  
1.340294   0.000000  
1.340412   0.000000  
1.340529   0.000000  
1.340647   0.000000  
1.340765   0.000000  
1.340882   0.000000  
1.341000   0.000000  
1.341118   0.000000  
1.341235   0.000000  
1.341353   0.000000  
1.341471   0.000000  
1.341588   0.000000  
1.341706   0.000000  
1.341824   0.000000  
1.341941   0.000000  
1.342059   0.000000  
1.342176   0.000000  
1.342294   0.000000  
1.342412   0.000000  
1.342529   0.000000  
1.342647   0.000000  
1.342765   0.000000  
1.342882   0.000000  
1.343000   0.000000  
1.343118   0.000000  
1.343235   0.000000  
1.343353   0.000000  
1.343471   0.000000  
1.343588   0.000000  
1.343706   0.000000  
1.343824   0.000000  
1.343941   0.000000  
1.344059   0.000000  
1.344176   0.000000  
1.344294   0.000000  
1.344412   0.000000  
1.344529   0.000000  
1.344647   0.000000  
1.344765   0.000000  
1.344882   0.000000  
1.345000   0.000000  
