# HITRAN NH3 partition-function data
  temp(K)        4111         5111
      1.0  3.83410e+00  2.68940e+00
      2.0  5.66990e+00  3.88970e+00
      3.0  7.27180e+00  4.93940e+00
      4.0  8.69070e+00  5.87180e+00
      5.0  9.97740e+00  6.72010e+00
      6.0  1.11828e+01  7.51770e+00
      7.0  1.23577e+01  8.29770e+00
      8.0  1.35530e+01  9.09340e+00
      9.0  1.48195e+01  9.93810e+00
     10.0  1.62080e+01  1.08650e+01
     11.0  1.77562e+01  1.18987e+01
     12.0  1.94486e+01  1.30287e+01
     13.0  2.12567e+01  1.42360e+01
     14.0  2.31517e+01  1.55015e+01
     15.0  2.51050e+01  1.68060e+01
     16.0  2.70936e+01  1.81343e+01
     17.0  2.91172e+01  1.94860e+01
     18.0  3.11810e+01  2.08647e+01
     19.0  3.32901e+01  2.22739e+01
     20.0  3.54500e+01  2.37170e+01
     21.0  3.76648e+01  2.51970e+01
     22.0  3.99347e+01  2.67138e+01
     23.0  4.22589e+01  2.82671e+01
     24.0  4.46366e+01  2.98562e+01
     25.0  4.70670e+01  3.14805e+01
     26.0  4.95492e+01  3.31396e+01
     27.0  5.20824e+01  3.48328e+01
     28.0  5.46658e+01  3.65597e+01
     29.0  5.72986e+01  3.83196e+01
     30.0  5.99800e+01  4.01120e+01
     31.0  6.27092e+01  4.19364e+01
     32.0  6.54855e+01  4.37924e+01
     33.0  6.83086e+01  4.56795e+01
     34.0  7.11777e+01  4.75975e+01
     35.0  7.40925e+01  4.95459e+01
     36.0  7.70523e+01  5.15243e+01
     37.0  8.00566e+01  5.35324e+01
     38.0  8.31048e+01  5.55698e+01
     39.0  8.61965e+01  5.76362e+01
     40.0  8.93310e+01  5.97310e+01
     41.0  9.25079e+01  6.18540e+01
     42.0  9.57264e+01  6.40047e+01
     43.0  9.89861e+01  6.61829e+01
     44.0  1.02286e+02  6.83881e+01
     45.0  1.05626e+02  7.06198e+01
     46.0  1.09005e+02  7.28779e+01
     47.0  1.12422e+02  7.51618e+01
     48.0  1.15878e+02  7.74712e+01
     49.0  1.19371e+02  7.98057e+01
     50.0  1.22900e+02  8.21650e+01
     51.0  1.26465e+02  8.45486e+01
     52.0  1.30066e+02  8.69563e+01
     53.0  1.33703e+02  8.93878e+01
     54.0  1.37374e+02  9.18428e+01
     55.0  1.41080e+02  9.43210e+01
     56.0  1.44821e+02  9.68221e+01
     57.0  1.48595e+02  9.93459e+01
     58.0  1.52404e+02  1.01892e+02
     59.0  1.56245e+02  1.04460e+02
     60.0  1.60120e+02  1.07050e+02
     61.0  1.64028e+02  1.09661e+02
     62.0  1.67968e+02  1.12294e+02
     63.0  1.71940e+02  1.14948e+02
     64.0  1.75944e+02  1.17623e+02
     65.0  1.79979e+02  1.20319e+02
     66.0  1.84046e+02  1.23036e+02
