#wvl [um]      Flux [erg/s/cm]
5.5            70738.4419        
5.496976663    70781.8178        
5.493956648    70825.5353        
5.490939949    70869.0562        
5.487926562    70912.3802        
5.48491648     70956.1083        
5.481909698    70999.7697        
5.478906211    71043.2927        
5.475906014    71086.7049        
5.4729091      71129.31          
5.469915465    71172.7518        
5.466925103    71216.946         
5.463938009    71260.3852        
5.460954178    71303.5362        
5.457973603    71347.1462        
5.454996281    71390.4738        
5.452022205    71433.8037        
5.44905137     71477.0798        
5.446083771    71520.4129        
5.443119402    71563.589         
5.440158259    71606.7062        
5.437200336    71650.0054        
5.434245628    71693.3237        
5.431294129    71736.5045        
5.428345835    71779.5302        
5.42540074     71822.7495        
5.422458839    71864.9112        
5.419520126    71909.013         
5.416584597    71952.0997        
5.413652247    71995.0746        
5.410723069    72038.1435        
5.40779706     72080.5559        
5.404874214    72124.0985        
5.401954525    72166.7798        
5.39903799     72210.1855        
5.396124601    72252.8677        
5.393214356    72296.0739        
5.390307248    72338.9549        
5.387403272    72381.1455        
5.384502423    72424.0652        
5.381604697    72467.5419        
5.378710088    72510.359         
5.375818591    72553.2517        
5.372930201    72596.0019        
5.370044913    72637.8571        
5.367162723    72681.4102        
5.364283624    72724.2734        
5.361407613    72766.907         
5.358534684    72809.6089        
5.355664833    72852.3274        
5.352798054    72894.9474        
5.349934342    72937.5771        
5.347073692    72980.1407        
5.344216101    73022.7675        
5.341361562    73065.3758        
5.33851007     73107.9736        
5.335661622    73150.432         
5.332816212    73192.9146        
5.329973835    73235.4571        
5.327134486    73277.875         
5.324298161    73320.1481        
5.321464854    73362.7597        
5.318634561    73405.0747        
5.315807278    73447.5367        
5.312982998    73489.986         
5.310161719    73532.3038        
5.307343433    73574.6359        
5.304528138    73616.8575        
5.301715828    73659.2274        
5.298906498    73701.3919        
5.296100144    73743.6123        
5.293296761    73785.9045        
5.290496345    73827.8444        
5.28769889     73870.2376        
5.284904391    73912.4951        
5.282112845    73954.5625        
5.279324246    73996.7919        
5.276538591    74038.8466        
5.273755873    74080.8653        
5.270976089    74122.9825        
5.268199234    74164.9878        
5.265425303    74206.9711        
5.262654291    74248.9446        
5.259886195    74290.9627        
5.257121009    74333.0577        
5.254358729    74374.9103        
5.251599351    74416.7648        
5.248842869    74458.766         
5.246089279    74500.3737        
5.243338577    74542.3191        
5.240590758    74584.2866        
5.237845817    74626.0686        
5.23510375     74667.6853        
5.232364553    74709.453         
5.229628221    74751.367         
5.226894749    74792.9568        
5.224164134    74834.8091        
5.22143637     74876.5204        
5.218711453    74918.1357        
5.215989378    74959.8346        
5.213270142    75001.4592        
5.21055374     75042.9913        
5.207840167    75084.6405        
5.205129418    75126.0758        
5.202421491    75167.7165        
5.199716379    75208.8424        
5.197014079    75250.5582        
5.194314587    75292.1488        
5.191617897    75333.5454        
5.188924006    75375.0536        
5.186232909    75416.4965        
5.183544602    75457.8567        
5.180859081    75499.301         
5.17817634     75540.46          
5.175496377    75581.8784        
5.172819186    75622.8798        
5.170144764    75664.3538        
5.167473106    75705.3717        
5.164804207    75746.8684        
5.162138064    75787.9412        
5.159474672    75829.0473        
5.156814027    75870.5695        
5.154156124    75911.5817        
5.15150096     75952.7054        
5.14884853     75993.9655        
5.14619883     76034.9009        
5.143551856    76076.0659        
5.140907604    76117.1471        
5.138266069    76158.1652        
5.135627247    76198.7933        
5.132991134    76240.2136        
5.130357726    76281.2064        
5.127727018    76322.1223        
5.125099008    76363.0546        
5.122473689    76403.4738        
5.119851059    76444.471         
5.117231113    76485.4232        
5.114613847    76526.3804        
5.111999256    76567.2988        
5.109387338    76608.0507        
5.106778087    76648.7616        
5.1041715      76689.1799        
5.101567573    76730.1917        
5.0989663      76770.9509        
5.09636768     76811.488         
5.093771706    76852.1355        
5.091178376    76892.2828        
5.088587686    76933.079         
5.08599963     76972.8295        
5.083414206    77014.7913        
5.080831409    77054.8579        
5.078251235    77095.4056        
5.07567368     77135.6532        
5.073098741    77176.7391        
5.070526413    77216.3419        
5.067956692    77257.6574        
5.065389575    77297.569         
5.062825056    77338.3575        
5.060263134    77378.8175        
5.057703802    77418.9887        
5.055147059    77459.4265        
5.052592899    77499.4921        
5.050041319    77535.5704        
5.047492314    77579.2653        
5.044945881    77620.2811        
5.042402017    77660.2186        
5.039860717    77700.8319        
5.037321976    77740.751         
5.034785793    77781.392         
5.032252162    77820.9157        
5.029721079    77861.4301        
5.027192541    77901.0968        
5.024666545    77941.5448        
5.022143085    77981.1108        
5.019622159    78021.565         
5.017103763    78061.6698        
5.014587892    78101.5073        
5.012074543    78140.2338        
5.009563713    78180.785         
5.007055396    78219.9308        
5.004549591    78260.7559        
5.002046292    78299.6556        
4.999545496    78340.6831        
4.997047199    78380.4974        
4.994551398    78420.423         
4.992058089    78459.9799        
4.989567268    78497.5093        
4.987078932    78539.6587        
4.984593076    78577.8095        
4.982109697    78618.7016        
4.979628791    78657.7709        
4.977150355    78698.1097        
4.974674385    78735.3506        
4.972200877    78776.2253        
4.969729827    78816.525         
4.967261233    78854.5904        
4.964795089    78895.8093        
4.962331394    78934.7208        
4.959870142    78974.8135        
4.95741133     79013.8099        
4.954954955    79053.6234        
4.952501013    79092.3975        
4.9500495      79130.0919        
4.947600414    79169.1024        
4.945153749    79208.9798        
4.942709503    79250.3553        
4.940267673    79288.4534        
4.937828253    79326.8257        
4.935391242    79366.277         
4.932956635    79405.7691        
4.930524429    79443.7215        
4.928094619    79485.0799        
4.925667204    79523.7298        
4.923242179    79563.1282        
4.92081954     79601.6536        
4.918399285    79640.5864        
4.915981409    79674.8756        
4.913565909    79717.2991        
4.911152781    79745.2496        
4.908742023    79795.3234        
4.906333631    79833.6771        
4.9039276      79870.6335        
4.901523928    79911.4797        
4.899122612    79951.9797        
4.896723647    79987.1729        
4.89432703     80026.8403        
4.891932758    80060.5658        
4.889540828    80097.2466        
4.887151235    80128.2989        
4.884763977    80179.2258        
4.88237905     80218.5806        
4.879996451    80258.0636        
4.877616176    80295.9413        
4.875238222    80330.3917        
4.872862585    80370.7282        
4.870489263    80410.2211        
4.868118251    80441.8922        
4.865749547    80483.389         
4.863383146    80524.7557        
4.861019046    80562.464         
4.858657244    80599.1025        
4.856297735    80635.3147        
4.853940517    80673.9514        
4.851585586    80712.9897        
4.84923294     80737.0403        
4.846882573    80757.088         
4.844534484    80819.1276        
4.842188669    80864.3248        
4.839845125    80908.059         
4.837503848    80934.0129        
4.835164835    80974.1646        
4.832828083    81016.9385        
4.830493589    81045.6419        
4.828161348    81092.1162        
4.825831359    81124.681         
4.823503618    81168.7644        
4.821178121    81200.8704        
4.818854865    81236.9764        
4.816533847    81262.8566        
4.814215064    81304.8431        
4.811898513    81334.0176        
4.80958419     81383.7217        
4.807272092    81422.2615        
4.804962216    81468.3208        
4.802654558    81495.7333        
4.800349116    81533.846         
4.798045887    81553.4069        
4.795744866    81578.8855        
4.793446052    81626.7673        
4.79114944     81673.3802        
4.788855028    81727.2341        
4.786562813    81755.1756        
4.784272791    81762.0272        
4.781984958    81827.8655        
4.779699313    81876.8986        
4.777415852    81915.1764        
4.775134572    81920.9162        
4.772855469    81962.6698        
4.770578541    81997.162         
4.768303784    82006.5198        
4.766031196    82058.7804        
4.763760773    82105.1458        
4.761492511    82109.8131        
4.759226409    82186.3609        
4.756962463    82195.0239        
4.75470067     82262.1133        
4.752441027    82260.7213        
4.75018353     82349.5531        
4.747928177    82382.0951        
4.745674964    82371.4561        
4.74342389     82454.0363        
4.741174949    82474.0975        
4.738928141    82525.344         
4.73668346     82552.5992        
4.734440906    82504.5526        
4.732200473    82585.9053        
4.72996216     82636.4893        
4.727725964    82689.3506        
4.725491881    82691.2929        
4.723259908    82594.0872        
4.721030043    82825.0515        
4.718802282    82813.0677        
4.716576623    82785.5522        
4.714353062    82889.976         
4.712131597    82930.2338        
4.709912224    82909.2619        
4.707694941    82905.1396        
4.705479745    82931.5296        
4.703266632    83085.6508        
4.701055601    83064.7829        
4.698846647    83068.0028        
4.696639768    83133.2681        
4.694434961    83177.2032        
4.692232223    83171.6225        
4.690031551    83229.8046        
4.687832943    83236.1349        
4.685636395    83313.7988        
4.683441904    83264.9705        
4.681249468    83417.1291        
4.679059084    83387.3536        
4.676870748    83408.3649        
4.674684459    83429.2165        
4.672500212    83268.1203        
4.670318006    83457.8368        
4.668137837    83497.0191        
4.665959703    83629.6949        
4.6637836      83535.98          
4.661609527    83677.8531        
4.659437479    83416.165         
4.657267454    83658.8779        
4.65509945     83573.2097        
4.652933463    83677.3678        
4.650769491    83717.6956        
4.648607531    83773.7817        
4.64644758     84027.5718        
4.644289635    83953.8918        
4.642133693    84008.8912        
4.639979753    83786.2264        
4.63782781     83831.9389        
4.635677863    83910.7287        
4.633529907    83576.9093        
4.631383942    83686.6213        
4.629239963    84180.4464        
4.627097968    84210.9319        
4.624957955    84175.1396        
4.62281992     84317.9815        
4.620683861    84120.3436        
4.618549775    84298.1527        
4.61641766     83936.3713        
4.614287512    84059.5876        
4.612159329    84000.1174        
4.610033108    84248.0077        
4.607908847    84427.5728        
4.605786543    83852.3868        
4.603666192    84454.2954        
4.601547793    84700.1662        
