#wvl [um]      Flux [erg/s/cm]
5.5            61954.2317        
5.496976663    41441.2934        
5.493956648    44980.0846        
5.490939949    34936.7779        
5.487926562    42885.67          
5.48491648     47573.1775        
5.481909698    57312.4672        
5.478906211    39482.5006        
5.475906014    55398.9803        
5.4729091      45484.7165        
5.469915465    50325.9972        
5.466925103    49251.5002        
5.463938009    45058.0253        
5.460954178    57593.3952        
5.457973603    62614.8381        
5.454996281    34889.1718        
5.452022205    49944.4111        
5.44905137     55658.3691        
5.446083771    50276.0513        
5.443119402    33892.6193        
5.440158259    56447.7466        
5.437200336    35000.9634        
5.434245628    63668.1903        
5.431294129    41734.5841        
5.428345835    37060.0621        
5.42540074     63016.1248        
5.422458839    33958.3191        
5.419520126    39134.7852        
5.416584597    41008.8639        
5.413652247    61431.5036        
5.410723069    42612.0298        
5.40779706     50514.1957        
5.404874214    58052.2299        
5.401954525    57218.3088        
5.39903799     63761.8449        
5.396124601    62783.5083        
5.393214356    34876.5532        
5.390307248    35340.5445        
5.387403272    57747.567         
5.384502423    45387.6566        
5.381604697    64449.8685        
5.378710088    40682.5983        
5.375818591    53034.7538        
5.372930201    60477.3907        
5.370044913    41475.7295        
5.367162723    63357.9205        
5.364283624    34540.4566        
5.361407613    53238.5098        
5.358534684    43657.0938        
5.355664833    68215.1155        
5.352798054    63696.5899        
5.349934342    52665.6644        
5.347073692    49917.4142        
5.344216101    55258.9051        
5.341361562    37982.1381        
5.33851007     44199.5885        
5.335661622    61132.88          
5.332816212    67468.0276        
5.329973835    42620.9846        
5.327134486    48563.2744        
5.324298161    65010.7232        
5.321464854    48900.681         
5.318634561    57309.6449        
5.315807278    66911.0421        
5.312982998    69027.8885        
5.310161719    52332.1289        
5.307343433    63954.1986        
5.304528138    45223.2885        
5.301715828    52081.1795        
5.298906498    62091.8111        
5.296100144    51476.9262        
5.293296761    42017.1727        
5.290496345    52431.5214        
5.28769889     66266.1909        
5.284904391    67786.4593        
5.282112845    50233.5521        
5.279324246    40688.6314        
5.276538591    36407.5877        
5.273755873    62999.4495        
5.270976089    54046.1264        
5.268199234    52532.1049        
5.265425303    65094.6782        
5.262654291    49800.1982        
5.259886195    62359.859         
5.257121009    64704.6161        
5.254358729    35459.6947        
5.251599351    48271.8752        
5.248842869    63336.3453        
5.246089279    58554.1857        
5.243338577    49601.2931        
5.240590758    37688.7262        
5.237845817    62090.1401        
5.23510375     62861.5943        
5.232364553    41740.405         
5.229628221    40215.3798        
5.226894749    62443.6207        
5.224164134    57961.3956        
5.22143637     35178.4059        
5.218711453    44398.8478        
5.215989378    62031.849         
5.213270142    58826.5104        
5.21055374     34863.3129        
5.207840167    57363.4166        
5.205129418    67658.466         
5.202421491    55955.95          
5.199716379    43195.9614        
5.197014079    57224.7315        
5.194314587    59314.3908        
5.191617897    59996.8837        
5.188924006    63647.9804        
5.186232909    61055.1516        
5.183544602    64522.2241        
5.180859081    55910.7259        
5.17817634     70495.2309        
5.175496377    55213.6523        
5.172819186    41500.6089        
5.170144764    52259.3762        
5.167473106    36742.4152        
5.164804207    48448.5723        
5.162138064    55992.647         
5.159474672    59895.8723        
5.156814027    36059.37          
5.154156124    69314.3361        
5.15150096     67869.3415        
5.14884853     60846.2427        
5.14619883     49716.7047        
5.143551856    51360.6057        
5.140907604    64139.6481        
5.138266069    67317.2564        
5.135627247    56664.5072        
5.132991134    68448.5573        
5.130357726    52559.3183        
5.127727018    49124.9812        
5.125099008    52587.4776        
5.122473689    38842.4485        
5.119851059    59277.0717        
5.117231113    43372.5656        
5.114613847    37076.3867        
5.111999256    36935.4011        
5.109387338    36144.6335        
5.106778087    62626.7964        
5.1041715      42328.7502        
5.101567573    63481.8253        
5.0989663      35351.3014        
5.09636768     37774.9004        
5.093771706    38529.2658        
5.091178376    55449.0184        
5.088587686    71211.5386        
5.08599963     52460.539         
5.083414206    66192.8038        
5.080831409    36126.2071        
5.078251235    60969.5394        
5.07567368     62394.7832        
5.073098741    70195.0685        
5.070526413    69543.1318        
5.067956692    68995.8725        
5.065389575    63539.0678        
5.062825056    45062.8688        
5.060263134    63810.5543        
5.057703802    65960.1805        
5.055147059    56563.8555        
5.052592899    66415.0307        
5.050041319    71066.6709        
5.047492314    57038.9051        
5.044945881    38326.5957        
5.042402017    55007.167         
5.039860717    56650.4856        
5.037321976    55766.657         
5.034785793    70316.4648        
5.032252162    62183.1332        
5.029721079    42473.4256        
5.027192541    51207.3698        
5.024666545    46072.611         
5.022143085    39521.9639        
5.019622159    42886.3121        
5.017103763    59127.1489        
5.014587892    70190.8508        
5.012074543    50961.5393        
5.009563713    65659.1134        
5.007055396    54159.6634        
5.004549591    71133.4613        
5.002046292    66803.8531        
4.999545496    37690.6239        
4.997047199    57989.3909        
4.994551398    57140.3716        
4.992058089    66514.2129        
4.989567268    37071.5914        
4.987078932    67055.7103        
4.984593076    73579.1603        
4.982109697    59721.7282        
4.979628791    43252.3737        
4.977150355    65327.612         
4.974674385    64332.7066        
4.972200877    68403.7724        
4.969729827    63485.8407        
4.967261233    46104.2787        
4.964795089    63864.9128        
4.962331394    72615.8464        
4.959870142    69310.2429        
4.95741133     71256.7916        
4.954954955    56283.3281        
4.952501013    68963.0862        
4.9500495      55508.3062        
4.947600414    44124.5664        
4.945153749    72273.6624        
4.942709503    40794.3869        
4.940267673    72362.7056        
4.937828253    74252.7734        
4.935391242    62918.2423        
4.932956635    67652.7712        
4.930524429    71348.2024        
4.928094619    68789.2013        
4.925667204    42118.2189        
4.923242179    49885.6022        
4.92081954     54289.5314        
4.918399285    66578.3036        
4.915981409    50827.9794        
4.913565909    68524.9915        
4.911152781    71896.189         
4.908742023    70031.1326        
4.906333631    42015.446         
4.9039276      72600.4859        
4.901523928    72961.4108        
4.899122612    51099.7997        
4.896723647    63264.9093        
4.89432703     62478.4879        
4.891932758    69910.5075        
4.889540828    76587.2153        
4.887151235    68796.3584        
4.884763977    66616.1903        
4.88237905     68885.825         
4.879996451    74801.4857        
4.877616176    61044.0011        
4.875238222    64560.7982        
4.872862585    61873.5062        
4.870489263    48385.3519        
4.868118251    62056.1011        
4.865749547    67036.7359        
4.863383146    69056.203         
4.861019046    43295.328         
4.858657244    55296.7369        
4.856297735    39658.8162        
4.853940517    66790.0655        
4.851585586    62341.8137        
4.84923294     39266.2896        
4.846882573    72179.4177        
4.844534484    64474.127         
4.842188669    50864.9972        
4.839845125    63028.6476        
4.837503848    52228.9161        
4.835164835    57009.2645        
4.832828083    51122.3291        
4.830493589    58474.7413        
4.828161348    58858.5644        
4.825831359    71481.0048        
4.823503618    69475.0165        
4.821178121    74333.9215        
4.818854865    74072.184         
4.816533847    73015.8558        
4.814215064    76604.1577        
4.811898513    57240.8282        
4.80958419     57746.7795        
4.807272092    71802.2035        
4.804962216    51147.5436        
4.802654558    77191.4558        
4.800349116    67177.4296        
4.798045887    73902.2773        
4.795744866    69300.4257        
4.793446052    37203.9555        
4.79114944     64742.477         
4.788855028    75673.6613        
4.786562813    67355.4703        
4.784272791    60243.8574        
4.781984958    75290.743         
4.779699313    38202.7143        
4.777415852    69446.5123        
4.775134572    73796.4849        
4.772855469    55559.6895        
4.770578541    51905.7697        
4.768303784    69262.8251        
4.766031196    70453.7497        
4.763760773    52490.4876        
4.761492511    76047.222         
4.759226409    63196.1639        
4.756962463    56964.1822        
4.75470067     70613.7031        
4.752441027    74989.3639        
4.75018353     61943.4274        
4.747928177    77328.7654        
4.745674964    67465.9368        
4.74342389     74768.4519        
4.741174949    56632.212         
4.738928141    77762.882         
4.73668346     76768.2946        
4.734440906    74394.8749        
4.732200473    78645.8393        
4.72996216     73865.3912        
4.727725964    53480.6281        
4.725491881    69545.7726        
4.723259908    66636.876         
4.721030043    50257.6241        
4.718802282    72931.0513        
4.716576623    69503.2494        
4.714353062    67960.3131        
4.712131597    60461.1671        
4.709912224    42513.4292        
4.707694941    61792.8848        
4.705479745    52176.5551        
4.703266632    64892.0202        
4.701055601    74502.7094        
4.698846647    57273.1409        
4.696639768    75190.8833        
4.694434961    72460.0319        
4.692232223    77622.9635        
4.690031551    77879.7396        
4.687832943    74913.9291        
4.685636395    73067.7428        
4.683441904    54328.8547        
