#wvl [um]      Flux [erg/s/cm]
5.5            70738.4331        
5.496976663    70781.3762        
5.493956648    70825.7075        
5.490939949    70869.2572        
5.487926562    70912.7783        
5.48491648     70956.3621        
5.481909698    70999.8586        
5.478906211    71043.3364        
5.475906014    71086.8315        
5.4729091      71130.2931        
5.469915465    71173.6932        
5.466925103    71217.1258        
5.463938009    71260.508         
5.460954178    71303.7853        
5.457973603    71347.2551        
5.454996281    71390.4904        
5.452022205    71433.908         
5.44905137     71477.1972        
5.446083771    71520.4647        
5.443119402    71563.7142        
5.440158259    71606.9601        
5.437200336    71650.0454        
5.434245628    71693.3881        
5.431294129    71736.5519        
5.428345835    71779.7326        
5.42540074     71822.7832        
5.422458839    71865.9898        
5.419520126    71909.089         
5.416584597    71952.1803        
5.413652247    71995.1673        
5.410723069    72038.2795        
5.40779706     72081.299         
5.404874214    72124.2927        
5.401954525    72167.2941        
5.39903799     72210.2546        
5.396124601    72253.2072        
5.393214356    72296.1427        
5.390307248    72339.0099        
5.387403272    72381.9209        
5.384502423    72424.7811        
5.381604697    72467.59          
5.378710088    72510.4297        
5.375818591    72553.1943        
5.372930201    72596.0559        
5.370044913    72638.856         
5.367162723    72681.5958        
5.364283624    72724.3457        
5.361407613    72767.0432        
5.358534684    72809.7389        
5.355664833    72852.4051        
5.352798054    72895.0661        
5.349934342    72937.6892        
5.347073692    72980.3092        
5.344216101    73022.7921        
5.341361562    73065.4282        
5.33851007     73108.0159        
5.335661622    73150.536         
5.332816212    73193.0715        
5.329973835    73235.5321        
5.327134486    73278.013         
5.324298161    73320.4282        
5.321464854    73362.9054        
5.318634561    73405.3067        
5.315807278    73447.4345        
5.312982998    73490.0301        
5.310161719    73532.4316        
5.307343433    73574.7286        
5.304528138    73617.0443        
5.301715828    73659.3285        
5.298906498    73701.5658        
5.296100144    73743.8465        
5.293296761    73786.0784        
5.290496345    73827.7832        
5.28769889     73870.4562        
5.284904391    73912.2635        
5.282112845    73954.761         
5.279324246    73996.8868        
5.276538591    74038.9776        
5.273755873    74081.0455        
5.270976089    74123.1138        
5.268199234    74165.1631        
5.265425303    74207.1849        
5.262654291    74249.1848        
5.259886195    74291.1567        
5.257121009    74333.1144        
5.254358729    74375.0528        
5.251599351    74416.9085        
5.248842869    74458.8591        
5.246089279    74500.7396        
5.243338577    74542.5855        
5.240590758    74584.3866        
5.237845817    74626.0389        
5.23510375     74668.0048        
5.232364553    74709.787         
5.229628221    74751.5254        
5.226894749    74793.2729        
5.224164134    74834.848         
5.22143637     74876.6628        
5.218711453    74918.3352        
5.215989378    74959.9541        
5.213270142    75001.5735        
5.21055374     75043.192         
5.207840167    75084.7664        
5.205129418    75126.3059        
5.202421491    75167.8648        
5.199716379    75209.3886        
5.197014079    75250.877         
5.194314587    75292.1966        
5.191617897    75333.8158        
5.188924006    75375.2322        
5.186232909    75416.658         
5.183544602    75458.048         
5.180859081    75499.4098        
5.17817634     75540.5259        
5.175496377    75582.0799        
5.172819186    75623.3922        
5.170144764    75664.6126        
5.167473106    75705.911         
5.164804207    75746.7207        
5.162138064    75788.3805        
5.159474672    75829.5526        
5.156814027    75870.7259        
5.154156124    75911.8415        
5.15150096     75953.0686        
5.14884853     75994.1666        
5.14619883     76035.2402        
5.143551856    76076.3168        
5.140907604    76117.3764        
5.138266069    76158.419         
5.135627247    76199.4249        
5.132991134    76240.4102        
5.130357726    76281.3752        
5.127727018    76322.3139        
5.125099008    76363.2357        
5.122473689    76404.1145        
5.119851059    76445.0066        
5.117231113    76485.8553        
5.114613847    76526.6955        
5.111999256    76567.4892        
5.109387338    76608.2305        
5.106778087    76649.0531        
5.1041715      76689.8135        
5.101567573    76730.5457        
5.0989663      76771.2202        
5.09636768     76811.9078        
5.093771706    76852.5805        
5.091178376    76893.2009        
5.088587686    76933.8243        
5.08599963     76974.4162        
5.083414206    77014.9715        
5.080831409    77055.5097        
5.078251235    77096.035         
5.07567368     77136.5652        
5.073098741    77176.9216        
5.070526413    77217.4947        
5.067956692    77257.9457        
5.065389575    77298.333         
5.062825056    77338.7073        
5.060263134    77379.1235        
5.057703802    77419.4571        
5.055147059    77459.8084        
5.052592899    77500.0391        
5.050041319    77540.397         
5.047492314    77580.6602        
5.044945881    77620.8882        
5.042402017    77661.1096        
5.039860717    77701.3225        
5.037321976    77741.4882        
5.034785793    77781.5738        
5.032252162    77821.7747        
5.029721079    77861.8511        
5.027192541    77901.9584        
5.024666545    77942.0348        
5.022143085    77982.0833        
5.019622159    78022.0998        
5.017103763    78062.0897        
5.014587892    78102.0754        
5.012074543    78142.0273        
5.009563713    78181.8336        
5.007055396    78221.8568        
5.004549591    78261.74          
5.002046292    78301.6122        
4.999545496    78341.4556        
4.997047199    78381.2714        
4.994551398    78420.7133        
