#wvl [um]      Flux [erg/s/cm]
5.5            64167.527         
5.496976663    59351.7302        
5.493956648    33807.8244        
5.490939949    45934.5619        
5.487926562    68810.5074        
5.48491648     62575.6311        
5.481909698    66818.1384        
5.478906211    68898.4309        
5.475906014    66298.2343        
5.4729091      48383.7965        
5.469915465    67227.3771        
5.466925103    64147.1854        
5.463938009    69263.0736        
5.460954178    66216.5364        
5.457973603    66013.9462        
5.454996281    60064.7501        
5.452022205    67735.1311        
5.44905137     68191.0719        
5.446083771    69536.3244        
5.443119402    49422.7963        
5.440158259    64845.6572        
5.437200336    66315.4633        
5.434245628    59740.3929        
5.431294129    68402.7902        
5.428345835    67000.9277        
5.42540074     63617.0138        
5.422458839    63907.677         
5.419520126    67823.4809        
5.416584597    46354.8158        
5.413652247    69361.7465        
5.410723069    54950.3979        
5.40779706     67515.297         
5.404874214    34607.2616        
5.401954525    58303.319         
5.39903799     69822.9577        
5.396124601    59724.0339        
5.393214356    62944.2424        
5.390307248    68045.9386        
5.387403272    62098.3611        
5.384502423    38274.4805        
5.381604697    55285.0051        
5.378710088    57631.1687        
5.375818591    69009.9054        
5.372930201    47129.7055        
5.370044913    65952.9094        
5.367162723    62299.7243        
5.364283624    67185.1151        
5.361407613    65602.4356        
5.358534684    67756.5818        
5.355664833    43088.3662        
5.352798054    64814.8132        
5.349934342    68045.2172        
5.347073692    51168.774         
5.344216101    68483.2269        
5.341361562    34906.4104        
5.33851007     63562.4016        
5.335661622    68885.4956        
5.332816212    64293.7451        
5.329973835    66207.1951        
5.327134486    66148.4654        
5.324298161    53700.3121        
5.321464854    67472.809         
5.318634561    63563.9584        
5.315807278    44196.4722        
5.312982998    62395.2833        
5.310161719    61895.6022        
5.307343433    60490.2436        
5.304528138    34497.2791        
5.301715828    60834.7779        
5.298906498    42301.3447        
5.296100144    55896.6048        
5.293296761    55897.804         
5.290496345    60137.0609        
5.28769889     58108.5272        
5.284904391    56733.8329        
5.282112845    50699.4549        
5.279324246    65167.8566        
5.276538591    57792.3894        
5.273755873    55850.1916        
5.270976089    45932.4307        
5.268199234    50964.7415        
5.265425303    66765.8186        
5.262654291    51856.52          
5.259886195    65662.9875        
5.257121009    57034.0044        
5.254358729    62611.9928        
5.251599351    67089.5175        
5.248842869    35375.1641        
5.246089279    59829.9694        
5.243338577    61265.6784        
5.240590758    61155.5039        
5.237845817    66711.5538        
5.23510375     55952.5829        
5.232364553    34693.2162        
5.229628221    37624.2728        
5.226894749    56583.1287        
5.224164134    59659.2986        
5.22143637     45533.4292        
5.218711453    49365.8212        
5.215989378    61707.6951        
5.213270142    38239.8191        
5.21055374     64843.604         
5.207840167    53982.442         
5.205129418    61961.6628        
5.202421491    53959.3102        
5.199716379    48729.9925        
5.197014079    64415.0288        
5.194314587    66568.7458        
5.191617897    63033.4333        
5.188924006    42309.7753        
5.186232909    55119.1408        
5.183544602    61904.0064        
5.180859081    66719.02          
5.17817634     63347.1547        
5.175496377    55771.2306        
5.172819186    56281.1703        
5.170144764    60360.5805        
5.167473106    44127.1119        
5.164804207    64723.0619        
5.162138064    52355.2107        
5.159474672    53325.6871        
5.156814027    57572.4189        
5.154156124    65434.2711        
5.15150096     66991.6525        
5.14884853     60378.2022        
5.14619883     44867.5534        
5.143551856    42376.9073        
5.140907604    62390.5059        
5.138266069    65116.1532        
5.135627247    62361.2354        
5.132991134    37880.4939        
5.130357726    57363.3117        
5.127727018    58461.4499        
5.125099008    52395.5754        
5.122473689    62424.1869        
5.119851059    48838.2767        
5.117231113    56447.607         
5.114613847    62317.5338        
5.111999256    64819.4825        
5.109387338    46051.5442        
5.106778087    51501.5621        
5.1041715      54799.4459        
5.101567573    61601.7039        
5.0989663      55519.3923        
5.09636768     60220.7321        
5.093771706    53632.1888        
5.091178376    51318.8395        
5.088587686    59724.2272        
5.08599963     64524.3871        
5.083414206    49549.3116        
5.080831409    53704.4829        
5.078251235    50925.3667        
5.07567368     47421.0263        
5.073098741    53234.9049        
5.070526413    42479.0982        
5.067956692    50958.1141        
5.065389575    42155.5209        
5.062825056    62758.4483        
5.060263134    61810.0642        
5.057703802    60238.5218        
5.055147059    44545.2331        
5.052592899    36168.8747        
5.050041319    62393.1768        
5.047492314    47493.8723        
5.044945881    59048.4662        
5.042402017    40125.3186        
5.039860717    46812.4538        
5.037321976    58887.3806        
5.034785793    57922.244         
5.032252162    45021.8586        
5.029721079    38279.1763        
5.027192541    47152.6432        
5.024666545    50600.4478        
5.022143085    48028.2247        
5.019622159    56367.2906        
5.017103763    53280.9871        
5.014587892    48277.315         
5.012074543    52462.8887        
5.009563713    57495.8316        
5.007055396    49514.0605        
5.004549591    53217.3931        
5.002046292    45758.0469        
4.999545496    52799.6961        
4.997047199    60815.3266        
4.994551398    40690.9713        
4.992058089    45306.8328        
4.989567268    43966.4718        
4.987078932    61729.9698        
4.984593076    56584.5885        
4.982109697    51165.6737        
4.979628791    47018.5858        
4.977150355    53353.6374        
4.974674385    60485.578         
4.972200877    37491.1907        
4.969729827    42816.6229        
4.967261233    37134.594         
4.964795089    56394.9413        
4.962331394    43139.2806        
4.959870142    44398.3489        
4.95741133     40648.6863        
4.954954955    37035.0821        
4.952501013    57923.5577        
4.9500495      51244.5191        
4.947600414    52927.0371        
4.945153749    53864.3888        
4.942709503    44976.1785        
4.940267673    58117.7603        
4.937828253    38408.2815        
4.935391242    55357.0813        
4.932956635    49082.3022        
4.930524429    49553.8684        
4.928094619    43336.7431        
4.925667204    39462.1494        
4.923242179    58238.4372        
4.92081954     41738.2894        
4.918399285    44972.7196        
4.915981409    39032.6156        
4.913565909    55912.9395        
4.911152781    54796.1239        
4.908742023    41078.4965        
4.906333631    51132.8049        
4.9039276      55494.6673        
4.901523928    59990.9271        
4.899122612    48585.2809        
4.896723647    49029.1831        
4.89432703     45922.0154        
4.891932758    60022.9862        
4.889540828    56228.9593        
4.887151235    39045.6092        
4.884763977    45786.5782        
4.88237905     56886.0736        
4.879996451    60192.5676        
4.877616176    51353.7745        
4.875238222    44088.5678        
4.872862585    38255.1661        
4.870489263    60265.0613        
4.868118251    56532.9096        
4.865749547    39423.1879        
4.863383146    42863.9818        
4.861019046    60152.647         
4.858657244    59633.8944        
4.856297735    36922.5807        
4.853940517    42098.8629        
4.851585586    56657.8825        
4.84923294     59403.9037        
4.846882573    43368.2744        
4.844534484    42185.4222        
4.842188669    51672.5715        
4.839845125    57070.4232        
4.837503848    40877.9916        
4.835164835    50485.3653        
4.832828083    44572.7274        
4.830493589    58397.3141        
4.828161348    41609.7979        
4.825831359    55161.4055        
4.823503618    38193.1785        
4.821178121    54632.3359        
4.818854865    51823.8581        
4.816533847    45465.1394        
4.814215064    39040.9398        
4.811898513    49107.6414        
4.80958419     56949.4965        
4.807272092    59242.0307        
4.804962216    37072.3927        
4.802654558    41045.9559        
4.800349116    38628.7516        
4.798045887    60176.3653        
4.795744866    46002.2903        
4.793446052    40332.778         
4.79114944     54428.8312        
4.788855028    54467.6165        
4.786562813    46888.2581        
4.784272791    47301.0632        
4.781984958    49521.6146        
4.779699313    36611.0875        
4.777415852    49034.5864        
4.775134572    51038.7566        
4.772855469    45115.9829        
4.770578541    54670.5978        
4.768303784    49704.3187        
4.766031196    54463.7705        
4.763760773    39349.8598        
4.761492511    57768.072         
4.759226409    48117.8455        
4.756962463    54695.2316        
4.75470067     39096.5514        
4.752441027    55447.63          
4.75018353     42884.181         
4.747928177    49464.8952        
4.745674964    43707.1512        
4.74342389     54216.1519        
4.741174949    41434.9609        
4.738928141    53719.6111        
4.73668346     47146.0488        
4.734440906    49337.5203        
4.732200473    52310.9405        
4.72996216     59345.9508        
4.727725964    49213.1605        
4.725491881    45163.1398        
4.723259908    61751.6269        
4.721030043    58331.0982        
4.718802282    48533.2033        
4.716576623    50625.6957        
4.714353062    60953.1915        
4.712131597    49990.9942        
4.709912224    51290.4833        
4.707694941    48296.2505        
4.705479745    49433.5531        
4.703266632    36493.0389        
4.701055601    52766.4403        
4.698846647    48927.3511        
4.696639768    60141.59          
4.694434961    36758.599         
4.692232223    50615.1635        
4.690031551    52535.0565        
4.687832943    58491.4863        
4.685636395    53355.7332        
4.683441904    45959.7329        
4.681249468    41909.8593        
4.679059084    37899.278         
4.676870748    60958.3633        
4.674684459    46932.5076        
4.672500212    54329.0831        
4.670318006    62275.0664        
4.668137837    53986.7296        
4.665959703    59066.8723        
4.6637836      61106.093         
4.661609527    55553.137         
4.659437479    42708.0132        
4.657267454    42470.8117        
4.65509945     60683.4711        
4.652933463    48305.3677        
4.650769491    57342.7923        
4.648607531    54267.4749        
4.64644758     38359.4887        
4.644289635    50547.5172        
4.642133693    54787.8183        
4.639979753    49259.811         
4.63782781     47610.5201        
4.635677863    59690.929         
4.633529907    42699.481         
4.631383942    54899.442         
4.629239963    55926.2817        
4.627097968    52419.7145        
4.624957955    45941.9533        
4.62281992     42488.846         
4.620683861    49348.1992        
4.618549775    47568.9556        
4.61641766     47580.7274        
4.614287512    46360.0862        
4.612159329    57982.3584        
4.610033108    36775.0093        
4.607908847    43905.1817        
4.605786543    57220.9974        
4.603666192    52441.1015        
4.601547793    47275.9998        
4.599431343    38448.2432        
4.597316839    57363.1133        
4.595204278    40000.4826        
4.593093657    52221.9945        
4.590984975    57195.7329        
4.588878228    41035.4244        
4.586773413    48883.9139        
4.584670529    51205.4506        
4.582569572    47190.2388        
4.580470539    38219.7592        
4.578373429    52043.7623        
4.576278238    46579.3481        
4.574184963    37944.6964        
4.572093603    47897.7338        
4.570004155    51163.8597        
4.567916615    51363.7002        
4.565830981    42037.5356        
4.563747251    51591.4901        
4.561665423    55202.7266        
4.559585492    42223.6113        
4.557507458    49827.2626        
4.555431317    57194.4725        
4.553357066    49667.7684        
4.551284704    47040.5203        
4.549214227    48935.0071        
4.547145633    52996.3433        
4.545078919    42459.2624        
4.543014083    56704.7745        
4.540951123    55636.6336        
4.538890035    37507.0779        
4.536830817    44839.3465        
4.534773467    56259.2062        
4.532717983    41878.8947        
