# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.5000000   9.09183e+04       73598.7460     0099
   5.4969767   1.01646e+05       73598.7460     0099
   5.4939566   2.27451e+05       73598.7460     0099
   5.4909399   1.80586e+05       73598.7460     0099
   5.4879266   1.31238e+05       73598.7460     0099
   5.4849165   1.36541e+05       73598.7460     0099
   5.4819097   1.46144e+05       73598.7460     0099
   5.4789062   1.94507e+05       73598.7460     0099
   5.4759060   1.91445e+05       73598.7460     0099
   5.4729091   2.54994e+05       73598.7460     0099
   5.4699155   1.71043e+05       73598.7460     0099
   5.4669251   1.79460e+05       73598.7460     0099
   5.4639380   1.70671e+05       73598.7460     0099
   5.4609542   1.98936e+05       73598.7460     0099
   5.4579736   2.20867e+05       73598.7460     0099
   5.4549963   3.05550e+05       73598.7460     0099
   5.4520222   1.92503e+05       73598.7460     0099
   5.4490514   1.70141e+05       73598.7460     0099
   5.4460838   1.63156e+05       73598.7460     0099
   5.4431194   2.99542e+05       73598.7460     0099
   5.4401583   2.19627e+05       73598.7460     0099
   5.4372003   2.36614e+05       73598.7460     0099
   5.4342456   2.25176e+05       73598.7460     0099
   5.4312941   1.99405e+05       73598.7460     0099
   5.4283458   2.88471e+05       73598.7460     0099
   5.4254007   2.74337e+05       73598.7460     0099
   5.4224588   3.39997e+05       73598.7460     0099
   5.4195201   2.58186e+05       73598.7460     0099
   5.4165846   2.31017e+05       73598.7460     0099
   5.4136522   2.26866e+05       73598.7460     0099
   5.4107231   3.71176e+05       73598.7460     0099
   5.4077971   2.97115e+05       73598.7460     0099
   5.4048742   5.39727e+05       73598.7460     0099
   5.4019545   3.06107e+05       73598.7460     0099
   5.3990380   2.18908e+05       73598.7460     0099
   5.3961246   2.65422e+05       73598.7460     0099
   5.3932144   2.96874e+05       73598.7460     0099
   5.3903072   2.88782e+05       73598.7460     0099
   5.3874033   3.75105e+05       73598.7460     0099
   5.3845024   2.68918e+05       73598.7460     0099
   5.3816047   3.08123e+05       73598.7460     0099
   5.3787101   4.26577e+05       73598.7460     0099
   5.3758186   3.04700e+05       73598.7460     0099
   5.3729302   4.24142e+05       73598.7460     0099
   5.3700449   3.83664e+05       73598.7460     0099
   5.3671627   3.45354e+05       73598.7460     0099
   5.3642836   3.86885e+05       73598.7460     0099
   5.3614076   3.65712e+05       73598.7460     0099
   5.3585347   3.51356e+05       73598.7460     0099
   5.3556648   7.88759e+05       73598.7460     0099
   5.3527981   3.92341e+05       73598.7460     0099
   5.3499343   3.68913e+05       73598.7460     0099
   5.3470737   5.40914e+05       73598.7460     0099
   5.3442161   3.71632e+05       73598.7460     0099
   5.3413616   5.16309e+05       73598.7460     0099
   5.3385101   5.07592e+05       73598.7460     0099
   5.3356616   3.78978e+05       73598.7460     0099
   5.3328162   4.10838e+05       73598.7460     0099
   5.3299738   4.31784e+05       73598.7460     0099
   5.3271345   4.65639e+05       73598.7460     0099
   5.3242982   7.65604e+05       73598.7460     0099
   5.3214649   5.35683e+05       73598.7460     0099
   5.3186346   4.40428e+05       73598.7460     0099
   5.3158073   6.52969e+05       73598.7460     0099
   5.3129830   4.80355e+05       73598.7460     0099
   5.3101617   6.31833e+05       73598.7460     0099
   5.3073434   6.73019e+05       73598.7460     0099
   5.3045281   4.93642e+05       73598.7460     0099
   5.3017158   5.98938e+05       73598.7460     0099
   5.2989065   5.43772e+05       73598.7460     0099
   5.2961001   7.14371e+05       73598.7460     0099
   5.2932968   8.59766e+05       73598.7460     0099
   5.2904963   5.90764e+05       73598.7460     0099
   5.2876989   5.94426e+05       73598.7460     0099
   5.2849044   6.80969e+05       73598.7460     0099
   5.2821128   8.32641e+05       73598.7460     0099
   5.2793242   7.25295e+05       73598.7460     0099
   5.2765386   8.70290e+05       73598.7460     0099
   5.2737559   6.55022e+05       73598.7460     0099
   5.2709761   1.07387e+06       73598.7460     0099
   5.2681992   7.97226e+05       73598.7460     0099
   5.2654253   6.89781e+05       73598.7460     0099
   5.2626543   1.10777e+06       73598.7460     0099
   5.2598862   7.53905e+05       73598.7460     0099
   5.2571210   9.47720e+05       73598.7460     0099
   5.2543587   8.72733e+05       73598.7460     0099
   5.2515994   7.37300e+05       73598.7460     0099
   5.2488429   9.05668e+05       73598.7460     0099
   5.2460893   1.02648e+06       73598.7460     0099
   5.2433386   9.65617e+05       73598.7460     0099
   5.2405908   1.07164e+06       73598.7460     0099
   5.2378458   8.05151e+05       73598.7460     0099
   5.2351038   8.45487e+05       73598.7460     0099
   5.2323646   2.58711e+06       73598.7460     0099
   5.2296282   1.06257e+06       73598.7460     0099
   5.2268947   1.31486e+06       73598.7460     0099
   5.2241641   9.25470e+05       73598.7460     0099
   5.2214364   9.20541e+05       73598.7460     0099
   5.2187115   1.27192e+06       73598.7460     0099
   5.2159894   1.28075e+06       73598.7460     0099
   5.2132701   2.00567e+06       73598.7460     0099
   5.2105537   1.05350e+06       73598.7460     0099
   5.2078402   8.96724e+05       73598.7460     0099
   5.2051294   1.17458e+06       73598.7460     0099
   5.2024215   1.77684e+06       73598.7460     0099
   5.1997164   2.01207e+06       73598.7460     0099
