# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.5000000   1.01704e+01       74017.6010     0061
   5.4969767   1.15486e+01       74103.0370     0053
   5.4939566   1.02037e+01       74305.6870     0030
   5.4909399   1.05902e+01       74179.7390     0045
   5.4879266   1.08279e+01       74050.3530     0058
   5.4849165   1.31901e+01       74039.4980     0059
   5.4819097   1.07156e+01       74006.5900     0062
   5.4789062   1.30812e+01       74132.9480     0050
   5.4759060   1.02645e+01       74028.5760     0060
   5.4729091   1.04953e+01       74113.1630     0052
   5.4699155   1.27169e+01       74039.4980     0059
   5.4669251   1.02476e+01       74050.3530     0058
   5.4639380   1.10489e+01       74082.3420     0055
   5.4609542   1.07107e+01       74017.6010     0061
   5.4579736   1.34499e+01       73995.5550     0063
   5.4549963   1.00680e+01       74179.7390     0045
   5.4520222   1.18205e+01       74050.3530     0058
   5.4490514   1.01444e+01       74028.5760     0060
   5.4460838   1.06032e+01       74006.5900     0062
   5.4431194   1.12723e+01       74353.8470     0024
   5.4401583   1.15157e+01       74028.5760     0060
   5.4372003   1.18695e+01       74170.6680     0046
   5.4342456   1.17524e+01       74039.4980     0059
   5.4312941   1.11545e+01       74071.7930     0056
   5.4283458   1.09604e+01       74152.1070     0048
   5.4254007   1.31650e+01       74017.6010     0061
   5.4224588   1.01914e+01       74417.7460     0016
   5.4195201   1.08161e+01       74082.3420     0055
   5.4165846   1.19481e+01       74113.1630     0052
   5.4136522   1.00570e+01       73984.5060     0064
   5.4107231   1.05329e+01       74092.7600     0054
   5.4077971   1.13182e+01       74017.6010     0061
   5.4048742   1.20076e+01       74240.2310     0038
   5.4019545   1.30282e+01       74050.3530     0058
   5.3990380   1.13110e+01       73973.4520     0065
   5.3961246   1.29049e+01       74017.6010     0061
   5.3932144   1.08007e+01       74188.6860     0044
   5.3903072   1.09025e+01       74170.6680     0046
   5.3874033   1.10853e+01       74039.4980     0059
   5.3845024   1.08319e+01       74161.4590     0047
   5.3816047   1.19855e+01       74071.7930     0056
   5.3787101   1.32546e+01       74132.9480     0050
   5.3758186   1.08452e+01       74017.6010     0061
   5.3729302   1.27915e+01       74061.1240     0057
   5.3700449   1.19195e+01       74082.3420     0055
   5.3671627   1.22676e+01       74028.5760     0060
   5.3642836   1.10418e+01       74240.2310     0038
   5.3614076   1.37459e+01       74039.4980     0059
   5.3585347   1.15699e+01       74050.3530     0058
   5.3556648   1.26634e+01       74142.6040     0049
   5.3527981   1.10866e+01       74017.6010     0061
   5.3499343   1.10103e+01       74039.4980     0059
   5.3470737   1.32749e+01       74092.7600     0054
   5.3442161   1.06650e+01       74017.6010     0061
   5.3413616   1.20193e+01       74231.8440     0039
   5.3385101   1.14360e+01       74050.3530     0058
   5.3356616   1.16514e+01       74006.5900     0062
   5.3328162   1.34970e+01       74006.5900     0062
   5.3299738   1.21644e+01       74071.7930     0056
   5.3271345   1.04233e+01       74071.7930     0056
   5.3242982   1.32853e+01       74071.7930     0056
   5.3214649   1.14919e+01       74061.1240     0057
   5.3186346   1.07817e+01       74039.4980     0059
   5.3158073   1.26465e+01       74113.1630     0052
   5.3129830   1.23149e+01       74028.5760     0060
   5.3101617   1.16766e+01       74039.4980     0059
