#wvl           I[ 0.0 deg]       I[20.0 deg]       I[40.0 deg]       I[60.0 deg]       I[80.0 deg]       
#[um]          [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     
5.183544602    18687.5958        18584.9334        18247.24          17544.9745        15884.3208        
5.180859081    18280.4703        18159.2998        17761.2279        16938.4405        15053.625         
5.17817634     19649.96          19550.159         19219.5402        18520.6606        16808.1184        
5.175496377    16432.2452        16325.4485        15979.8454        15287.6402        13790.1867        
5.172819186    13754.4182        13672.1467        13413.0208        12927.7774        12067.5848        
5.170144764    16920.7073        16801.9329        16416.2274        15639.1386        13955.8063        
5.167473106    12154.2768        12116.0438        12002.4089        11816.8283        11567.0086        
5.164804207    15616.7667        15523.797         15225.4218        14638.3129        13402.3694        
5.162138064    15848.2502        15747.3834        15421.135         14769.0452        13375.5909        
5.159474672    16209.7303        16115.615         15811.6339        15204.4713        13882.3242        
5.156814027    11970.4669        11939.9193        11850.6606        11710.1815        11532.955         
5.154156124    19983.5729        19888.0386        19570.3219        18892.1277        17191.0393        
5.15150096     20248.5651        20152.5721        19832.9633        19150.13          17440.9854        
5.14884853     17990.9984        17881.0122        17520.8428        16779.7362        15070.0562        
5.14619883     13617.2432        13549.4574        13334.2399        12922.5638        12140.2701        
5.143551856    12989.4352        12931.7443        12750.9296        12416.9307        11848.3786        
5.140907604    18972.1132        18853.3355        18461.5697        17643.6841        15719.6345        
5.138266069    19724.7695        19622.988         19285.6038        18571.3194        16813.2495        
5.135627247    17906.1167        17786.9971        17397.6475        16601.2315        14804.7786        
5.132991134    11852.8933        11831.4661        11768.2863        11667.4978        11538.5955        
5.130357726    16379.8553        16276.2579        15942.0902        15277.1614        13846.4793        
5.127727018    15579.6011        15484.1967        15178.4066        14578.9189        13330.3036        
5.125099008    15585.5544        15493.4425        15196.1235        14604.2605        13339.6568        
5.122473689    13241.9872        13153.4371        12887.3319        12443.7648        11831.2389        
5.119851059    14931.7363        14847.5389        14577.995         14050.3002        12949.5028        
5.117231113    14580.2454        14472.5314        14133.8404        13504.8598        12404.8364        
5.114613847    12418.523         12368.3552        12219.8361        11979.7804        11664.1207        
5.111999256    12385.693         12335.2177        12187.2456        11952.8077        11653.7568        
5.109387338    11968.5265        11941.1846        11861.3942        11736.3701        11580.2457        
5.106778087    15693.036         15597.2826        15289.5417        14682.689         13402.4421        
5.1041715      14221.9648        14120.2177        13802.0892        13219.4862        12238.3535        
5.101567573    18518.4609        18410.4974        18056.1971        17323.3353        15609.5603        
5.0989663      11598.5256        11593.1656        11577.803         11554.5458        11526.8685        
5.09636768     12690.0567        12631.2805        12454.8183        12160.673         11751.9255        
5.093771706    12978.5487        12907.4223        12692.1274        12327.5939        11813.3699        
5.091178376    15427.5561        15330.5895        15019.995         14412.8903        13165.9517        
5.088587686    18377.3559        18278.4683        17954.8395        17288.6737        15731.169         
5.08599963     17261.1845        17138.3303        16739.0509        15933.4833        14182.8843        
5.083414206    15239.6824        15156.5133        14889.4996        14363.0856        13240.0667        
5.080831409    11928.3985        11905.956         11840.1939        11736.1715        11604.1082        
5.078251235    15521.5301        15428.9477        15131.9199        14548.3577        13323.1232        
5.07567368     14526.97          14447.1197        14192.2613        13696.8131        12690.4404        
5.073098741    16888.2316        16745.908         16284.8748        15367.8122        13511.7477        
5.070526413    13010.1403        12952.1811        12771.078         12439.6556        11894.7988        
5.067956692    15627.3201        15534.1951        15235.1407        14646.3161        13404.1017        
5.065389575    13459.0998        13376.3545        13121.0346        12669.0964        11976.5674        
5.062825056    15274.8432        15155.8814        14779.3414        14068.0583        12766.6726        
5.060263134    18470.9945        18358.47          17989.4776        17228.294         15468.3162        
5.057703802    18274.7541        18165.4099        17807.9084        17074.6716        15388.733         
5.055147059    13732.1899        13661.4393        13437.4274        13012.3406        12224.6829        
5.052592899    11799.6441        11786.1133        11746.7376        11685.3038        11608.9115        
5.050041319    19084.1909        18972.4619        18604.8648        17840.924         16047.5021        
5.047492314    14511.0711        14433.4802        14185.6148        13702.5915        12716.3674        
5.044945881    12607.6092        12560.9735        12419.2122        12175.0446        11810.3872        
5.042402017    12306.6022        12270.3005        12160.1529        11974.1368        11720.2377        
5.039860717    14224.2426        14144.3284        13890.7102        13405.1865        12469.3369        
5.037321976    17098.5547        16979.837         16594.689         15820.1247        14144.982         
5.034785793    17754.6394        17649.2441        17306.3579        16610.1376        15037.648         
5.032252162    13853.7462        13789.0964        13582.6223        13181.7844        12386.3124        
5.029721079    12327.4333        12286.4847        12165.8922        11973.4339        11726.7277        
5.027192541    14181.163         14100.6384        13845.4816        13359.2476        12436.6765        
5.024666545    14477.2768        14381.2537        14078.1948        13508.5014        12475.0793        
5.022143085    13056.1903        12991.2343        12792.4026        12446.1844        11926.9906        
5.019622159    14370.9779        14266.8718        13942.5054        13353.0083        12367.3456        
5.017103763    16052.7879        15949.7386        15618.5635        14965.9428        13598.9304        
5.014587892    14788.6829        14701.8464        14425.2999        13890.7101        12817.102         
5.012074543    15381.4465        15282.5188        14965.5193        14346.2155        13092.0145        
5.009563713    17466.1351        17356.8103        17002.4476        16289.2209        14711.9021        
5.007055396    14901.2817        14812.4276        14529.1631        13980.931         12881.7109        
5.004549591    16281.6995        16177.546         15842.5039        15180.5717        13782.8652        
5.002046292    14031.1271        13956.9583        13721.4262        13270.3154        12406.5179        
4.999545496    12501.3063        12459.2106        12332.4241        12119.0712        11815.383         
4.997047199    17676.5505        17557.9729        17172.7911        16395.4807        14686.2499        
4.994551398    12495.2792        12454.2282        12328.7293        12112.7309        11808.2995        
4.992058089    14028.5115        13961.2081        13745.7211        13324.8382        12482.5446        
