#wvl           I[ 0.0 deg]       I[20.0 deg]       I[40.0 deg]       I[60.0 deg]       I[80.0 deg]       
#[um]          [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     
5.5            19838.2322        19760.3268        19498.2535        18924.3995        17405.6152        
5.496976663    13718.4193        13628.0174        13342.6361        12805.3883        11806.7805        
5.493956648    10783.562         10779.4891        10767.7415        10749.7338        10727.8662        
5.490939949    11293.7668        11263.4813        11173.5242        11026.8693        10830.1855        
5.487926562    14557.074         14427.4528        14017.4087        13247.0345        11878.9102        
5.48491648     16041.1071        15913.6656        15500.7482        14676.6469        12964.0256        
5.481909698    19020.9614        18914.6252        18558.2           17786.703         15830.82          
5.478906211    12616.0766        12545.6011        12325.3425        11920.6461        11230.0665        
5.475906014    18404.3436        18297.2135        17941.1406        17184.0982        15326.6035        
5.4729091      14477.2065        14380.2685        14068.5629        13455.3527        12207.9885        
5.469915465    16868.238         16751.3855        16369.2992        15587.4454        13831.6633        
5.466925103    16524.8914        16403.3661        16007.0261        15202.2316        13449.9263        
5.463938009    14972.7748        14865.0442        14519.2899        13841.9329        12463.0105        
5.460954178    18999.5687        18902.3228        18578.2935        17884.0508        16129.1218        
5.457973603    20212.2279        20129.5484        19848.7198        19220.9725        17496.4194        
5.454996281    11267.6465        11239.5189        11156.8971        11025.4501        10856.4601        
5.452022205    16678.2016        16562.1799        16184.1133        15416.2758        13710.2227        
5.44905137     18516.494         18411.9518        18064.9867        17329.3198        15527.0317        
5.446083771    17092.1042        16954.2878        16503.5764        15585.574         13601.9152        
5.443119402    10792.4433        10791.7512        10789.7688        10786.7689        10783.1865        
5.440158259    18607.3133        18504.1122        18161.4706        17434.256         15647.6004        
5.437200336    11305.8086        11276.9227        11191.9684        11056.481         10881.8483        
5.434245628    19163.1508        19075.8411        18785.0345        18162.2958        16588.1244        
5.431294129    14029.3754        13919.5002        13573.9289        12930.7342        11791.5765        
5.428345835    12030.0018        11975.9606        11810.6282        11521.8028        11080.343         
5.42540074     19890.0824        19805.4922        19520.5822        18894.2494        17219.696         
5.422458839    10810.4883        10810.3004        10809.7618        10808.9461        10807.9872        
5.419520126    13098.698         13001.1825        12701.8173        12176.5808        11364.1779        
5.416584597    13311.4368        13219.3042        12930.7773        12399.7231        11497.8379        
5.413652247    20262.9048        20168.3642        19846.7599        19128.0125        17190.1801        
5.410723069    14285.8186        14176.4893        13829.8709        13173.3816        11971.7144        
5.40779706     17134.8602        16992.7662        16527.9687        15582.1699        13551.3846        
5.404874214    11062.4673        11048.9976        11009.6503        10947.8074        10870.0378        
5.401954525    18012.4175        17908.1119        17563.6862        16840.9786        15096.4694        
5.39903799     20830.4162        20751.9286        20484.2293        19881.9011        18223.4996        
5.396124601    19096.1255        18989.4848        18633.6874        17871.3658        15980.6284        
5.393214356    11232.8479        11210.3477        11144.6208        11041.3123        10911.464         
5.390307248    11460.4265        11427.5189        11329.9247        11171.4661        10961.4971        
5.387403272    18654.3768        18553.0806        18217.8487        17511.4835        15792.6967        
5.384502423    12418.0141        12358.8805        12175.1967        11843.1152        11290.5885        
5.381604697    17976.0277        17887.8363        17597.8958        16993.3398        15523.7511        
5.378710088    13152.0173        13074.4181        12828.6734        12364.2165        11526.9846        
5.375818591    17927.1879        17792.0742        17345.1635        16409.9846        14257.4226        
5.372930201    15771.5816        15645.2346        15238.8271        14440.1121        12823.2353        
5.370044913    13884.83          13782.2352        13459.6221        12859.4771        11799.6952        
5.367162723    19689.9266        19600.4416        19301.08          18653.5013        16984.5275        
5.364283624    11011.1305        11003.1856        10980.2644        10945.0722        10902.1618        
5.361407613    17687.2645        17576.9264        17214.4625        16462.563         14687.3703        
5.358534684    14774.8592        14648.2572        14247.7725        13493.285         12127.8942        
5.355664833    13877.889         13801.0777        13553.6459        13063.1884        12040.5257        
5.352798054    20193.1523        20104.9983        19808.2759        19157.8553        17438.4506        
5.349934342    17609.3624        17489.2671        17095.5133        16284.3509        14421.4055        
5.347073692    15609.1131        15502.7282        15157.9349        14466.1151        12978.4553        
5.344216101    18494.2736        18370.8742        17962.4004        17103.982         15067.8152        
5.341361562    11177.4278        11162.0308        11116.9792        11045.9055        10955.9477        
5.33851007     14973.1582        14840.3791        14419.8479        13626.5255        12194.0337        
5.335661622    20090.1469        19994.357         19672.1026        18967.8364        17132.4882        
5.332816212    20618.8667        20535.6489        20254.4172        19632.3842        17954.4038        
5.329973835    14374.8323        14255.9751        13881.1791        13181.3855        11950.7513        
5.327134486    16223.3737        16109.664         15740.0473        14990.5368        13325.4232        
5.324298161    17558.8505        17458.2765        17128.9412        16449.4539        14852.67          
5.321464854    16356.7406        16237.5831        15851.1634        15073.9859        13386.8428        
5.318634561    18686.8525        18578.1294        18217.7354        17455.3362        15589.0387        
5.315807278    14700.9832        14606.697         14304.123         13709.034         12472.3061        
5.312982998    20257.7867        20176.171         19902.8246        19309.3917        17761.5469        
5.310161719    17396.8276        17261.4794        16817.9823        15909.2545        13903.0973        
5.307343433    19344.1336        19242.7847        18905.4916        18185.6516        16392.5525        
5.304528138    10995.2943        10992.7525        10985.4541        10974.3605        10961.0424        
5.301715828    17276.6911        17130.9275        16652.2948        15669.5925        13536.9599        
5.298906498    14127.3319        14023.758         13697.2992        13085.7426        11981.3825        
5.296100144    16586.1624        16466.5422        16076.454         15283.1153        13538.122         
5.293296761    14019.624         13913.4733        13580.1706        12962.3975        11881.4283        
5.290496345    17237.9344        17102.0011        16658.0575        15755.31          13793.1273        
