# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   4.8871512   1.10532e+01       74218.8580     0041
   4.8847640   1.02026e+01       74144.6740     0049
   4.8823791   1.13019e+01       74071.8970     0056
   4.8799965   1.30956e+01       74050.1470     0058
   4.8776162   1.00990e+01       74103.8710     0053
   4.8752382   1.11537e+01       74154.4870     0048
   4.8728626   1.10609e+01       74182.9610     0045
   4.8704893   1.07782e+01       74082.6580     0055
   4.8681183   1.16670e+01       74071.8970     0056
   4.8657495   1.04219e+01       74218.8580     0041
   4.8633831   1.13780e+01       74164.1380     0047
   4.8610190   1.10804e+01       74124.5720     0051
   4.8586572   1.00039e+01       74082.6580     0055
   4.8562977   1.21954e+01       74244.5300     0038
   4.8539405   1.16288e+01       74173.6290     0046
   4.8515856   1.26491e+01       74071.8970     0056
   4.8492329   1.11049e+01       74144.6740     0049
   4.8468826   1.30232e+01       74164.1380     0047
   4.8445345   1.07649e+01       74173.6290     0046
   4.8421887   1.28183e+01       74114.2920     0052
   4.8398451   1.10904e+01       74082.6580     0055
   4.8375038   1.34358e+01       74192.1440     0044
   4.8351648   1.24854e+01       74103.8710     0053
   4.8328281   1.03327e+01       74154.4870     0048
   4.8304936   1.13529e+01       74071.8970     0056
   4.8281613   1.36890e+01       74182.9610     0045
   4.8258314   1.04482e+01       74082.6580     0055
   4.8235036   1.03701e+01       74244.5300     0038
   4.8211781   1.04865e+01       74082.6580     0055
   4.8188549   1.23748e+01       74103.8710     0053
   4.8165338   1.03090e+01       74154.4870     0048
   4.8142151   1.09598e+01       74227.5180     0040
   4.8118985   1.24322e+01       74114.2920     0052
   4.8095842   1.21701e+01       74082.6580     0055
   4.8072721   1.08763e+01       74061.0540     0057
   4.8049622   1.03534e+01       74252.9020     0037
   4.8026546   1.04263e+01       74192.1440     0044
   4.8003491   1.19564e+01       74201.1800     0043
   4.7980459   1.22183e+01       74050.1470     0058
   4.7957449   1.02721e+01       74144.6740     0049
   4.7934461   1.12696e+01       74236.0720     0039
   4.7911494   1.30084e+01       74082.6580     0055
   4.7888550   1.21659e+01       74082.6580     0055
   4.7865628   1.01247e+01       74144.6740     0049
   4.7842728   1.25771e+01       74124.5720     0051
   4.7819850   1.19353e+01       74103.8710     0053
   4.7796993   1.20130e+01       74277.5900     0034
   4.7774159   1.18422e+01       74114.2920     0052
   4.7751346   1.12904e+01       74103.8710     0053
   4.7728555   1.22091e+01       74144.6740     0049
   4.7705785   1.32366e+01       74103.8710     0053
   4.7683038   1.17992e+01       74114.2920     0052
   4.7660312   1.25857e+01       74082.6580     0055
   4.7637608   1.23218e+01       74218.8580     0041
   4.7614925   1.29951e+01       74061.0540     0057
   4.7592264   1.30353e+01       74124.5720     0051
   4.7569625   1.21372e+01       74103.8710     0053
   4.7547007   1.15032e+01       74227.5180     0040
   4.7524410   1.07460e+01       74082.6580     0055
   4.7501835   1.14666e+01       74173.6290     0046
   4.7479282   1.02300e+01       74134.7020     0050
   4.7456750   1.27455e+01       74154.4870     0048
   4.7434239   1.16455e+01       74082.6580     0055
   4.7411749   1.06109e+01       74192.1440     0044
   4.7389281   1.01285e+01       74114.2920     0052
   4.7366835   1.24221e+01       74124.5720     0051
   4.7344409   1.06754e+01       74124.5720     0051
   4.7322005   1.02083e+01       74103.8710     0053
   4.7299622   1.09499e+01       74061.0540     0057
